9159166,s0,T1,T2,Homodimerization of the human ,interleukin 4 receptor alpha chain, induces Cepsilon germline transcripts in B cells in the absence of the ,interleukin 2 receptor gamma chain,". 
",Not_a_complex
9159166,s1,T3,T4,The cytokines ,interleukin (IL)-4, and ,IL-13, play a critical role in inducing Cepsilon germline transcripts and IgE isotype switching in human B cells.,Not_a_complex
9159166,s2,T5,T6,"The IL-4 receptor (IL-4R) in B cells is composed of two chains, the ",IL-4,-binding ,IL-4Ralpha chain,", which is shared with the IL-13R, and the IL-2Rgamma (gammac) chain, which is shared with IL-7R, IL-9R, and IL-15R.",Complex_formation
9159166,s2,T6,T27,"The IL-4 receptor (IL-4R) in B cells is composed of two chains, the IL-4-binding ",IL-4Ralpha chain,", which is shared with the ",IL-13R,", and the IL-2Rgamma (gammac) chain, which is shared with IL-7R, IL-9R, and IL-15R.",Complex_formation
9159166,s2,T7,T28,"The IL-4 receptor (IL-4R) in B cells is composed of two chains, the IL-4-binding IL-4Ralpha chain, which is shared with the IL-13R, and the ",IL-2Rgamma (gammac) chain,", which is shared with IL-7R, IL-9R, and ",IL-15R,.,Complex_formation
9159166,s2,T7,T8,"The IL-4 receptor (IL-4R) in B cells is composed of two chains, the IL-4-binding IL-4Ralpha chain, which is shared with the IL-13R, and the ",IL-2Rgamma (gammac) chain,", which is shared with ",IL-7R,", IL-9R, and IL-15R.",Complex_formation
9159166,s2,T7,T9,"The IL-4 receptor (IL-4R) in B cells is composed of two chains, the IL-4-binding IL-4Ralpha chain, which is shared with the IL-13R, and the ",IL-2Rgamma (gammac) chain,", which is shared with IL-7R, ",IL-9R,", and IL-15R.",Complex_formation
9159166,s2,T25,T26,The ,IL-4 receptor, (,IL-4R,") in B cells is composed of two chains, the IL-4-binding IL-4Ralpha chain, which is shared with the IL-13R, and the IL-2Rgamma (gammac) chain, which is shared with IL-7R, IL-9R, and IL-15R.",Not_a_complex
9159166,s2,T25,T27,The ,IL-4 receptor," (IL-4R) in B cells is composed of two chains, the IL-4-binding IL-4Ralpha chain, which is shared with the ",IL-13R,", and the IL-2Rgamma (gammac) chain, which is shared with IL-7R, IL-9R, and IL-15R.",Not_a_complex
9159166,s2,T25,T28,The ,IL-4 receptor," (IL-4R) in B cells is composed of two chains, the IL-4-binding IL-4Ralpha chain, which is shared with the IL-13R, and the IL-2Rgamma (gammac) chain, which is shared with IL-7R, IL-9R, and ",IL-15R,.,Not_a_complex
9159166,s2,T26,T27,The IL-4 receptor (,IL-4R,") in B cells is composed of two chains, the IL-4-binding IL-4Ralpha chain, which is shared with the ",IL-13R,", and the IL-2Rgamma (gammac) chain, which is shared with IL-7R, IL-9R, and IL-15R.",Not_a_complex
9159166,s2,T26,T28,The IL-4 receptor (,IL-4R,") in B cells is composed of two chains, the IL-4-binding IL-4Ralpha chain, which is shared with the IL-13R, and the IL-2Rgamma (gammac) chain, which is shared with IL-7R, IL-9R, and ",IL-15R,.,Not_a_complex
9159166,s2,T27,T28,"The IL-4 receptor (IL-4R) in B cells is composed of two chains, the IL-4-binding IL-4Ralpha chain, which is shared with the ",IL-13R,", and the IL-2Rgamma (gammac) chain, which is shared with IL-7R, IL-9R, and ",IL-15R,.,Not_a_complex
9159166,s2,T25,T5,The ,IL-4 receptor," (IL-4R) in B cells is composed of two chains, the ",IL-4,"-binding IL-4Ralpha chain, which is shared with the IL-13R, and the IL-2Rgamma (gammac) chain, which is shared with IL-7R, IL-9R, and IL-15R.",Not_a_complex
9159166,s2,T26,T5,The IL-4 receptor (,IL-4R,") in B cells is composed of two chains, the ",IL-4,"-binding IL-4Ralpha chain, which is shared with the IL-13R, and the IL-2Rgamma (gammac) chain, which is shared with IL-7R, IL-9R, and IL-15R.",Not_a_complex
9159166,s2,T5,T27,"The IL-4 receptor (IL-4R) in B cells is composed of two chains, the ",IL-4,"-binding IL-4Ralpha chain, which is shared with the ",IL-13R,", and the IL-2Rgamma (gammac) chain, which is shared with IL-7R, IL-9R, and IL-15R.",Not_a_complex
