8649779,s0,T1,T19,Inhibition of ,p105, processing by ,NF-kappaB," proteins in transiently transfected cells. 
Regulation of the transcription factor NF-kappaB involves proteasome-mediated processing of the NF-kappaB1 p105 precursor protein, which generates the p50 subunit of NF-kappaB. The processing of p105 occurs constitutively in vivo but can be markedly enhanced by various cellular activation agents, although the underlying regulatory mechanism is not yet clear. In the present study, we demonstrate that signal-mediated induction of p105 processing in human T cells is associated with de novo synthesis of this precursor protein. Transient transfection studies performed in COS7 cells revealed that the newly synthesized p105 protein appears to be more rapidly processed compared to its accumulated form that is already associated with the processed product p50. Interestingly, the processing rate of p105 is markedly inhibited in cells co-transfected with p50 or other NF-kappaB subunits, including RelA and c-Rel, that physically interact with p105. These findings suggest that the processing of p105 is subject to negative regulation by the various NF-kappaB subunits. We further demonstrate that p105 undergoes degradation in lipopolysaccharide-stimulated human monocytic cells. However, the inducible degradation of p105 is not coupled with the generation of p50. Together, these studies demonstrate that the processing and inducible degradation of p105 are differentially regulated. ",Not_a_complex
8649779,s1,T20,T2,"Inhibition of p105 processing by NF-kappaB proteins in transiently transfected cells. 
Regulation of the transcription factor ",NF-kappaB, involves proteasome-mediated processing of the ,NF-kappaB1," p105 precursor protein, which generates the p50 subunit of NF-kappaB. The processing of p105 occurs constitutively in vivo but can be markedly enhanced by various cellular activation agents, although the underlying regulatory mechanism is not yet clear. In the present study, we demonstrate that signal-mediated induction of p105 processing in human T cells is associated with de novo synthesis of this precursor protein. Transient transfection studies performed in COS7 cells revealed that the newly synthesized p105 protein appears to be more rapidly processed compared to its accumulated form that is already associated with the processed product p50. Interestingly, the processing rate of p105 is markedly inhibited in cells co-transfected with p50 or other NF-kappaB subunits, including RelA and c-Rel, that physically interact with p105. These findings suggest that the processing of p105 is subject to negative regulation by the various NF-kappaB subunits. We further demonstrate that p105 undergoes degradation in lipopolysaccharide-stimulated human monocytic cells. However, the inducible degradation of p105 is not coupled with the generation of p50. Together, these studies demonstrate that the processing and inducible degradation of p105 are differentially regulated. ",Not_a_complex
8649779,s1,T2,T21,"Inhibition of p105 processing by NF-kappaB proteins in transiently transfected cells. 
Regulation of the transcription factor NF-kappaB involves proteasome-mediated processing of the ",NF-kappaB1," p105 precursor protein, which generates the p50 subunit of ",NF-kappaB,". The processing of p105 occurs constitutively in vivo but can be markedly enhanced by various cellular activation agents, although the underlying regulatory mechanism is not yet clear. In the present study, we demonstrate that signal-mediated induction of p105 processing in human T cells is associated with de novo synthesis of this precursor protein. Transient transfection studies performed in COS7 cells revealed that the newly synthesized p105 protein appears to be more rapidly processed compared to its accumulated form that is already associated with the processed product p50. Interestingly, the processing rate of p105 is markedly inhibited in cells co-transfected with p50 or other NF-kappaB subunits, including RelA and c-Rel, that physically interact with p105. These findings suggest that the processing of p105 is subject to negative regulation by the various NF-kappaB subunits. We further demonstrate that p105 undergoes degradation in lipopolysaccharide-stimulated human monocytic cells. However, the inducible degradation of p105 is not coupled with the generation of p50. Together, these studies demonstrate that the processing and inducible degradation of p105 are differentially regulated. ",Not_a_complex
8649779,s1,T2,T3,"Inhibition of p105 processing by NF-kappaB proteins in transiently transfected cells. 
Regulation of the transcription factor NF-kappaB involves proteasome-mediated processing of the ",NF-kappaB1, ,p105," precursor protein, which generates the p50 subunit of NF-kappaB. The processing of p105 occurs constitutively in vivo but can be markedly enhanced by various cellular activation agents, although the underlying regulatory mechanism is not yet clear. In the present study, we demonstrate that signal-mediated induction of p105 processing in human T cells is associated with de novo synthesis of this precursor protein. Transient transfection studies performed in COS7 cells revealed that the newly synthesized p105 protein appears to be more rapidly processed compared to its accumulated form that is already associated with the processed product p50. Interestingly, the processing rate of p105 is markedly inhibited in cells co-transfected with p50 or other NF-kappaB subunits, including RelA and c-Rel, that physically interact with p105. These findings suggest that the processing of p105 is subject to negative regulation by the various NF-kappaB subunits. We further demonstrate that p105 undergoes degradation in lipopolysaccharide-stimulated human monocytic cells. However, the inducible degradation of p105 is not coupled with the generation of p50. Together, these studies demonstrate that the processing and inducible degradation of p105 are differentially regulated. ",Not_a_complex
8649779,s1,T2,T4,"Inhibition of p105 processing by NF-kappaB proteins in transiently transfected cells. 
Regulation of the transcription factor NF-kappaB involves proteasome-mediated processing of the ",NF-kappaB1," p105 precursor protein, which generates the ",p50," subunit of NF-kappaB. The processing of p105 occurs constitutively in vivo but can be markedly enhanced by various cellular activation agents, although the underlying regulatory mechanism is not yet clear. In the present study, we demonstrate that signal-mediated induction of p105 processing in human T cells is associated with de novo synthesis of this precursor protein. Transient transfection studies performed in COS7 cells revealed that the newly synthesized p105 protein appears to be more rapidly processed compared to its accumulated form that is already associated with the processed product p50. Interestingly, the processing rate of p105 is markedly inhibited in cells co-transfected with p50 or other NF-kappaB subunits, including RelA and c-Rel, that physically interact with p105. These findings suggest that the processing of p105 is subject to negative regulation by the various NF-kappaB subunits. We further demonstrate that p105 undergoes degradation in lipopolysaccharide-stimulated human monocytic cells. However, the inducible degradation of p105 is not coupled with the generation of p50. Together, these studies demonstrate that the processing and inducible degradation of p105 are differentially regulated. ",Not_a_complex
8649779,s1,T2,T5,"Inhibition of p105 processing by NF-kappaB proteins in transiently transfected cells. 
Regulation of the transcription factor NF-kappaB involves proteasome-mediated processing of the ",NF-kappaB1," p105 precursor protein, which generates the p50 subunit of NF-kappaB. The processing of ",p105," occurs constitutively in vivo but can be markedly enhanced by various cellular activation agents, although the underlying regulatory mechanism is not yet clear. In the present study, we demonstrate that signal-mediated induction of p105 processing in human T cells is associated with de novo synthesis of this precursor protein. Transient transfection studies performed in COS7 cells revealed that the newly synthesized p105 protein appears to be more rapidly processed compared to its accumulated form that is already associated with the processed product p50. Interestingly, the processing rate of p105 is markedly inhibited in cells co-transfected with p50 or other NF-kappaB subunits, including RelA and c-Rel, that physically interact with p105. These findings suggest that the processing of p105 is subject to negative regulation by the various NF-kappaB subunits. We further demonstrate that p105 undergoes degradation in lipopolysaccharide-stimulated human monocytic cells. However, the inducible degradation of p105 is not coupled with the generation of p50. Together, these studies demonstrate that the processing and inducible degradation of p105 are differentially regulated. ",Not_a_complex
8649779,s1,T20,T21,"Inhibition of p105 processing by NF-kappaB proteins in transiently transfected cells. 
Regulation of the transcription factor ",NF-kappaB," involves proteasome-mediated processing of the NF-kappaB1 p105 precursor protein, which generates the p50 subunit of ",NF-kappaB,". The processing of p105 occurs constitutively in vivo but can be markedly enhanced by various cellular activation agents, although the underlying regulatory mechanism is not yet clear. In the present study, we demonstrate that signal-mediated induction of p105 processing in human T cells is associated with de novo synthesis of this precursor protein. Transient transfection studies performed in COS7 cells revealed that the newly synthesized p105 protein appears to be more rapidly processed compared to its accumulated form that is already associated with the processed product p50. Interestingly, the processing rate of p105 is markedly inhibited in cells co-transfected with p50 or other NF-kappaB subunits, including RelA and c-Rel, that physically interact with p105. These findings suggest that the processing of p105 is subject to negative regulation by the various NF-kappaB subunits. We further demonstrate that p105 undergoes degradation in lipopolysaccharide-stimulated human monocytic cells. However, the inducible degradation of p105 is not coupled with the generation of p50. Together, these studies demonstrate that the processing and inducible degradation of p105 are differentially regulated. ",Not_a_complex
8649779,s1,T20,T3,"Inhibition of p105 processing by NF-kappaB proteins in transiently transfected cells. 
Regulation of the transcription factor ",NF-kappaB, involves proteasome-mediated processing of the NF-kappaB1 ,p105," precursor protein, which generates the p50 subunit of NF-kappaB. The processing of p105 occurs constitutively in vivo but can be markedly enhanced by various cellular activation agents, although the underlying regulatory mechanism is not yet clear. In the present study, we demonstrate that signal-mediated induction of p105 processing in human T cells is associated with de novo synthesis of this precursor protein. Transient transfection studies performed in COS7 cells revealed that the newly synthesized p105 protein appears to be more rapidly processed compared to its accumulated form that is already associated with the processed product p50. Interestingly, the processing rate of p105 is markedly inhibited in cells co-transfected with p50 or other NF-kappaB subunits, including RelA and c-Rel, that physically interact with p105. These findings suggest that the processing of p105 is subject to negative regulation by the various NF-kappaB subunits. We further demonstrate that p105 undergoes degradation in lipopolysaccharide-stimulated human monocytic cells. However, the inducible degradation of p105 is not coupled with the generation of p50. Together, these studies demonstrate that the processing and inducible degradation of p105 are differentially regulated. ",Not_a_complex
8649779,s1,T3,T21,"Inhibition of p105 processing by NF-kappaB proteins in transiently transfected cells. 
Regulation of the transcription factor NF-kappaB involves proteasome-mediated processing of the NF-kappaB1 ",p105," precursor protein, which generates the p50 subunit of ",NF-kappaB,". The processing of p105 occurs constitutively in vivo but can be markedly enhanced by various cellular activation agents, although the underlying regulatory mechanism is not yet clear. In the present study, we demonstrate that signal-mediated induction of p105 processing in human T cells is associated with de novo synthesis of this precursor protein. Transient transfection studies performed in COS7 cells revealed that the newly synthesized p105 protein appears to be more rapidly processed compared to its accumulated form that is already associated with the processed product p50. Interestingly, the processing rate of p105 is markedly inhibited in cells co-transfected with p50 or other NF-kappaB subunits, including RelA and c-Rel, that physically interact with p105. These findings suggest that the processing of p105 is subject to negative regulation by the various NF-kappaB subunits. We further demonstrate that p105 undergoes degradation in lipopolysaccharide-stimulated human monocytic cells. However, the inducible degradation of p105 is not coupled with the generation of p50. Together, these studies demonstrate that the processing and inducible degradation of p105 are differentially regulated. ",Not_a_complex
8649779,s1,T3,T4,"Inhibition of p105 processing by NF-kappaB proteins in transiently transfected cells. 
Regulation of the transcription factor NF-kappaB involves proteasome-mediated processing of the NF-kappaB1 ",p105," precursor protein, which generates the ",p50," subunit of NF-kappaB. The processing of p105 occurs constitutively in vivo but can be markedly enhanced by various cellular activation agents, although the underlying regulatory mechanism is not yet clear. In the present study, we demonstrate that signal-mediated induction of p105 processing in human T cells is associated with de novo synthesis of this precursor protein. Transient transfection studies performed in COS7 cells revealed that the newly synthesized p105 protein appears to be more rapidly processed compared to its accumulated form that is already associated with the processed product p50. Interestingly, the processing rate of p105 is markedly inhibited in cells co-transfected with p50 or other NF-kappaB subunits, including RelA and c-Rel, that physically interact with p105. These findings suggest that the processing of p105 is subject to negative regulation by the various NF-kappaB subunits. We further demonstrate that p105 undergoes degradation in lipopolysaccharide-stimulated human monocytic cells. However, the inducible degradation of p105 is not coupled with the generation of p50. Together, these studies demonstrate that the processing and inducible degradation of p105 are differentially regulated. ",Not_a_complex
8649779,s1,T3,T5,"Inhibition of p105 processing by NF-kappaB proteins in transiently transfected cells. 
Regulation of the transcription factor NF-kappaB involves proteasome-mediated processing of the NF-kappaB1 ",p105," precursor protein, which generates the p50 subunit of NF-kappaB. The processing of ",p105," occurs constitutively in vivo but can be markedly enhanced by various cellular activation agents, although the underlying regulatory mechanism is not yet clear. In the present study, we demonstrate that signal-mediated induction of p105 processing in human T cells is associated with de novo synthesis of this precursor protein. Transient transfection studies performed in COS7 cells revealed that the newly synthesized p105 protein appears to be more rapidly processed compared to its accumulated form that is already associated with the processed product p50. Interestingly, the processing rate of p105 is markedly inhibited in cells co-transfected with p50 or other NF-kappaB subunits, including RelA and c-Rel, that physically interact with p105. These findings suggest that the processing of p105 is subject to negative regulation by the various NF-kappaB subunits. We further demonstrate that p105 undergoes degradation in lipopolysaccharide-stimulated human monocytic cells. However, the inducible degradation of p105 is not coupled with the generation of p50. Together, these studies demonstrate that the processing and inducible degradation of p105 are differentially regulated. ",Not_a_complex
