27694884_10,s0,T1,T2,To further analyze the molecular mechanism how ,NKAP," regulates KT-MT attachment, we investigated whether ",NKAP," depletion affected the kinetochore/centromere localization of the proteins, which have been known to play critical roles in KT-MT attachment. Among the candidates listed in Fig. 2b, we found that CENP-E was the only protein whose localization on kinetochore was obviously affected in NKAP-knockdown cells (Fig. 2b; Supplementary Fig. 3d-k). The CENP-E signal intensity on kinetochores was significantly decreased for both aligned and misaligned chromosomes in NKAP-knockdown cells (Fig. 2c,d). Since previous reports suggested that NKAP is a transcriptional corepressor, we performed a real-time PCR analysis and the result showed that NKAP knockdown did not affect the transcription of CENP-E (Supplementary Fig. 3l). We also demonstrated that NKAP knockdown had no effect on the protein level of CENP-E and other proteins, which have been reported to regulate CENP-E kinetochore localization (Fig. 2e). Moreover, similar with NKAP, CENP-E knockdown resulted in a marked increase of the depolymerization of microtubules on cold treatment, which is consistent with the effect of NKAP knockdown on CENP-E kinetochore localization (Supplementary Fig. 3m).
",Not_a_complex
27694884_10,s1,T3,T4,"To further analyze the molecular mechanism how NKAP regulates KT-MT attachment, we investigated whether NKAP depletion affected the kinetochore/centromere localization of the proteins, which have been known to play critical roles in KT-MT attachment. Among the candidates listed in Fig. 2b, we found that ",CENP-E, was the only protein whose localization on kinetochore was obviously affected in ,NKAP,"-knockdown cells (Fig. 2b; Supplementary Fig. 3d-k). The CENP-E signal intensity on kinetochores was significantly decreased for both aligned and misaligned chromosomes in NKAP-knockdown cells (Fig. 2c,d). Since previous reports suggested that NKAP is a transcriptional corepressor, we performed a real-time PCR analysis and the result showed that NKAP knockdown did not affect the transcription of CENP-E (Supplementary Fig. 3l). We also demonstrated that NKAP knockdown had no effect on the protein level of CENP-E and other proteins, which have been reported to regulate CENP-E kinetochore localization (Fig. 2e). Moreover, similar with NKAP, CENP-E knockdown resulted in a marked increase of the depolymerization of microtubules on cold treatment, which is consistent with the effect of NKAP knockdown on CENP-E kinetochore localization (Supplementary Fig. 3m).
",Not_a_complex
27694884_10,s2,T5,T6,"To further analyze the molecular mechanism how NKAP regulates KT-MT attachment, we investigated whether NKAP depletion affected the kinetochore/centromere localization of the proteins, which have been known to play critical roles in KT-MT attachment. Among the candidates listed in Fig. 2b, we found that CENP-E was the only protein whose localization on kinetochore was obviously affected in NKAP-knockdown cells (Fig. 2b; Supplementary Fig. 3d-k). The ",CENP-E, signal intensity on kinetochores was significantly decreased for both aligned and misaligned chromosomes in ,NKAP,"-knockdown cells (Fig. 2c,d). Since previous reports suggested that NKAP is a transcriptional corepressor, we performed a real-time PCR analysis and the result showed that NKAP knockdown did not affect the transcription of CENP-E (Supplementary Fig. 3l). We also demonstrated that NKAP knockdown had no effect on the protein level of CENP-E and other proteins, which have been reported to regulate CENP-E kinetochore localization (Fig. 2e). Moreover, similar with NKAP, CENP-E knockdown resulted in a marked increase of the depolymerization of microtubules on cold treatment, which is consistent with the effect of NKAP knockdown on CENP-E kinetochore localization (Supplementary Fig. 3m).
",Not_a_complex
27694884_10,s3,T7,T8,"To further analyze the molecular mechanism how NKAP regulates KT-MT attachment, we investigated whether NKAP depletion affected the kinetochore/centromere localization of the proteins, which have been known to play critical roles in KT-MT attachment. Among the candidates listed in Fig. 2b, we found that CENP-E was the only protein whose localization on kinetochore was obviously affected in NKAP-knockdown cells (Fig. 2b; Supplementary Fig. 3d-k). The CENP-E signal intensity on kinetochores was significantly decreased for both aligned and misaligned chromosomes in NKAP-knockdown cells (Fig. 2c,d). Since previous reports suggested that ",NKAP," is a transcriptional corepressor, we performed a real-time PCR analysis and the result showed that ",NKAP," knockdown did not affect the transcription of CENP-E (Supplementary Fig. 3l). We also demonstrated that NKAP knockdown had no effect on the protein level of CENP-E and other proteins, which have been reported to regulate CENP-E kinetochore localization (Fig. 2e). Moreover, similar with NKAP, CENP-E knockdown resulted in a marked increase of the depolymerization of microtubules on cold treatment, which is consistent with the effect of NKAP knockdown on CENP-E kinetochore localization (Supplementary Fig. 3m).
",Not_a_complex
27694884_10,s3,T7,T9,"To further analyze the molecular mechanism how NKAP regulates KT-MT attachment, we investigated whether NKAP depletion affected the kinetochore/centromere localization of the proteins, which have been known to play critical roles in KT-MT attachment. Among the candidates listed in Fig. 2b, we found that CENP-E was the only protein whose localization on kinetochore was obviously affected in NKAP-knockdown cells (Fig. 2b; Supplementary Fig. 3d-k). The CENP-E signal intensity on kinetochores was significantly decreased for both aligned and misaligned chromosomes in NKAP-knockdown cells (Fig. 2c,d). Since previous reports suggested that ",NKAP," is a transcriptional corepressor, we performed a real-time PCR analysis and the result showed that NKAP knockdown did not affect the transcription of ",CENP-E," (Supplementary Fig. 3l). We also demonstrated that NKAP knockdown had no effect on the protein level of CENP-E and other proteins, which have been reported to regulate CENP-E kinetochore localization (Fig. 2e). Moreover, similar with NKAP, CENP-E knockdown resulted in a marked increase of the depolymerization of microtubules on cold treatment, which is consistent with the effect of NKAP knockdown on CENP-E kinetochore localization (Supplementary Fig. 3m).
",Not_a_complex
27694884_10,s3,T8,T9,"To further analyze the molecular mechanism how NKAP regulates KT-MT attachment, we investigated whether NKAP depletion affected the kinetochore/centromere localization of the proteins, which have been known to play critical roles in KT-MT attachment. Among the candidates listed in Fig. 2b, we found that CENP-E was the only protein whose localization on kinetochore was obviously affected in NKAP-knockdown cells (Fig. 2b; Supplementary Fig. 3d-k). The CENP-E signal intensity on kinetochores was significantly decreased for both aligned and misaligned chromosomes in NKAP-knockdown cells (Fig. 2c,d). Since previous reports suggested that NKAP is a transcriptional corepressor, we performed a real-time PCR analysis and the result showed that ",NKAP, knockdown did not affect the transcription of ,CENP-E," (Supplementary Fig. 3l). We also demonstrated that NKAP knockdown had no effect on the protein level of CENP-E and other proteins, which have been reported to regulate CENP-E kinetochore localization (Fig. 2e). Moreover, similar with NKAP, CENP-E knockdown resulted in a marked increase of the depolymerization of microtubules on cold treatment, which is consistent with the effect of NKAP knockdown on CENP-E kinetochore localization (Supplementary Fig. 3m).
",Not_a_complex
27694884_10,s4,T10,T11,"To further analyze the molecular mechanism how NKAP regulates KT-MT attachment, we investigated whether NKAP depletion affected the kinetochore/centromere localization of the proteins, which have been known to play critical roles in KT-MT attachment. Among the candidates listed in Fig. 2b, we found that CENP-E was the only protein whose localization on kinetochore was obviously affected in NKAP-knockdown cells (Fig. 2b; Supplementary Fig. 3d-k). The CENP-E signal intensity on kinetochores was significantly decreased for both aligned and misaligned chromosomes in NKAP-knockdown cells (Fig. 2c,d). Since previous reports suggested that NKAP is a transcriptional corepressor, we performed a real-time PCR analysis and the result showed that NKAP knockdown did not affect the transcription of CENP-E (Supplementary Fig. 3l). We also demonstrated that ",NKAP, knockdown had no effect on the protein level of ,CENP-E," and other proteins, which have been reported to regulate CENP-E kinetochore localization (Fig. 2e). Moreover, similar with NKAP, CENP-E knockdown resulted in a marked increase of the depolymerization of microtubules on cold treatment, which is consistent with the effect of NKAP knockdown on CENP-E kinetochore localization (Supplementary Fig. 3m).
",Not_a_complex
27694884_10,s4,T10,T12,"To further analyze the molecular mechanism how NKAP regulates KT-MT attachment, we investigated whether NKAP depletion affected the kinetochore/centromere localization of the proteins, which have been known to play critical roles in KT-MT attachment. Among the candidates listed in Fig. 2b, we found that CENP-E was the only protein whose localization on kinetochore was obviously affected in NKAP-knockdown cells (Fig. 2b; Supplementary Fig. 3d-k). The CENP-E signal intensity on kinetochores was significantly decreased for both aligned and misaligned chromosomes in NKAP-knockdown cells (Fig. 2c,d). Since previous reports suggested that NKAP is a transcriptional corepressor, we performed a real-time PCR analysis and the result showed that NKAP knockdown did not affect the transcription of CENP-E (Supplementary Fig. 3l). We also demonstrated that ",NKAP," knockdown had no effect on the protein level of CENP-E and other proteins, which have been reported to regulate ",CENP-E," kinetochore localization (Fig. 2e). Moreover, similar with NKAP, CENP-E knockdown resulted in a marked increase of the depolymerization of microtubules on cold treatment, which is consistent with the effect of NKAP knockdown on CENP-E kinetochore localization (Supplementary Fig. 3m).
",Not_a_complex
27694884_10,s4,T11,T12,"To further analyze the molecular mechanism how NKAP regulates KT-MT attachment, we investigated whether NKAP depletion affected the kinetochore/centromere localization of the proteins, which have been known to play critical roles in KT-MT attachment. Among the candidates listed in Fig. 2b, we found that CENP-E was the only protein whose localization on kinetochore was obviously affected in NKAP-knockdown cells (Fig. 2b; Supplementary Fig. 3d-k). The CENP-E signal intensity on kinetochores was significantly decreased for both aligned and misaligned chromosomes in NKAP-knockdown cells (Fig. 2c,d). Since previous reports suggested that NKAP is a transcriptional corepressor, we performed a real-time PCR analysis and the result showed that NKAP knockdown did not affect the transcription of CENP-E (Supplementary Fig. 3l). We also demonstrated that NKAP knockdown had no effect on the protein level of ",CENP-E," and other proteins, which have been reported to regulate ",CENP-E," kinetochore localization (Fig. 2e). Moreover, similar with NKAP, CENP-E knockdown resulted in a marked increase of the depolymerization of microtubules on cold treatment, which is consistent with the effect of NKAP knockdown on CENP-E kinetochore localization (Supplementary Fig. 3m).
",Not_a_complex
27694884_10,s5,T13,T14,"To further analyze the molecular mechanism how NKAP regulates KT-MT attachment, we investigated whether NKAP depletion affected the kinetochore/centromere localization of the proteins, which have been known to play critical roles in KT-MT attachment. Among the candidates listed in Fig. 2b, we found that CENP-E was the only protein whose localization on kinetochore was obviously affected in NKAP-knockdown cells (Fig. 2b; Supplementary Fig. 3d-k). The CENP-E signal intensity on kinetochores was significantly decreased for both aligned and misaligned chromosomes in NKAP-knockdown cells (Fig. 2c,d). Since previous reports suggested that NKAP is a transcriptional corepressor, we performed a real-time PCR analysis and the result showed that NKAP knockdown did not affect the transcription of CENP-E (Supplementary Fig. 3l). We also demonstrated that NKAP knockdown had no effect on the protein level of CENP-E and other proteins, which have been reported to regulate CENP-E kinetochore localization (Fig. 2e). Moreover, similar with ",NKAP,", ",CENP-E," knockdown resulted in a marked increase of the depolymerization of microtubules on cold treatment, which is consistent with the effect of NKAP knockdown on CENP-E kinetochore localization (Supplementary Fig. 3m).
",Not_a_complex
27694884_10,s5,T13,T15,"To further analyze the molecular mechanism how NKAP regulates KT-MT attachment, we investigated whether NKAP depletion affected the kinetochore/centromere localization of the proteins, which have been known to play critical roles in KT-MT attachment. Among the candidates listed in Fig. 2b, we found that CENP-E was the only protein whose localization on kinetochore was obviously affected in NKAP-knockdown cells (Fig. 2b; Supplementary Fig. 3d-k). The CENP-E signal intensity on kinetochores was significantly decreased for both aligned and misaligned chromosomes in NKAP-knockdown cells (Fig. 2c,d). Since previous reports suggested that NKAP is a transcriptional corepressor, we performed a real-time PCR analysis and the result showed that NKAP knockdown did not affect the transcription of CENP-E (Supplementary Fig. 3l). We also demonstrated that NKAP knockdown had no effect on the protein level of CENP-E and other proteins, which have been reported to regulate CENP-E kinetochore localization (Fig. 2e). Moreover, similar with ",NKAP,", CENP-E knockdown resulted in a marked increase of the depolymerization of microtubules on cold treatment, which is consistent with the effect of ",NKAP," knockdown on CENP-E kinetochore localization (Supplementary Fig. 3m).
",Not_a_complex
