24460703_20,s0,T1,T2,,Mid2, cytoplasmic tail interacts directly with the ,Apm4," mu homology region. A) GST alone; GST tagged wild type Apm4 and GST tagged Apm4 mutants were prepared as described and incubated with His-tagged cytoplasmic tail of Mid2. Their binding interaction was tested using pull down assays on beads at two different concentrations of Mid2. Mid2 binding was detected using anti-His tag antibodies after western blotting. Input lane is 35 microm Mid2. B) Mid2-GFP was transformed into cells expressing wild type, mutant or no Apm4. Localization to the bud neck following 150 microg/mL CF was analysed. Scale bar = 5 microm.
",Complex_formation
24460703_20,s1,T11,T12,Mid2 cytoplasmic tail interacts directly with the Apm4 mu homology region. A) ,GST, alone; ,GST," tagged wild type Apm4 and GST tagged Apm4 mutants were prepared as described and incubated with His-tagged cytoplasmic tail of Mid2. Their binding interaction was tested using pull down assays on beads at two different concentrations of Mid2. Mid2 binding was detected using anti-His tag antibodies after western blotting. Input lane is 35 microm Mid2. B) Mid2-GFP was transformed into cells expressing wild type, mutant or no Apm4. Localization to the bud neck following 150 microg/mL CF was analysed. Scale bar = 5 microm.
",Not_a_complex
24460703_20,s1,T11,T13,Mid2 cytoplasmic tail interacts directly with the Apm4 mu homology region. A) ,GST, alone; GST tagged wild type Apm4 and ,GST," tagged Apm4 mutants were prepared as described and incubated with His-tagged cytoplasmic tail of Mid2. Their binding interaction was tested using pull down assays on beads at two different concentrations of Mid2. Mid2 binding was detected using anti-His tag antibodies after western blotting. Input lane is 35 microm Mid2. B) Mid2-GFP was transformed into cells expressing wild type, mutant or no Apm4. Localization to the bud neck following 150 microg/mL CF was analysed. Scale bar = 5 microm.
",Not_a_complex
24460703_20,s1,T12,T13,Mid2 cytoplasmic tail interacts directly with the Apm4 mu homology region. A) GST alone; ,GST, tagged wild type Apm4 and ,GST," tagged Apm4 mutants were prepared as described and incubated with His-tagged cytoplasmic tail of Mid2. Their binding interaction was tested using pull down assays on beads at two different concentrations of Mid2. Mid2 binding was detected using anti-His tag antibodies after western blotting. Input lane is 35 microm Mid2. B) Mid2-GFP was transformed into cells expressing wild type, mutant or no Apm4. Localization to the bud neck following 150 microg/mL CF was analysed. Scale bar = 5 microm.
",Not_a_complex
24460703_20,s1,T11,T3,Mid2 cytoplasmic tail interacts directly with the Apm4 mu homology region. A) ,GST, alone; GST tagged wild type ,Apm4," and GST tagged Apm4 mutants were prepared as described and incubated with His-tagged cytoplasmic tail of Mid2. Their binding interaction was tested using pull down assays on beads at two different concentrations of Mid2. Mid2 binding was detected using anti-His tag antibodies after western blotting. Input lane is 35 microm Mid2. B) Mid2-GFP was transformed into cells expressing wild type, mutant or no Apm4. Localization to the bud neck following 150 microg/mL CF was analysed. Scale bar = 5 microm.
",Not_a_complex
24460703_20,s1,T12,T3,Mid2 cytoplasmic tail interacts directly with the Apm4 mu homology region. A) GST alone; ,GST, tagged wild type ,Apm4," and GST tagged Apm4 mutants were prepared as described and incubated with His-tagged cytoplasmic tail of Mid2. Their binding interaction was tested using pull down assays on beads at two different concentrations of Mid2. Mid2 binding was detected using anti-His tag antibodies after western blotting. Input lane is 35 microm Mid2. B) Mid2-GFP was transformed into cells expressing wild type, mutant or no Apm4. Localization to the bud neck following 150 microg/mL CF was analysed. Scale bar = 5 microm.
",Not_a_complex
24460703_20,s1,T3,T13,Mid2 cytoplasmic tail interacts directly with the Apm4 mu homology region. A) GST alone; GST tagged wild type ,Apm4, and ,GST," tagged Apm4 mutants were prepared as described and incubated with His-tagged cytoplasmic tail of Mid2. Their binding interaction was tested using pull down assays on beads at two different concentrations of Mid2. Mid2 binding was detected using anti-His tag antibodies after western blotting. Input lane is 35 microm Mid2. B) Mid2-GFP was transformed into cells expressing wild type, mutant or no Apm4. Localization to the bud neck following 150 microg/mL CF was analysed. Scale bar = 5 microm.
",Not_a_complex
24460703_20,s1,T3,T4,Mid2 cytoplasmic tail interacts directly with the Apm4 mu homology region. A) GST alone; GST tagged wild type ,Apm4, and GST tagged ,Apm4," mutants were prepared as described and incubated with His-tagged cytoplasmic tail of Mid2. Their binding interaction was tested using pull down assays on beads at two different concentrations of Mid2. Mid2 binding was detected using anti-His tag antibodies after western blotting. Input lane is 35 microm Mid2. B) Mid2-GFP was transformed into cells expressing wild type, mutant or no Apm4. Localization to the bud neck following 150 microg/mL CF was analysed. Scale bar = 5 microm.
",Not_a_complex
24460703_20,s1,T3,T5,Mid2 cytoplasmic tail interacts directly with the Apm4 mu homology region. A) GST alone; GST tagged wild type ,Apm4, and GST tagged Apm4 mutants were prepared as described and incubated with His-tagged cytoplasmic tail of ,Mid2,". Their binding interaction was tested using pull down assays on beads at two different concentrations of Mid2. Mid2 binding was detected using anti-His tag antibodies after western blotting. Input lane is 35 microm Mid2. B) Mid2-GFP was transformed into cells expressing wild type, mutant or no Apm4. Localization to the bud neck following 150 microg/mL CF was analysed. Scale bar = 5 microm.
",Not_a_complex
24460703_20,s1,T11,T4,Mid2 cytoplasmic tail interacts directly with the Apm4 mu homology region. A) ,GST, alone; GST tagged wild type Apm4 and GST tagged ,Apm4," mutants were prepared as described and incubated with His-tagged cytoplasmic tail of Mid2. Their binding interaction was tested using pull down assays on beads at two different concentrations of Mid2. Mid2 binding was detected using anti-His tag antibodies after western blotting. Input lane is 35 microm Mid2. B) Mid2-GFP was transformed into cells expressing wild type, mutant or no Apm4. Localization to the bud neck following 150 microg/mL CF was analysed. Scale bar = 5 microm.
",Not_a_complex
24460703_20,s1,T12,T4,Mid2 cytoplasmic tail interacts directly with the Apm4 mu homology region. A) GST alone; ,GST, tagged wild type Apm4 and GST tagged ,Apm4," mutants were prepared as described and incubated with His-tagged cytoplasmic tail of Mid2. Their binding interaction was tested using pull down assays on beads at two different concentrations of Mid2. Mid2 binding was detected using anti-His tag antibodies after western blotting. Input lane is 35 microm Mid2. B) Mid2-GFP was transformed into cells expressing wild type, mutant or no Apm4. Localization to the bud neck following 150 microg/mL CF was analysed. Scale bar = 5 microm.
",Not_a_complex
