20886085_27,s0,T10,T11,At ,Pol II," promoters, ",RSC," activity generally involves single nucleosome events that help to form and maintain the NFR. These data were generated from studies using a temperature sensitive mutant of the Sth1 catalytic subunit, which is common to both the RSC1 and RSC2 complexes. We found that only the RSC1 complex affects genome-wide 5' acetylated H4 levels, and that the small STE11 cryptic transcript is sensitive to RSC1 deletion. It is possible that in the absence of the RSC1 complex, certain promoters are not able to maintain an NFR and therefore have greater histone density at the promoter region. Future studies could examine the role of RSC1 complex versus RSC2 complex in the establishment and maintenance of Pol II promoter NFRs.
",Not_a_complex
20886085_27,s1,T1,T2,"At Pol II promoters, RSC activity generally involves single nucleosome events that help to form and maintain the NFR. These data were generated from studies using a temperature sensitive mutant of the ",Sth1," catalytic subunit, which is common to both the ",RSC1," and RSC2 complexes. We found that only the RSC1 complex affects genome-wide 5' acetylated H4 levels, and that the small STE11 cryptic transcript is sensitive to RSC1 deletion. It is possible that in the absence of the RSC1 complex, certain promoters are not able to maintain an NFR and therefore have greater histone density at the promoter region. Future studies could examine the role of RSC1 complex versus RSC2 complex in the establishment and maintenance of Pol II promoter NFRs.
",Not_a_complex
20886085_27,s1,T1,T3,"At Pol II promoters, RSC activity generally involves single nucleosome events that help to form and maintain the NFR. These data were generated from studies using a temperature sensitive mutant of the ",Sth1," catalytic subunit, which is common to both the RSC1 and ",RSC2," complexes. We found that only the RSC1 complex affects genome-wide 5' acetylated H4 levels, and that the small STE11 cryptic transcript is sensitive to RSC1 deletion. It is possible that in the absence of the RSC1 complex, certain promoters are not able to maintain an NFR and therefore have greater histone density at the promoter region. Future studies could examine the role of RSC1 complex versus RSC2 complex in the establishment and maintenance of Pol II promoter NFRs.
",Not_a_complex
20886085_27,s1,T2,T3,"At Pol II promoters, RSC activity generally involves single nucleosome events that help to form and maintain the NFR. These data were generated from studies using a temperature sensitive mutant of the Sth1 catalytic subunit, which is common to both the ",RSC1, and ,RSC2," complexes. We found that only the RSC1 complex affects genome-wide 5' acetylated H4 levels, and that the small STE11 cryptic transcript is sensitive to RSC1 deletion. It is possible that in the absence of the RSC1 complex, certain promoters are not able to maintain an NFR and therefore have greater histone density at the promoter region. Future studies could examine the role of RSC1 complex versus RSC2 complex in the establishment and maintenance of Pol II promoter NFRs.
",Not_a_complex
20886085_27,s2,T4,T14,"At Pol II promoters, RSC activity generally involves single nucleosome events that help to form and maintain the NFR. These data were generated from studies using a temperature sensitive mutant of the Sth1 catalytic subunit, which is common to both the RSC1 and RSC2 complexes. We found that only the ",RSC1, complex affects genome-wide 5' acetylated ,H4," levels, and that the small STE11 cryptic transcript is sensitive to RSC1 deletion. It is possible that in the absence of the RSC1 complex, certain promoters are not able to maintain an NFR and therefore have greater histone density at the promoter region. Future studies could examine the role of RSC1 complex versus RSC2 complex in the establishment and maintenance of Pol II promoter NFRs.
",Not_a_complex
20886085_27,s2,T4,T5,"At Pol II promoters, RSC activity generally involves single nucleosome events that help to form and maintain the NFR. These data were generated from studies using a temperature sensitive mutant of the Sth1 catalytic subunit, which is common to both the RSC1 and RSC2 complexes. We found that only the ",RSC1," complex affects genome-wide 5' acetylated H4 levels, and that the small ",STE11," cryptic transcript is sensitive to RSC1 deletion. It is possible that in the absence of the RSC1 complex, certain promoters are not able to maintain an NFR and therefore have greater histone density at the promoter region. Future studies could examine the role of RSC1 complex versus RSC2 complex in the establishment and maintenance of Pol II promoter NFRs.
",Not_a_complex
20886085_27,s2,T4,T6,"At Pol II promoters, RSC activity generally involves single nucleosome events that help to form and maintain the NFR. These data were generated from studies using a temperature sensitive mutant of the Sth1 catalytic subunit, which is common to both the RSC1 and RSC2 complexes. We found that only the ",RSC1," complex affects genome-wide 5' acetylated H4 levels, and that the small STE11 cryptic transcript is sensitive to ",RSC1," deletion. It is possible that in the absence of the RSC1 complex, certain promoters are not able to maintain an NFR and therefore have greater histone density at the promoter region. Future studies could examine the role of RSC1 complex versus RSC2 complex in the establishment and maintenance of Pol II promoter NFRs.
",Not_a_complex
20886085_27,s2,T14,T5,"At Pol II promoters, RSC activity generally involves single nucleosome events that help to form and maintain the NFR. These data were generated from studies using a temperature sensitive mutant of the Sth1 catalytic subunit, which is common to both the RSC1 and RSC2 complexes. We found that only the RSC1 complex affects genome-wide 5' acetylated ",H4," levels, and that the small ",STE11," cryptic transcript is sensitive to RSC1 deletion. It is possible that in the absence of the RSC1 complex, certain promoters are not able to maintain an NFR and therefore have greater histone density at the promoter region. Future studies could examine the role of RSC1 complex versus RSC2 complex in the establishment and maintenance of Pol II promoter NFRs.
",Not_a_complex
20886085_27,s2,T5,T6,"At Pol II promoters, RSC activity generally involves single nucleosome events that help to form and maintain the NFR. These data were generated from studies using a temperature sensitive mutant of the Sth1 catalytic subunit, which is common to both the RSC1 and RSC2 complexes. We found that only the RSC1 complex affects genome-wide 5' acetylated H4 levels, and that the small ",STE11, cryptic transcript is sensitive to ,RSC1," deletion. It is possible that in the absence of the RSC1 complex, certain promoters are not able to maintain an NFR and therefore have greater histone density at the promoter region. Future studies could examine the role of RSC1 complex versus RSC2 complex in the establishment and maintenance of Pol II promoter NFRs.
",Not_a_complex
20886085_27,s2,T14,T6,"At Pol II promoters, RSC activity generally involves single nucleosome events that help to form and maintain the NFR. These data were generated from studies using a temperature sensitive mutant of the Sth1 catalytic subunit, which is common to both the RSC1 and RSC2 complexes. We found that only the RSC1 complex affects genome-wide 5' acetylated ",H4," levels, and that the small STE11 cryptic transcript is sensitive to ",RSC1," deletion. It is possible that in the absence of the RSC1 complex, certain promoters are not able to maintain an NFR and therefore have greater histone density at the promoter region. Future studies could examine the role of RSC1 complex versus RSC2 complex in the establishment and maintenance of Pol II promoter NFRs.
",Not_a_complex
20886085_27,s3,T7,T15,"At Pol II promoters, RSC activity generally involves single nucleosome events that help to form and maintain the NFR. These data were generated from studies using a temperature sensitive mutant of the Sth1 catalytic subunit, which is common to both the RSC1 and RSC2 complexes. We found that only the RSC1 complex affects genome-wide 5' acetylated H4 levels, and that the small STE11 cryptic transcript is sensitive to RSC1 deletion. It is possible that in the absence of the ",RSC1," complex, certain promoters are not able to maintain an NFR and therefore have greater ",histone," density at the promoter region. Future studies could examine the role of RSC1 complex versus RSC2 complex in the establishment and maintenance of Pol II promoter NFRs.
",Not_a_complex
