18404153,s0,T1,T2,The ,histone,-binding protein ,COPR5," is required for nuclear functions of the protein arginine methyltransferase PRMT5. 
Protein arginine methyltransferase 5 (PRMT5) targets nuclear and cytoplasmic proteins. Here, we identified a nuclear protein, called cooperator of PRMT5 (COPR5), involved in the nuclear functions of PRMT5. COPR5 tightly binds to PRMT5, both in vitro and in living cells, but not to other members of the PRMT family. PRMT5 bound to COPR5 methylates histone H4 (R3) preferentially when compared with histone H3 (R8), suggesting that COPR5 modulates the substrate specificity of nuclear PRMT5-containing complexes, at least towards histones. Markedly, recombinant COPR5 binds to the amino terminus of histone H4 and is required to recruit PRMT5 to reconstituted nucleosomes in vitro. Consistently, COPR5 depletion in cells strongly reduces PRMT5 recruitment on chromatin at the PRMT5 target gene cyclin E1 (CCNE1) in vivo. Moreover, both COPR5 depletion and overexpression affect CCNE1 promoter expression. We propose that COPR5 is an important chromatin adaptor for PRMT5 to function on a subset of its target genes. 
",Complex_formation
18404153,s0,T1,T3,The ,histone,-binding protein COPR5 is required for nuclear functions of the protein arginine methyltransferase ,PRMT5,". 
Protein arginine methyltransferase 5 (PRMT5) targets nuclear and cytoplasmic proteins. Here, we identified a nuclear protein, called cooperator of PRMT5 (COPR5), involved in the nuclear functions of PRMT5. COPR5 tightly binds to PRMT5, both in vitro and in living cells, but not to other members of the PRMT family. PRMT5 bound to COPR5 methylates histone H4 (R3) preferentially when compared with histone H3 (R8), suggesting that COPR5 modulates the substrate specificity of nuclear PRMT5-containing complexes, at least towards histones. Markedly, recombinant COPR5 binds to the amino terminus of histone H4 and is required to recruit PRMT5 to reconstituted nucleosomes in vitro. Consistently, COPR5 depletion in cells strongly reduces PRMT5 recruitment on chromatin at the PRMT5 target gene cyclin E1 (CCNE1) in vivo. Moreover, both COPR5 depletion and overexpression affect CCNE1 promoter expression. We propose that COPR5 is an important chromatin adaptor for PRMT5 to function on a subset of its target genes. 
",Not_a_complex
18404153,s0,T2,T3,The histone-binding protein ,COPR5, is required for nuclear functions of the protein arginine methyltransferase ,PRMT5,". 
Protein arginine methyltransferase 5 (PRMT5) targets nuclear and cytoplasmic proteins. Here, we identified a nuclear protein, called cooperator of PRMT5 (COPR5), involved in the nuclear functions of PRMT5. COPR5 tightly binds to PRMT5, both in vitro and in living cells, but not to other members of the PRMT family. PRMT5 bound to COPR5 methylates histone H4 (R3) preferentially when compared with histone H3 (R8), suggesting that COPR5 modulates the substrate specificity of nuclear PRMT5-containing complexes, at least towards histones. Markedly, recombinant COPR5 binds to the amino terminus of histone H4 and is required to recruit PRMT5 to reconstituted nucleosomes in vitro. Consistently, COPR5 depletion in cells strongly reduces PRMT5 recruitment on chromatin at the PRMT5 target gene cyclin E1 (CCNE1) in vivo. Moreover, both COPR5 depletion and overexpression affect CCNE1 promoter expression. We propose that COPR5 is an important chromatin adaptor for PRMT5 to function on a subset of its target genes. 
",Not_a_complex
18404153,s1,T4,T5,"The histone-binding protein COPR5 is required for nuclear functions of the protein arginine methyltransferase PRMT5. 
",Protein arginine methyltransferase 5, (,PRMT5,") targets nuclear and cytoplasmic proteins. Here, we identified a nuclear protein, called cooperator of PRMT5 (COPR5), involved in the nuclear functions of PRMT5. COPR5 tightly binds to PRMT5, both in vitro and in living cells, but not to other members of the PRMT family. PRMT5 bound to COPR5 methylates histone H4 (R3) preferentially when compared with histone H3 (R8), suggesting that COPR5 modulates the substrate specificity of nuclear PRMT5-containing complexes, at least towards histones. Markedly, recombinant COPR5 binds to the amino terminus of histone H4 and is required to recruit PRMT5 to reconstituted nucleosomes in vitro. Consistently, COPR5 depletion in cells strongly reduces PRMT5 recruitment on chromatin at the PRMT5 target gene cyclin E1 (CCNE1) in vivo. Moreover, both COPR5 depletion and overexpression affect CCNE1 promoter expression. We propose that COPR5 is an important chromatin adaptor for PRMT5 to function on a subset of its target genes. 
",Not_a_complex
18404153,s2,T6,T7,"The histone-binding protein COPR5 is required for nuclear functions of the protein arginine methyltransferase PRMT5. 
Protein arginine methyltransferase 5 (PRMT5) targets nuclear and cytoplasmic proteins. Here, we identified a nuclear protein, called ",cooperator of PRMT5, (,COPR5,"), involved in the nuclear functions of PRMT5. COPR5 tightly binds to PRMT5, both in vitro and in living cells, but not to other members of the PRMT family. PRMT5 bound to COPR5 methylates histone H4 (R3) preferentially when compared with histone H3 (R8), suggesting that COPR5 modulates the substrate specificity of nuclear PRMT5-containing complexes, at least towards histones. Markedly, recombinant COPR5 binds to the amino terminus of histone H4 and is required to recruit PRMT5 to reconstituted nucleosomes in vitro. Consistently, COPR5 depletion in cells strongly reduces PRMT5 recruitment on chromatin at the PRMT5 target gene cyclin E1 (CCNE1) in vivo. Moreover, both COPR5 depletion and overexpression affect CCNE1 promoter expression. We propose that COPR5 is an important chromatin adaptor for PRMT5 to function on a subset of its target genes. 
",Not_a_complex
18404153,s2,T6,T8,"The histone-binding protein COPR5 is required for nuclear functions of the protein arginine methyltransferase PRMT5. 
Protein arginine methyltransferase 5 (PRMT5) targets nuclear and cytoplasmic proteins. Here, we identified a nuclear protein, called ",cooperator of PRMT5," (COPR5), involved in the nuclear functions of ",PRMT5,". COPR5 tightly binds to PRMT5, both in vitro and in living cells, but not to other members of the PRMT family. PRMT5 bound to COPR5 methylates histone H4 (R3) preferentially when compared with histone H3 (R8), suggesting that COPR5 modulates the substrate specificity of nuclear PRMT5-containing complexes, at least towards histones. Markedly, recombinant COPR5 binds to the amino terminus of histone H4 and is required to recruit PRMT5 to reconstituted nucleosomes in vitro. Consistently, COPR5 depletion in cells strongly reduces PRMT5 recruitment on chromatin at the PRMT5 target gene cyclin E1 (CCNE1) in vivo. Moreover, both COPR5 depletion and overexpression affect CCNE1 promoter expression. We propose that COPR5 is an important chromatin adaptor for PRMT5 to function on a subset of its target genes. 
",Not_a_complex
18404153,s2,T7,T8,"The histone-binding protein COPR5 is required for nuclear functions of the protein arginine methyltransferase PRMT5. 
Protein arginine methyltransferase 5 (PRMT5) targets nuclear and cytoplasmic proteins. Here, we identified a nuclear protein, called cooperator of PRMT5 (",COPR5,"), involved in the nuclear functions of ",PRMT5,". COPR5 tightly binds to PRMT5, both in vitro and in living cells, but not to other members of the PRMT family. PRMT5 bound to COPR5 methylates histone H4 (R3) preferentially when compared with histone H3 (R8), suggesting that COPR5 modulates the substrate specificity of nuclear PRMT5-containing complexes, at least towards histones. Markedly, recombinant COPR5 binds to the amino terminus of histone H4 and is required to recruit PRMT5 to reconstituted nucleosomes in vitro. Consistently, COPR5 depletion in cells strongly reduces PRMT5 recruitment on chromatin at the PRMT5 target gene cyclin E1 (CCNE1) in vivo. Moreover, both COPR5 depletion and overexpression affect CCNE1 promoter expression. We propose that COPR5 is an important chromatin adaptor for PRMT5 to function on a subset of its target genes. 
",Not_a_complex
18404153,s3,T9,T10,"The histone-binding protein COPR5 is required for nuclear functions of the protein arginine methyltransferase PRMT5. 
Protein arginine methyltransferase 5 (PRMT5) targets nuclear and cytoplasmic proteins. Here, we identified a nuclear protein, called cooperator of PRMT5 (COPR5), involved in the nuclear functions of PRMT5. ",COPR5, tightly binds to ,PRMT5,", both in vitro and in living cells, but not to other members of the PRMT family. PRMT5 bound to COPR5 methylates histone H4 (R3) preferentially when compared with histone H3 (R8), suggesting that COPR5 modulates the substrate specificity of nuclear PRMT5-containing complexes, at least towards histones. Markedly, recombinant COPR5 binds to the amino terminus of histone H4 and is required to recruit PRMT5 to reconstituted nucleosomes in vitro. Consistently, COPR5 depletion in cells strongly reduces PRMT5 recruitment on chromatin at the PRMT5 target gene cyclin E1 (CCNE1) in vivo. Moreover, both COPR5 depletion and overexpression affect CCNE1 promoter expression. We propose that COPR5 is an important chromatin adaptor for PRMT5 to function on a subset of its target genes. 
",Complex_formation
18404153,s4,T11,T12,"The histone-binding protein COPR5 is required for nuclear functions of the protein arginine methyltransferase PRMT5. 
Protein arginine methyltransferase 5 (PRMT5) targets nuclear and cytoplasmic proteins. Here, we identified a nuclear protein, called cooperator of PRMT5 (COPR5), involved in the nuclear functions of PRMT5. COPR5 tightly binds to PRMT5, both in vitro and in living cells, but not to other members of the PRMT family. ",PRMT5, bound to ,COPR5," methylates histone H4 (R3) preferentially when compared with histone H3 (R8), suggesting that COPR5 modulates the substrate specificity of nuclear PRMT5-containing complexes, at least towards histones. Markedly, recombinant COPR5 binds to the amino terminus of histone H4 and is required to recruit PRMT5 to reconstituted nucleosomes in vitro. Consistently, COPR5 depletion in cells strongly reduces PRMT5 recruitment on chromatin at the PRMT5 target gene cyclin E1 (CCNE1) in vivo. Moreover, both COPR5 depletion and overexpression affect CCNE1 promoter expression. We propose that COPR5 is an important chromatin adaptor for PRMT5 to function on a subset of its target genes. 
",Complex_formation
18404153,s4,T16,T31,"The histone-binding protein COPR5 is required for nuclear functions of the protein arginine methyltransferase PRMT5. 
Protein arginine methyltransferase 5 (PRMT5) targets nuclear and cytoplasmic proteins. Here, we identified a nuclear protein, called cooperator of PRMT5 (COPR5), involved in the nuclear functions of PRMT5. COPR5 tightly binds to PRMT5, both in vitro and in living cells, but not to other members of the PRMT family. PRMT5 bound to COPR5 methylates histone H4 (R3) preferentially when compared with histone H3 (R8), suggesting that COPR5 modulates the substrate specificity of nuclear ",PRMT5,"-containing complexes, at least towards ",histones,". Markedly, recombinant COPR5 binds to the amino terminus of histone H4 and is required to recruit PRMT5 to reconstituted nucleosomes in vitro. Consistently, COPR5 depletion in cells strongly reduces PRMT5 recruitment on chromatin at the PRMT5 target gene cyclin E1 (CCNE1) in vivo. Moreover, both COPR5 depletion and overexpression affect CCNE1 promoter expression. We propose that COPR5 is an important chromatin adaptor for PRMT5 to function on a subset of its target genes. 
",Complex_formation
