19915589,s0,T10,T1,The chromosomal association of ,condensin II, is regulated by a noncatalytic function of ,PP2A,". 
Mitotic chromosomal assembly in vertebrates is regulated by condensin I and condensin II, which work cooperatively but have different chromosomal localization profiles and make distinct mechanistic contributions to this process. We show here that protein phosphatase 2A (PP2A), which interacts with condensin II but not condensin I, plays an essential role in targeting condensin II to chromosomes. Unexpectedly, our data indicate that PP2A acts as a recruiter protein rather than a catalytic enzyme to target condensin II to chromosomes. This recruiting activity of PP2A was inhibited by okadaic acid, but not by fostriecin, even though both molecules strongly inhibited the catalytic activity of PP2A. Additionally, we found that the chromokinesin KIF4a is also targeted to chromosomes via the noncatalytic activity of PP2A. Thus, our studies reveal a previously unknown contribution of PP2A to chromosome assembly. 
",Not_a_complex
19915589,s1,T11,T12,"The chromosomal association of condensin II is regulated by a noncatalytic function of PP2A. 
Mitotic chromosomal assembly in vertebrates is regulated by ",condensin I, and ,condensin II,", which work cooperatively but have different chromosomal localization profiles and make distinct mechanistic contributions to this process. We show here that protein phosphatase 2A (PP2A), which interacts with condensin II but not condensin I, plays an essential role in targeting condensin II to chromosomes. Unexpectedly, our data indicate that PP2A acts as a recruiter protein rather than a catalytic enzyme to target condensin II to chromosomes. This recruiting activity of PP2A was inhibited by okadaic acid, but not by fostriecin, even though both molecules strongly inhibited the catalytic activity of PP2A. Additionally, we found that the chromokinesin KIF4a is also targeted to chromosomes via the noncatalytic activity of PP2A. Thus, our studies reveal a previously unknown contribution of PP2A to chromosome assembly. 
",Not_a_complex
19915589,s2,T13,T14,"The chromosomal association of condensin II is regulated by a noncatalytic function of PP2A. 
Mitotic chromosomal assembly in vertebrates is regulated by condensin I and condensin II, which work cooperatively but have different chromosomal localization profiles and make distinct mechanistic contributions to this process. We show here that ",protein phosphatase 2A," (PP2A), which interacts with ",condensin II," but not condensin I, plays an essential role in targeting condensin II to chromosomes. Unexpectedly, our data indicate that PP2A acts as a recruiter protein rather than a catalytic enzyme to target condensin II to chromosomes. This recruiting activity of PP2A was inhibited by okadaic acid, but not by fostriecin, even though both molecules strongly inhibited the catalytic activity of PP2A. Additionally, we found that the chromokinesin KIF4a is also targeted to chromosomes via the noncatalytic activity of PP2A. Thus, our studies reveal a previously unknown contribution of PP2A to chromosome assembly. 
",Complex_formation
19915589,s2,T2,T14,"The chromosomal association of condensin II is regulated by a noncatalytic function of PP2A. 
Mitotic chromosomal assembly in vertebrates is regulated by condensin I and condensin II, which work cooperatively but have different chromosomal localization profiles and make distinct mechanistic contributions to this process. We show here that protein phosphatase 2A (",PP2A,"), which interacts with ",condensin II," but not condensin I, plays an essential role in targeting condensin II to chromosomes. Unexpectedly, our data indicate that PP2A acts as a recruiter protein rather than a catalytic enzyme to target condensin II to chromosomes. This recruiting activity of PP2A was inhibited by okadaic acid, but not by fostriecin, even though both molecules strongly inhibited the catalytic activity of PP2A. Additionally, we found that the chromokinesin KIF4a is also targeted to chromosomes via the noncatalytic activity of PP2A. Thus, our studies reveal a previously unknown contribution of PP2A to chromosome assembly. 
",Complex_formation
19915589,s2,T13,T16,"The chromosomal association of condensin II is regulated by a noncatalytic function of PP2A. 
Mitotic chromosomal assembly in vertebrates is regulated by condensin I and condensin II, which work cooperatively but have different chromosomal localization profiles and make distinct mechanistic contributions to this process. We show here that ",protein phosphatase 2A," (PP2A), which interacts with condensin II but not condensin I, plays an essential role in targeting ",condensin II," to chromosomes. Unexpectedly, our data indicate that PP2A acts as a recruiter protein rather than a catalytic enzyme to target condensin II to chromosomes. This recruiting activity of PP2A was inhibited by okadaic acid, but not by fostriecin, even though both molecules strongly inhibited the catalytic activity of PP2A. Additionally, we found that the chromokinesin KIF4a is also targeted to chromosomes via the noncatalytic activity of PP2A. Thus, our studies reveal a previously unknown contribution of PP2A to chromosome assembly. 
",Not_a_complex
19915589,s2,T14,T16,"The chromosomal association of condensin II is regulated by a noncatalytic function of PP2A. 
Mitotic chromosomal assembly in vertebrates is regulated by condensin I and condensin II, which work cooperatively but have different chromosomal localization profiles and make distinct mechanistic contributions to this process. We show here that protein phosphatase 2A (PP2A), which interacts with ",condensin II," but not condensin I, plays an essential role in targeting ",condensin II," to chromosomes. Unexpectedly, our data indicate that PP2A acts as a recruiter protein rather than a catalytic enzyme to target condensin II to chromosomes. This recruiting activity of PP2A was inhibited by okadaic acid, but not by fostriecin, even though both molecules strongly inhibited the catalytic activity of PP2A. Additionally, we found that the chromokinesin KIF4a is also targeted to chromosomes via the noncatalytic activity of PP2A. Thus, our studies reveal a previously unknown contribution of PP2A to chromosome assembly. 
",Not_a_complex
19915589,s2,T13,T2,"The chromosomal association of condensin II is regulated by a noncatalytic function of PP2A. 
Mitotic chromosomal assembly in vertebrates is regulated by condensin I and condensin II, which work cooperatively but have different chromosomal localization profiles and make distinct mechanistic contributions to this process. We show here that ",protein phosphatase 2A, (,PP2A,"), which interacts with condensin II but not condensin I, plays an essential role in targeting condensin II to chromosomes. Unexpectedly, our data indicate that PP2A acts as a recruiter protein rather than a catalytic enzyme to target condensin II to chromosomes. This recruiting activity of PP2A was inhibited by okadaic acid, but not by fostriecin, even though both molecules strongly inhibited the catalytic activity of PP2A. Additionally, we found that the chromokinesin KIF4a is also targeted to chromosomes via the noncatalytic activity of PP2A. Thus, our studies reveal a previously unknown contribution of PP2A to chromosome assembly. 
",Not_a_complex
19915589,s2,T2,T16,"The chromosomal association of condensin II is regulated by a noncatalytic function of PP2A. 
Mitotic chromosomal assembly in vertebrates is regulated by condensin I and condensin II, which work cooperatively but have different chromosomal localization profiles and make distinct mechanistic contributions to this process. We show here that protein phosphatase 2A (",PP2A,"), which interacts with condensin II but not condensin I, plays an essential role in targeting ",condensin II," to chromosomes. Unexpectedly, our data indicate that PP2A acts as a recruiter protein rather than a catalytic enzyme to target condensin II to chromosomes. This recruiting activity of PP2A was inhibited by okadaic acid, but not by fostriecin, even though both molecules strongly inhibited the catalytic activity of PP2A. Additionally, we found that the chromokinesin KIF4a is also targeted to chromosomes via the noncatalytic activity of PP2A. Thus, our studies reveal a previously unknown contribution of PP2A to chromosome assembly. 
",Not_a_complex
19915589,s2,T2,T6,"The chromosomal association of condensin II is regulated by a noncatalytic function of PP2A. 
Mitotic chromosomal assembly in vertebrates is regulated by condensin I and condensin II, which work cooperatively but have different chromosomal localization profiles and make distinct mechanistic contributions to this process. We show here that protein phosphatase 2A (",PP2A,"), which interacts with condensin II but not ",condensin I,", plays an essential role in targeting condensin II to chromosomes. Unexpectedly, our data indicate that PP2A acts as a recruiter protein rather than a catalytic enzyme to target condensin II to chromosomes. This recruiting activity of PP2A was inhibited by okadaic acid, but not by fostriecin, even though both molecules strongly inhibited the catalytic activity of PP2A. Additionally, we found that the chromokinesin KIF4a is also targeted to chromosomes via the noncatalytic activity of PP2A. Thus, our studies reveal a previously unknown contribution of PP2A to chromosome assembly. 
",Not_a_complex
19915589,s2,T13,T6,"The chromosomal association of condensin II is regulated by a noncatalytic function of PP2A. 
Mitotic chromosomal assembly in vertebrates is regulated by condensin I and condensin II, which work cooperatively but have different chromosomal localization profiles and make distinct mechanistic contributions to this process. We show here that ",protein phosphatase 2A," (PP2A), which interacts with condensin II but not ",condensin I,", plays an essential role in targeting condensin II to chromosomes. Unexpectedly, our data indicate that PP2A acts as a recruiter protein rather than a catalytic enzyme to target condensin II to chromosomes. This recruiting activity of PP2A was inhibited by okadaic acid, but not by fostriecin, even though both molecules strongly inhibited the catalytic activity of PP2A. Additionally, we found that the chromokinesin KIF4a is also targeted to chromosomes via the noncatalytic activity of PP2A. Thus, our studies reveal a previously unknown contribution of PP2A to chromosome assembly. 
",Not_a_complex
19915589,s2,T14,T6,"The chromosomal association of condensin II is regulated by a noncatalytic function of PP2A. 
Mitotic chromosomal assembly in vertebrates is regulated by condensin I and condensin II, which work cooperatively but have different chromosomal localization profiles and make distinct mechanistic contributions to this process. We show here that protein phosphatase 2A (PP2A), which interacts with ",condensin II, but not ,condensin I,", plays an essential role in targeting condensin II to chromosomes. Unexpectedly, our data indicate that PP2A acts as a recruiter protein rather than a catalytic enzyme to target condensin II to chromosomes. This recruiting activity of PP2A was inhibited by okadaic acid, but not by fostriecin, even though both molecules strongly inhibited the catalytic activity of PP2A. Additionally, we found that the chromokinesin KIF4a is also targeted to chromosomes via the noncatalytic activity of PP2A. Thus, our studies reveal a previously unknown contribution of PP2A to chromosome assembly. 
",Not_a_complex
