22196728,s2,T19,T33,We report that nodal ,TGF-beta, signals use the poised ,histone, mark H3K9me3 to trigger differentiation of mammalian embryonic stem cells.,Not_a_complex
22196728,s2,T19,T34,We report that nodal ,TGF-beta, signals use the poised histone mark ,H3K9me3, to trigger differentiation of mammalian embryonic stem cells.,Not_a_complex
22196728,s2,T33,T34,We report that nodal TGF-beta signals use the poised ,histone, mark ,H3K9me3, to trigger differentiation of mammalian embryonic stem cells.,Not_a_complex
22196728,s3,T1,T2,Nodal receptors induce the formation of companion ,Smad4,-,Smad2,/3 and TRIM33-Smad2/3 complexes.,Complex_formation
22196728,s3,T1,T21,Nodal receptors induce the formation of companion ,Smad4,-Smad2/,3, and TRIM33-Smad2/3 complexes.,Complex_formation
22196728,s3,T2,T21,Nodal receptors induce the formation of companion Smad4-,Smad2,/,3, and TRIM33-Smad2/3 complexes.,Complex_formation
22196728,s3,T3,T22,Nodal receptors induce the formation of companion Smad4-Smad2/3 and ,TRIM33,-Smad2/,3, complexes.,Complex_formation
22196728,s3,T3,T4,Nodal receptors induce the formation of companion Smad4-Smad2/3 and ,TRIM33,-,Smad2,/3 complexes.,Complex_formation
22196728,s3,T4,T22,Nodal receptors induce the formation of companion Smad4-Smad2/3 and TRIM33-,Smad2,/,3, complexes.,Complex_formation
22196728,s3,T1,T22,Nodal receptors induce the formation of companion ,Smad4,-Smad2/3 and TRIM33-Smad2/,3, complexes.,Not_a_complex
22196728,s3,T1,T3,Nodal receptors induce the formation of companion ,Smad4,-Smad2/3 and ,TRIM33,-Smad2/3 complexes.,Not_a_complex
22196728,s3,T1,T4,Nodal receptors induce the formation of companion ,Smad4,-Smad2/3 and TRIM33-,Smad2,/3 complexes.,Not_a_complex
22196728,s3,T2,T22,Nodal receptors induce the formation of companion Smad4-,Smad2,/3 and TRIM33-Smad2/,3, complexes.,Not_a_complex
22196728,s3,T2,T3,Nodal receptors induce the formation of companion Smad4-,Smad2,/3 and ,TRIM33,-Smad2/3 complexes.,Not_a_complex
