16828831,s1,T1,T2,,TRIM5alpha, is a potent inhibitor of infection by diverse retroviruses and is encoded by one of a large family of ,TRIM, genes.,Not_a_complex
16828831,s2,T13,T14,"We found that several TRIM motifs among a panel of selected human TRIM proteins (TRIM1, ",5,", ",6,", 18, 19, 21 22, 34) could inhibit infection when artificially targeted to an incoming HIV-1 capsid.",Not_a_complex
16828831,s2,T13,T15,"We found that several TRIM motifs among a panel of selected human TRIM proteins (TRIM1, ",5,", 6, ",18,", 19, 21 22, 34) could inhibit infection when artificially targeted to an incoming HIV-1 capsid.",Not_a_complex
16828831,s2,T13,T16,"We found that several TRIM motifs among a panel of selected human TRIM proteins (TRIM1, ",5,", 6, 18, ",19,", 21 22, 34) could inhibit infection when artificially targeted to an incoming HIV-1 capsid.",Not_a_complex
16828831,s2,T13,T17,"We found that several TRIM motifs among a panel of selected human TRIM proteins (TRIM1, ",5,", 6, 18, 19, ",21," 22, 34) could inhibit infection when artificially targeted to an incoming HIV-1 capsid.",Not_a_complex
16828831,s2,T13,T18,"We found that several TRIM motifs among a panel of selected human TRIM proteins (TRIM1, ",5,", 6, 18, 19, 21 ",22,", 34) could inhibit infection when artificially targeted to an incoming HIV-1 capsid.",Not_a_complex
16828831,s2,T13,T19,"We found that several TRIM motifs among a panel of selected human TRIM proteins (TRIM1, ",5,", 6, 18, 19, 21 22, ",34,) could inhibit infection when artificially targeted to an incoming HIV-1 capsid.,Not_a_complex
16828831,s2,T14,T15,"We found that several TRIM motifs among a panel of selected human TRIM proteins (TRIM1, 5, ",6,", ",18,", 19, 21 22, 34) could inhibit infection when artificially targeted to an incoming HIV-1 capsid.",Not_a_complex
16828831,s2,T14,T16,"We found that several TRIM motifs among a panel of selected human TRIM proteins (TRIM1, 5, ",6,", 18, ",19,", 21 22, 34) could inhibit infection when artificially targeted to an incoming HIV-1 capsid.",Not_a_complex
16828831,s2,T14,T17,"We found that several TRIM motifs among a panel of selected human TRIM proteins (TRIM1, 5, ",6,", 18, 19, ",21," 22, 34) could inhibit infection when artificially targeted to an incoming HIV-1 capsid.",Not_a_complex
16828831,s2,T14,T18,"We found that several TRIM motifs among a panel of selected human TRIM proteins (TRIM1, 5, ",6,", 18, 19, 21 ",22,", 34) could inhibit infection when artificially targeted to an incoming HIV-1 capsid.",Not_a_complex
