8530401,s0,T18,T19,A physiological role for Saccharomyces cerevisiae ,copper/zinc superoxide dismutase, in ,copper," buffering. 
",Not_a_complex
8530401,s1,T1,T2,The copper toxicity of yeast lacking the ,CUP1, metallothionein is suppressed by overexpression of the ,CRS4, gene.,Not_a_complex
8530401,s1,T20,T1,The ,copper, toxicity of yeast lacking the ,CUP1, metallothionein is suppressed by overexpression of the CRS4 gene.,Not_a_complex
8530401,s1,T20,T2,The ,copper, toxicity of yeast lacking the CUP1 metallothionein is suppressed by overexpression of the ,CRS4, gene.,Not_a_complex
8530401,s2,T21,T22,"We now demonstrate that CRS4 is equivalent to SOD1, encoding ",copper/zinc superoxide dismutase, (,SOD,).,Not_a_complex
8530401,s2,T3,T21,We now demonstrate that ,CRS4," is equivalent to SOD1, encoding ",copper/zinc superoxide dismutase, (SOD).,Not_a_complex
8530401,s2,T3,T22,We now demonstrate that ,CRS4," is equivalent to SOD1, encoding copper/zinc superoxide dismutase (",SOD,).,Not_a_complex
8530401,s2,T3,T4,We now demonstrate that ,CRS4, is equivalent to ,SOD1,", encoding copper/zinc superoxide dismutase (SOD).",Not_a_complex
8530401,s2,T4,T21,We now demonstrate that CRS4 is equivalent to ,SOD1,", encoding ",copper/zinc superoxide dismutase, (SOD).,Not_a_complex
8530401,s2,T4,T22,We now demonstrate that CRS4 is equivalent to ,SOD1,", encoding copper/zinc superoxide dismutase (",SOD,).,Not_a_complex
8530401,s3,T23,T24,While overexpression of SOD1 enhanced ,copper," resistance, a deletion of SOD1, but not SOD2 (encoding ",manganese," SOD), conferred an increased sensitivity toward copper.",Not_a_complex
8530401,s3,T23,T25,While overexpression of SOD1 enhanced ,copper," resistance, a deletion of SOD1, but not SOD2 (encoding manganese ",SOD,"), conferred an increased sensitivity toward copper.",Not_a_complex
8530401,s3,T23,T26,While overexpression of SOD1 enhanced ,copper," resistance, a deletion of SOD1, but not SOD2 (encoding manganese SOD), conferred an increased sensitivity toward ",copper,.,Not_a_complex
8530401,s3,T24,T25,"While overexpression of SOD1 enhanced copper resistance, a deletion of SOD1, but not SOD2 (encoding ",manganese, ,SOD,"), conferred an increased sensitivity toward copper.",Not_a_complex
8530401,s3,T24,T26,"While overexpression of SOD1 enhanced copper resistance, a deletion of SOD1, but not SOD2 (encoding ",manganese," SOD), conferred an increased sensitivity toward ",copper,.,Not_a_complex
8530401,s3,T25,T26,"While overexpression of SOD1 enhanced copper resistance, a deletion of SOD1, but not SOD2 (encoding manganese ",SOD,"), conferred an increased sensitivity toward ",copper,.,Not_a_complex
8530401,s3,T5,T23,While overexpression of ,SOD1, enhanced ,copper," resistance, a deletion of SOD1, but not SOD2 (encoding manganese SOD), conferred an increased sensitivity toward copper.",Not_a_complex
8530401,s3,T5,T24,While overexpression of ,SOD1," enhanced copper resistance, a deletion of SOD1, but not SOD2 (encoding ",manganese," SOD), conferred an increased sensitivity toward copper.",Not_a_complex
8530401,s3,T5,T25,While overexpression of ,SOD1," enhanced copper resistance, a deletion of SOD1, but not SOD2 (encoding manganese ",SOD,"), conferred an increased sensitivity toward copper.",Not_a_complex
8530401,s3,T5,T26,While overexpression of ,SOD1," enhanced copper resistance, a deletion of SOD1, but not SOD2 (encoding manganese SOD), conferred an increased sensitivity toward ",copper,.,Not_a_complex
8530401,s3,T5,T6,While overexpression of ,SOD1," enhanced copper resistance, a deletion of ",SOD1,", but not SOD2 (encoding manganese SOD), conferred an increased sensitivity toward copper.",Not_a_complex
8530401,s3,T5,T7,While overexpression of ,SOD1," enhanced copper resistance, a deletion of SOD1, but not ",SOD2," (encoding manganese SOD), conferred an increased sensitivity toward copper.",Not_a_complex
8530401,s3,T23,T6,While overexpression of SOD1 enhanced ,copper," resistance, a deletion of ",SOD1,", but not SOD2 (encoding manganese SOD), conferred an increased sensitivity toward copper.",Not_a_complex
8530401,s3,T6,T24,"While overexpression of SOD1 enhanced copper resistance, a deletion of ",SOD1,", but not SOD2 (encoding ",manganese," SOD), conferred an increased sensitivity toward copper.",Not_a_complex
8530401,s3,T6,T25,"While overexpression of SOD1 enhanced copper resistance, a deletion of ",SOD1,", but not SOD2 (encoding manganese ",SOD,"), conferred an increased sensitivity toward copper.",Not_a_complex
8530401,s3,T6,T26,"While overexpression of SOD1 enhanced copper resistance, a deletion of ",SOD1,", but not SOD2 (encoding manganese SOD), conferred an increased sensitivity toward ",copper,.,Not_a_complex
8530401,s3,T6,T7,"While overexpression of SOD1 enhanced copper resistance, a deletion of ",SOD1,", but not ",SOD2," (encoding manganese SOD), conferred an increased sensitivity toward copper.",Not_a_complex
8530401,s3,T23,T7,While overexpression of SOD1 enhanced ,copper," resistance, a deletion of SOD1, but not ",SOD2," (encoding manganese SOD), conferred an increased sensitivity toward copper.",Not_a_complex
8530401,s3,T7,T24,"While overexpression of SOD1 enhanced copper resistance, a deletion of SOD1, but not ",SOD2, (encoding ,manganese," SOD), conferred an increased sensitivity toward copper.",Not_a_complex
8530401,s3,T7,T25,"While overexpression of SOD1 enhanced copper resistance, a deletion of SOD1, but not ",SOD2, (encoding manganese ,SOD,"), conferred an increased sensitivity toward copper.",Not_a_complex
8530401,s3,T7,T26,"While overexpression of SOD1 enhanced copper resistance, a deletion of SOD1, but not ",SOD2," (encoding manganese SOD), conferred an increased sensitivity toward ",copper,.,Not_a_complex
8530401,s4,T27,T28,This role of SOD1 in ,copper," buffering appears unrelated to its superoxide scavenging activity, since the enzyme protected against ",copper, toxicity in anaerobic as well as aerobic conditions.,Not_a_complex
8530401,s4,T8,T27,This role of ,SOD1, in ,copper," buffering appears unrelated to its superoxide scavenging activity, since the enzyme protected against copper toxicity in anaerobic as well as aerobic conditions.",Not_a_complex
8530401,s4,T8,T28,This role of ,SOD1," in copper buffering appears unrelated to its superoxide scavenging activity, since the enzyme protected against ",copper, toxicity in anaerobic as well as aerobic conditions.,Not_a_complex
8530401,s5,T10,T11,The distinct roles of SOD1 in copper and oxygen radical homeostasis could also be separated genetically: the ,pmr1,", ",bsd2,", and ATX1 genes that suppress oxygen toxicity in sod1 mutants failed to suppress the copper sensitivity of these cells.",Not_a_complex
8530401,s5,T10,T12,The distinct roles of SOD1 in copper and oxygen radical homeostasis could also be separated genetically: the ,pmr1,", bsd2, and ",ATX1, genes that suppress oxygen toxicity in sod1 mutants failed to suppress the copper sensitivity of these cells.,Not_a_complex
8530401,s5,T10,T13,The distinct roles of SOD1 in copper and oxygen radical homeostasis could also be separated genetically: the ,pmr1,", bsd2, and ATX1 genes that suppress oxygen toxicity in ",sod1, mutants failed to suppress the copper sensitivity of these cells.,Not_a_complex
8530401,s5,T29,T10,The distinct roles of SOD1 in ,copper, and oxygen radical homeostasis could also be separated genetically: the ,pmr1,", bsd2, and ATX1 genes that suppress oxygen toxicity in sod1 mutants failed to suppress the copper sensitivity of these cells.",Not_a_complex
8530401,s5,T30,T10,The distinct roles of SOD1 in copper and ,oxygen, radical homeostasis could also be separated genetically: the ,pmr1,", bsd2, and ATX1 genes that suppress oxygen toxicity in sod1 mutants failed to suppress the copper sensitivity of these cells.",Not_a_complex
8530401,s5,T10,T31,The distinct roles of SOD1 in copper and oxygen radical homeostasis could also be separated genetically: the ,pmr1,", bsd2, and ATX1 genes that suppress ",oxygen, toxicity in sod1 mutants failed to suppress the copper sensitivity of these cells.,Not_a_complex
8530401,s5,T10,T32,The distinct roles of SOD1 in copper and oxygen radical homeostasis could also be separated genetically: the ,pmr1,", bsd2, and ATX1 genes that suppress oxygen toxicity in sod1 mutants failed to suppress the ",copper, sensitivity of these cells.,Not_a_complex
8530401,s5,T11,T12,"The distinct roles of SOD1 in copper and oxygen radical homeostasis could also be separated genetically: the pmr1, ",bsd2,", and ",ATX1, genes that suppress oxygen toxicity in sod1 mutants failed to suppress the copper sensitivity of these cells.,Not_a_complex
8530401,s5,T11,T13,"The distinct roles of SOD1 in copper and oxygen radical homeostasis could also be separated genetically: the pmr1, ",bsd2,", and ATX1 genes that suppress oxygen toxicity in ",sod1, mutants failed to suppress the copper sensitivity of these cells.,Not_a_complex
8530401,s5,T29,T11,The distinct roles of SOD1 in ,copper," and oxygen radical homeostasis could also be separated genetically: the pmr1, ",bsd2,", and ATX1 genes that suppress oxygen toxicity in sod1 mutants failed to suppress the copper sensitivity of these cells.",Not_a_complex
8530401,s5,T30,T11,The distinct roles of SOD1 in copper and ,oxygen," radical homeostasis could also be separated genetically: the pmr1, ",bsd2,", and ATX1 genes that suppress oxygen toxicity in sod1 mutants failed to suppress the copper sensitivity of these cells.",Not_a_complex
8530401,s5,T11,T31,"The distinct roles of SOD1 in copper and oxygen radical homeostasis could also be separated genetically: the pmr1, ",bsd2,", and ATX1 genes that suppress ",oxygen, toxicity in sod1 mutants failed to suppress the copper sensitivity of these cells.,Not_a_complex
8530401,s5,T11,T32,"The distinct roles of SOD1 in copper and oxygen radical homeostasis could also be separated genetically: the pmr1, ",bsd2,", and ATX1 genes that suppress oxygen toxicity in sod1 mutants failed to suppress the ",copper, sensitivity of these cells.,Not_a_complex
8530401,s5,T12,T13,"The distinct roles of SOD1 in copper and oxygen radical homeostasis could also be separated genetically: the pmr1, bsd2, and ",ATX1, genes that suppress oxygen toxicity in ,sod1, mutants failed to suppress the copper sensitivity of these cells.,Not_a_complex
8530401,s5,T29,T12,The distinct roles of SOD1 in ,copper," and oxygen radical homeostasis could also be separated genetically: the pmr1, bsd2, and ",ATX1, genes that suppress oxygen toxicity in sod1 mutants failed to suppress the copper sensitivity of these cells.,Not_a_complex
8530401,s5,T30,T12,The distinct roles of SOD1 in copper and ,oxygen," radical homeostasis could also be separated genetically: the pmr1, bsd2, and ",ATX1, genes that suppress oxygen toxicity in sod1 mutants failed to suppress the copper sensitivity of these cells.,Not_a_complex
