28553222_48,s0,T4,T5,,Arc," has predicted consensus SUMOylation sites at lysine 110 and lysine 286 (Bramham et al.,), and mutation of these sites blocks in vitro ",Arc," SUMOylation in HEK cells (Craig et al.,).",Not_a_complex
28553222_48,s1,T6,T10,"In cultured hippocampal neurons, viral overexpression of the ",Arc,"-KK SUMO mutant, but not wild-type Arc, prevents tetrodotoxin-induced synaptic scaling, indicating that Arc SUMOylation may be required for homeostatic scaling of ",AMPARs," (Craig et al.,).",Not_a_complex
28553222_48,s1,T6,T7,"In cultured hippocampal neurons, viral overexpression of the ",Arc,"-KK SUMO mutant, but not wild-type ",Arc,", prevents tetrodotoxin-induced synaptic scaling, indicating that Arc SUMOylation may be required for homeostatic scaling of AMPARs (Craig et al.,).",Not_a_complex
28553222_48,s1,T6,T8,"In cultured hippocampal neurons, viral overexpression of the ",Arc,"-KK SUMO mutant, but not wild-type Arc, prevents ",tetrodotoxin,"-induced synaptic scaling, indicating that Arc SUMOylation may be required for homeostatic scaling of AMPARs (Craig et al.,).",Not_a_complex
28553222_48,s1,T6,T9,"In cultured hippocampal neurons, viral overexpression of the ",Arc,"-KK SUMO mutant, but not wild-type Arc, prevents tetrodotoxin-induced synaptic scaling, indicating that ",Arc," SUMOylation may be required for homeostatic scaling of AMPARs (Craig et al.,).",Not_a_complex
28553222_48,s1,T7,T10,"In cultured hippocampal neurons, viral overexpression of the Arc-KK SUMO mutant, but not wild-type ",Arc,", prevents tetrodotoxin-induced synaptic scaling, indicating that Arc SUMOylation may be required for homeostatic scaling of ",AMPARs," (Craig et al.,).",Not_a_complex
28553222_48,s1,T7,T8,"In cultured hippocampal neurons, viral overexpression of the Arc-KK SUMO mutant, but not wild-type ",Arc,", prevents ",tetrodotoxin,"-induced synaptic scaling, indicating that Arc SUMOylation may be required for homeostatic scaling of AMPARs (Craig et al.,).",Not_a_complex
28553222_48,s1,T7,T9,"In cultured hippocampal neurons, viral overexpression of the Arc-KK SUMO mutant, but not wild-type ",Arc,", prevents tetrodotoxin-induced synaptic scaling, indicating that ",Arc," SUMOylation may be required for homeostatic scaling of AMPARs (Craig et al.,).",Not_a_complex
28553222_48,s1,T8,T10,"In cultured hippocampal neurons, viral overexpression of the Arc-KK SUMO mutant, but not wild-type Arc, prevents ",tetrodotoxin,"-induced synaptic scaling, indicating that Arc SUMOylation may be required for homeostatic scaling of ",AMPARs," (Craig et al.,).",Not_a_complex
28553222_48,s1,T8,T9,"In cultured hippocampal neurons, viral overexpression of the Arc-KK SUMO mutant, but not wild-type Arc, prevents ",tetrodotoxin,"-induced synaptic scaling, indicating that ",Arc," SUMOylation may be required for homeostatic scaling of AMPARs (Craig et al.,).",Not_a_complex
28553222_48,s1,T9,T10,"In cultured hippocampal neurons, viral overexpression of the Arc-KK SUMO mutant, but not wild-type Arc, prevents tetrodotoxin-induced synaptic scaling, indicating that ",Arc, SUMOylation may be required for homeostatic scaling of ,AMPARs," (Craig et al.,).",Not_a_complex
28553222_48,s2,T11,T1,Overexpression of ,Arc,-KK does not affect ,GluA1," endocytosis, suggesting that Arc SUMOylation promotes the forward trafficking of GluA1 to the cell surface and thus favors homeostatic potentiation of synapses during chronic acitivity blockade (Craig and Henley,; Craig et al.,).",Not_a_complex
28553222_48,s2,T1,T12,Overexpression of Arc-KK does not affect ,GluA1," endocytosis, suggesting that ",Arc," SUMOylation promotes the forward trafficking of GluA1 to the cell surface and thus favors homeostatic potentiation of synapses during chronic acitivity blockade (Craig and Henley,; Craig et al.,).",Not_a_complex
28553222_48,s2,T1,T2,Overexpression of Arc-KK does not affect ,GluA1," endocytosis, suggesting that Arc SUMOylation promotes the forward trafficking of ",GluA1," to the cell surface and thus favors homeostatic potentiation of synapses during chronic acitivity blockade (Craig and Henley,; Craig et al.,).",Not_a_complex
28553222_48,s2,T11,T12,Overexpression of ,Arc,"-KK does not affect GluA1 endocytosis, suggesting that ",Arc," SUMOylation promotes the forward trafficking of GluA1 to the cell surface and thus favors homeostatic potentiation of synapses during chronic acitivity blockade (Craig and Henley,; Craig et al.,).",Not_a_complex
28553222_48,s2,T11,T2,Overexpression of ,Arc,"-KK does not affect GluA1 endocytosis, suggesting that Arc SUMOylation promotes the forward trafficking of ",GluA1," to the cell surface and thus favors homeostatic potentiation of synapses during chronic acitivity blockade (Craig and Henley,; Craig et al.,).",Not_a_complex
28553222_48,s2,T12,T2,"Overexpression of Arc-KK does not affect GluA1 endocytosis, suggesting that ",Arc, SUMOylation promotes the forward trafficking of ,GluA1," to the cell surface and thus favors homeostatic potentiation of synapses during chronic acitivity blockade (Craig and Henley,; Craig et al.,).",Not_a_complex
28553222_48,s3,T3,T13,It is further noteworthy that ,drebrin A,", which we have shown interacts with SUMOylated ",Arc,", is implicated in the activity-dependent membrane insertion of AMPARs (Kato et al.,).
",Complex_formation
28553222_48,s3,T13,T14,"It is further noteworthy that drebrin A, which we have shown interacts with SUMOylated ",Arc,", is implicated in the activity-dependent membrane insertion of ",AMPARs," (Kato et al.,).
",Not_a_complex
28553222_48,s3,T3,T14,It is further noteworthy that ,drebrin A,", which we have shown interacts with SUMOylated Arc, is implicated in the activity-dependent membrane insertion of ",AMPARs," (Kato et al.,).
",Not_a_complex
