22623373_2,s1,T8,T1,,Proteasomal 20S core particles, (,CPs,") from the haloarchaeon Haloferax volcanii were used to investigate the quaternary structure of halophilic proteins based on their symmetrical, yet distinct subunit composition.",Not_a_complex
22623373_2,s2,T9,T10,Proteasomal CPs are cylindrical barrel-like structures of four-stacked homoheptameric rings of ,Alfa-, and ,Beta-type, subunits organized in Alfa(7)Beta(7) Beta(7)Alfa(7) stoichiometry.,Complex_formation
22623373_2,s2,T10,T11,Proteasomal CPs are cylindrical barrel-like structures of four-stacked homoheptameric rings of Alfa- and ,Beta-type, subunits organized in ,Alfa,(7)Beta(7) Beta(7)Alfa(7) stoichiometry.,Not_a_complex
22623373_2,s2,T10,T12,Proteasomal CPs are cylindrical barrel-like structures of four-stacked homoheptameric rings of Alfa- and ,Beta-type, subunits organized in Alfa(7),Beta,(7) Beta(7)Alfa(7) stoichiometry.,Not_a_complex
22623373_2,s2,T10,T13,Proteasomal CPs are cylindrical barrel-like structures of four-stacked homoheptameric rings of Alfa- and ,Beta-type, subunits organized in Alfa(7)Beta(7) ,Beta,(7)Alfa(7) stoichiometry.,Not_a_complex
22623373_2,s2,T10,T14,Proteasomal CPs are cylindrical barrel-like structures of four-stacked homoheptameric rings of Alfa- and ,Beta-type, subunits organized in Alfa(7)Beta(7) Beta(7),Alfa,(7) stoichiometry.,Not_a_complex
22623373_2,s2,T11,T12,Proteasomal CPs are cylindrical barrel-like structures of four-stacked homoheptameric rings of Alfa- and Beta-type subunits organized in ,Alfa,(7),Beta,(7) Beta(7)Alfa(7) stoichiometry.,Not_a_complex
22623373_2,s2,T11,T13,Proteasomal CPs are cylindrical barrel-like structures of four-stacked homoheptameric rings of Alfa- and Beta-type subunits organized in ,Alfa,(7)Beta(7) ,Beta,(7)Alfa(7) stoichiometry.,Not_a_complex
22623373_2,s2,T11,T14,Proteasomal CPs are cylindrical barrel-like structures of four-stacked homoheptameric rings of Alfa- and Beta-type subunits organized in ,Alfa,(7)Beta(7) Beta(7),Alfa,(7) stoichiometry.,Not_a_complex
22623373_2,s2,T12,T13,Proteasomal CPs are cylindrical barrel-like structures of four-stacked homoheptameric rings of Alfa- and Beta-type subunits organized in Alfa(7),Beta,(7) ,Beta,(7)Alfa(7) stoichiometry.,Not_a_complex
22623373_2,s2,T12,T14,Proteasomal CPs are cylindrical barrel-like structures of four-stacked homoheptameric rings of Alfa- and Beta-type subunits organized in Alfa(7),Beta,(7) Beta(7),Alfa,(7) stoichiometry.,Not_a_complex
22623373_2,s2,T13,T14,Proteasomal CPs are cylindrical barrel-like structures of four-stacked homoheptameric rings of Alfa- and Beta-type subunits organized in Alfa(7)Beta(7) ,Beta,(7),Alfa,(7) stoichiometry.,Not_a_complex
22623373_2,s2,T2,T10,Proteasomal ,CPs, are cylindrical barrel-like structures of four-stacked homoheptameric rings of Alfa- and ,Beta-type, subunits organized in Alfa(7)Beta(7) Beta(7)Alfa(7) stoichiometry.,Not_a_complex
22623373_2,s2,T2,T11,Proteasomal ,CPs, are cylindrical barrel-like structures of four-stacked homoheptameric rings of Alfa- and Beta-type subunits organized in ,Alfa,(7)Beta(7) Beta(7)Alfa(7) stoichiometry.,Not_a_complex
22623373_2,s2,T2,T12,Proteasomal ,CPs, are cylindrical barrel-like structures of four-stacked homoheptameric rings of Alfa- and Beta-type subunits organized in Alfa(7),Beta,(7) Beta(7)Alfa(7) stoichiometry.,Not_a_complex
22623373_2,s2,T2,T13,Proteasomal ,CPs, are cylindrical barrel-like structures of four-stacked homoheptameric rings of Alfa- and Beta-type subunits organized in Alfa(7)Beta(7) ,Beta,(7)Alfa(7) stoichiometry.,Not_a_complex
22623373_2,s2,T2,T14,Proteasomal ,CPs, are cylindrical barrel-like structures of four-stacked homoheptameric rings of Alfa- and Beta-type subunits organized in Alfa(7)Beta(7) Beta(7),Alfa,(7) stoichiometry.,Not_a_complex
22623373_2,s2,T2,T9,Proteasomal ,CPs, are cylindrical barrel-like structures of four-stacked homoheptameric rings of ,Alfa-, and Beta-type subunits organized in Alfa(7)Beta(7) Beta(7)Alfa(7) stoichiometry.,Not_a_complex
22623373_2,s2,T9,T11,Proteasomal CPs are cylindrical barrel-like structures of four-stacked homoheptameric rings of ,Alfa-, and Beta-type subunits organized in ,Alfa,(7)Beta(7) Beta(7)Alfa(7) stoichiometry.,Not_a_complex
22623373_2,s2,T9,T12,Proteasomal CPs are cylindrical barrel-like structures of four-stacked homoheptameric rings of ,Alfa-, and Beta-type subunits organized in Alfa(7),Beta,(7) Beta(7)Alfa(7) stoichiometry.,Not_a_complex
22623373_2,s2,T9,T13,Proteasomal CPs are cylindrical barrel-like structures of four-stacked homoheptameric rings of ,Alfa-, and Beta-type subunits organized in Alfa(7)Beta(7) ,Beta,(7)Alfa(7) stoichiometry.,Not_a_complex
22623373_2,s2,T9,T14,Proteasomal CPs are cylindrical barrel-like structures of four-stacked homoheptameric rings of ,Alfa-, and Beta-type subunits organized in Alfa(7)Beta(7) Beta(7),Alfa,(7) stoichiometry.,Not_a_complex
22623373_2,s3,T15,T16,The CPs of H. volcanii are formed from a single type of ,Beta, subunit associated with ,Alfa1, and/or Alfa2 subunits.,Complex_formation
22623373_2,s3,T15,T17,The CPs of H. volcanii are formed from a single type of ,Beta, subunit associated with Alfa1 and/or ,Alfa2, subunits.,Complex_formation
22623373_2,s3,T16,T17,The CPs of H. volcanii are formed from a single type of Beta subunit associated with ,Alfa1, and/or ,Alfa2, subunits.,Not_a_complex
22623373_2,s3,T3,T15,The ,CPs, of H. volcanii are formed from a single type of ,Beta, subunit associated with Alfa1 and/or Alfa2 subunits.,Not_a_complex
22623373_2,s3,T3,T16,The ,CPs, of H. volcanii are formed from a single type of Beta subunit associated with ,Alfa1, and/or Alfa2 subunits.,Not_a_complex
22623373_2,s3,T3,T17,The ,CPs, of H. volcanii are formed from a single type of Beta subunit associated with Alfa1 and/or ,Alfa2, subunits.,Not_a_complex
22623373_2,s4,T18,T19,Tandem affinity chromatography and new genetic constructs were used to separately isolate ,Alfa1,(7),Beta,(7)Beta(7)Alfa1(7) and Alfa2(7)Beta(7)Beta(7)Alfa2(7) CPs from H. volcanii.,Not_a_complex
22623373_2,s4,T18,T20,Tandem affinity chromatography and new genetic constructs were used to separately isolate ,Alfa1,(7)Beta(7),Beta,(7)Alfa1(7) and Alfa2(7)Beta(7)Beta(7)Alfa2(7) CPs from H. volcanii.,Not_a_complex
22623373_2,s4,T18,T21,Tandem affinity chromatography and new genetic constructs were used to separately isolate ,Alfa1,(7)Beta(7)Beta(7),Alfa1,(7) and Alfa2(7)Beta(7)Beta(7)Alfa2(7) CPs from H. volcanii.,Not_a_complex
22623373_2,s4,T18,T22,Tandem affinity chromatography and new genetic constructs were used to separately isolate ,Alfa1,(7)Beta(7)Beta(7)Alfa1(7) and ,Alfa2,(7)Beta(7)Beta(7)Alfa2(7) CPs from H. volcanii.,Not_a_complex
22623373_2,s4,T18,T23,Tandem affinity chromatography and new genetic constructs were used to separately isolate ,Alfa1,(7)Beta(7)Beta(7)Alfa1(7) and Alfa2(7),Beta,(7)Beta(7)Alfa2(7) CPs from H. volcanii.,Not_a_complex
