28706108_44,s0,T1,T2,Plasmid for bacterial expression of recombinant His-,Tda2, was created by PCR amplification of full-length ORF ,TDA2, from S. cerevisiae genomic DNA and was cloned into pET30a(+) using NdeI and SalI restriction sites.,Not_a_complex
28706108_44,s2,T14,T4,Plasmid for bacterial expression of recombinant ,GST,-,Aim21, was created by PCR amplification of full-length ORF AIM21 from S. cerevisiae genomic DNA and cloned in-frame into pGEX-5X-1 using EcoRI and SalI sites.,Not_a_complex
28706108_44,s2,T4,T5,Plasmid for bacterial expression of recombinant GST-,Aim21, was created by PCR amplification of full-length ORF ,AIM21, from S. cerevisiae genomic DNA and cloned in-frame into pGEX-5X-1 using EcoRI and SalI sites.,Not_a_complex
28706108_44,s2,T14,T5,Plasmid for bacterial expression of recombinant ,GST,-Aim21 was created by PCR amplification of full-length ORF ,AIM21, from S. cerevisiae genomic DNA and cloned in-frame into pGEX-5X-1 using EcoRI and SalI sites.,Not_a_complex
28706108_44,s3,T6,T10,Bicistronic plasmid for simultaneous expression in bacteria and of both yeast ,actin-capping protein, subunits was created by PCR amplification of full-length ORF CAP1 and CAP2 from S. cerevisiae genomic DNA and cloned into pETDuet using restriction sites EcoRI and SalI for CAP1 (multiple cloning site I) and FseI and XhoI for ,CAP2, (multiple cloning site II).,Not_a_complex
28706108_44,s3,T6,T7,Bicistronic plasmid for simultaneous expression in bacteria and of both yeast ,actin-capping protein, subunits was created by PCR amplification of full-length ORF ,CAP1, and CAP2 from S. cerevisiae genomic DNA and cloned into pETDuet using restriction sites EcoRI and SalI for CAP1 (multiple cloning site I) and FseI and XhoI for CAP2 (multiple cloning site II).,Not_a_complex
28706108_44,s3,T6,T8,Bicistronic plasmid for simultaneous expression in bacteria and of both yeast ,actin-capping protein, subunits was created by PCR amplification of full-length ORF CAP1 and ,CAP2, from S. cerevisiae genomic DNA and cloned into pETDuet using restriction sites EcoRI and SalI for CAP1 (multiple cloning site I) and FseI and XhoI for CAP2 (multiple cloning site II).,Not_a_complex
28706108_44,s3,T6,T9,Bicistronic plasmid for simultaneous expression in bacteria and of both yeast ,actin-capping protein, subunits was created by PCR amplification of full-length ORF CAP1 and CAP2 from S. cerevisiae genomic DNA and cloned into pETDuet using restriction sites EcoRI and SalI for ,CAP1, (multiple cloning site I) and FseI and XhoI for CAP2 (multiple cloning site II).,Not_a_complex
28706108_44,s3,T7,T10,Bicistronic plasmid for simultaneous expression in bacteria and of both yeast actin-capping protein subunits was created by PCR amplification of full-length ORF ,CAP1, and CAP2 from S. cerevisiae genomic DNA and cloned into pETDuet using restriction sites EcoRI and SalI for CAP1 (multiple cloning site I) and FseI and XhoI for ,CAP2, (multiple cloning site II).,Not_a_complex
28706108_44,s3,T7,T8,Bicistronic plasmid for simultaneous expression in bacteria and of both yeast actin-capping protein subunits was created by PCR amplification of full-length ORF ,CAP1, and ,CAP2, from S. cerevisiae genomic DNA and cloned into pETDuet using restriction sites EcoRI and SalI for CAP1 (multiple cloning site I) and FseI and XhoI for CAP2 (multiple cloning site II).,Not_a_complex
28706108_44,s3,T7,T9,Bicistronic plasmid for simultaneous expression in bacteria and of both yeast actin-capping protein subunits was created by PCR amplification of full-length ORF ,CAP1, and CAP2 from S. cerevisiae genomic DNA and cloned into pETDuet using restriction sites EcoRI and SalI for ,CAP1, (multiple cloning site I) and FseI and XhoI for CAP2 (multiple cloning site II).,Not_a_complex
28706108_44,s3,T8,T10,Bicistronic plasmid for simultaneous expression in bacteria and of both yeast actin-capping protein subunits was created by PCR amplification of full-length ORF CAP1 and ,CAP2, from S. cerevisiae genomic DNA and cloned into pETDuet using restriction sites EcoRI and SalI for CAP1 (multiple cloning site I) and FseI and XhoI for ,CAP2, (multiple cloning site II).,Not_a_complex
28706108_44,s3,T8,T9,Bicistronic plasmid for simultaneous expression in bacteria and of both yeast actin-capping protein subunits was created by PCR amplification of full-length ORF CAP1 and ,CAP2, from S. cerevisiae genomic DNA and cloned into pETDuet using restriction sites EcoRI and SalI for ,CAP1, (multiple cloning site I) and FseI and XhoI for CAP2 (multiple cloning site II).,Not_a_complex
28706108_44,s3,T9,T10,Bicistronic plasmid for simultaneous expression in bacteria and of both yeast actin-capping protein subunits was created by PCR amplification of full-length ORF CAP1 and CAP2 from S. cerevisiae genomic DNA and cloned into pETDuet using restriction sites EcoRI and SalI for ,CAP1, (multiple cloning site I) and FseI and XhoI for ,CAP2, (multiple cloning site II).,Not_a_complex
