21215368_2,s1,T12,T1,The S. pombe ,JmjC, family protein ,Epe1, prevents the ectopic spread of heterochromatin and is itself concentrated at boundaries.,Not_a_complex
21215368_2,s2,T2,T13,"Paradoxically, ",Epe1, is recruited to heterochromatin by ,HP1, silencing factors that are distributed throughout heterochromatin.,Not_a_complex
21215368_2,s3,T14,T19,We demonstrate here that the selective enrichment of Epe1 at boundaries requires its regulation by the conserved Cul4-Ddb1,(Cdt)^2, ,ubiquitin," ligase, which directly recognizes Epe1 and promotes its polyubiquitylation and degradation.",Not_a_complex
21215368_2,s3,T3,T14,We demonstrate here that the selective enrichment of ,Epe1, at boundaries requires its regulation by the conserved Cul4-Ddb1,(Cdt)^2," ubiquitin ligase, which directly recognizes Epe1 and promotes its polyubiquitylation and degradation.",Not_a_complex
21215368_2,s3,T3,T19,We demonstrate here that the selective enrichment of ,Epe1, at boundaries requires its regulation by the conserved Cul4-Ddb1(Cdt)^2 ,ubiquitin," ligase, which directly recognizes Epe1 and promotes its polyubiquitylation and degradation.",Not_a_complex
21215368_2,s3,T3,T4,We demonstrate here that the selective enrichment of ,Epe1, at boundaries requires its regulation by the conserved ,Cul4,"-Ddb1(Cdt)^2 ubiquitin ligase, which directly recognizes Epe1 and promotes its polyubiquitylation and degradation.",Not_a_complex
21215368_2,s3,T3,T5,We demonstrate here that the selective enrichment of ,Epe1, at boundaries requires its regulation by the conserved Cul4-,Ddb1,"(Cdt)^2 ubiquitin ligase, which directly recognizes Epe1 and promotes its polyubiquitylation and degradation.",Not_a_complex
21215368_2,s3,T3,T6,We demonstrate here that the selective enrichment of ,Epe1," at boundaries requires its regulation by the conserved Cul4-Ddb1(Cdt)^2 ubiquitin ligase, which directly recognizes ",Epe1, and promotes its polyubiquitylation and degradation.,Not_a_complex
21215368_2,s3,T4,T14,We demonstrate here that the selective enrichment of Epe1 at boundaries requires its regulation by the conserved ,Cul4,-Ddb1,(Cdt)^2," ubiquitin ligase, which directly recognizes Epe1 and promotes its polyubiquitylation and degradation.",Not_a_complex
21215368_2,s3,T4,T19,We demonstrate here that the selective enrichment of Epe1 at boundaries requires its regulation by the conserved ,Cul4,-Ddb1(Cdt)^2 ,ubiquitin," ligase, which directly recognizes Epe1 and promotes its polyubiquitylation and degradation.",Not_a_complex
21215368_2,s3,T4,T5,We demonstrate here that the selective enrichment of Epe1 at boundaries requires its regulation by the conserved ,Cul4,-,Ddb1,"(Cdt)^2 ubiquitin ligase, which directly recognizes Epe1 and promotes its polyubiquitylation and degradation.",Not_a_complex
21215368_2,s3,T4,T6,We demonstrate here that the selective enrichment of Epe1 at boundaries requires its regulation by the conserved ,Cul4,"-Ddb1(Cdt)^2 ubiquitin ligase, which directly recognizes ",Epe1, and promotes its polyubiquitylation and degradation.,Not_a_complex
21215368_2,s3,T5,T14,We demonstrate here that the selective enrichment of Epe1 at boundaries requires its regulation by the conserved Cul4-,Ddb1,,(Cdt)^2," ubiquitin ligase, which directly recognizes Epe1 and promotes its polyubiquitylation and degradation.",Not_a_complex
