17827148,s0,T1,T24,The DNA damage response mediator ,MDC1, directly interacts with the ,anaphase-promoting complex/cyclosome,". 
",Complex_formation
17827148,s1,T2,T3,,MDC1, (,NFBD1,"), a mediator of the cellular response to DNA damage, plays an important role in checkpoint activation and DNA repair.",Not_a_complex
17827148,s3,T4,T18,We discovered that ,MDC1, binds the ,anaphase-promoting complex/cyclosome," (APC/C), an E3 ubiquitin ligase that controls the cell cycle.",Complex_formation
17827148,s3,T4,T19,We discovered that ,MDC1, binds the anaphase-promoting complex/cyclosome (,APC/C,"), an E3 ubiquitin ligase that controls the cell cycle.",Complex_formation
17827148,s3,T18,T19,We discovered that MDC1 binds the ,anaphase-promoting complex/cyclosome, (,APC/C,"), an E3 ubiquitin ligase that controls the cell cycle.",Not_a_complex
17827148,s3,T18,T23,We discovered that MDC1 binds the ,anaphase-promoting complex/cyclosome," (APC/C), an ",E3 ubiquitin ligase, that controls the cell cycle.,Not_a_complex
17827148,s3,T19,T23,We discovered that MDC1 binds the anaphase-promoting complex/cyclosome (,APC/C,"), an ",E3 ubiquitin ligase, that controls the cell cycle.,Not_a_complex
17827148,s3,T4,T23,We discovered that ,MDC1," binds the anaphase-promoting complex/cyclosome (APC/C), an ",E3 ubiquitin ligase, that controls the cell cycle.,Not_a_complex
17827148,s4,T6,T7,The interaction is direct and is mediated by the tandem BRCA1 C-terminal domains of ,MDC1, and the C terminus of the ,Cdc27, (APC3) subunit of the APC/C. It requires the phosphorylation of Cdc27 and is enhanced after induction of DNA damage.,Complex_formation
17827148,s4,T6,T8,The interaction is direct and is mediated by the tandem BRCA1 C-terminal domains of ,MDC1, and the C terminus of the Cdc27 (,APC3,) subunit of the APC/C. It requires the phosphorylation of Cdc27 and is enhanced after induction of DNA damage.,Complex_formation
17827148,s4,T5,T21,The interaction is direct and is mediated by the tandem ,BRCA1, C-terminal domains of MDC1 and the C terminus of the Cdc27 (APC3) subunit of the ,APC/C,. It requires the phosphorylation of Cdc27 and is enhanced after induction of DNA damage.,Not_a_complex
17827148,s4,T5,T6,The interaction is direct and is mediated by the tandem ,BRCA1, C-terminal domains of ,MDC1, and the C terminus of the Cdc27 (APC3) subunit of the APC/C. It requires the phosphorylation of Cdc27 and is enhanced after induction of DNA damage.,Not_a_complex
17827148,s4,T5,T7,The interaction is direct and is mediated by the tandem ,BRCA1, C-terminal domains of MDC1 and the C terminus of the ,Cdc27, (APC3) subunit of the APC/C. It requires the phosphorylation of Cdc27 and is enhanced after induction of DNA damage.,Not_a_complex
17827148,s4,T5,T8,The interaction is direct and is mediated by the tandem ,BRCA1, C-terminal domains of MDC1 and the C terminus of the Cdc27 (,APC3,) subunit of the APC/C. It requires the phosphorylation of Cdc27 and is enhanced after induction of DNA damage.,Not_a_complex
17827148,s4,T5,T9,The interaction is direct and is mediated by the tandem ,BRCA1, C-terminal domains of MDC1 and the C terminus of the Cdc27 (APC3) subunit of the APC/C. It requires the phosphorylation of ,Cdc27, and is enhanced after induction of DNA damage.,Not_a_complex
17827148,s4,T6,T21,The interaction is direct and is mediated by the tandem BRCA1 C-terminal domains of ,MDC1, and the C terminus of the Cdc27 (APC3) subunit of the ,APC/C,. It requires the phosphorylation of Cdc27 and is enhanced after induction of DNA damage.,Not_a_complex
17827148,s4,T6,T9,The interaction is direct and is mediated by the tandem BRCA1 C-terminal domains of ,MDC1, and the C terminus of the Cdc27 (APC3) subunit of the APC/C. It requires the phosphorylation of ,Cdc27, and is enhanced after induction of DNA damage.,Not_a_complex
17827148,s4,T7,T21,The interaction is direct and is mediated by the tandem BRCA1 C-terminal domains of MDC1 and the C terminus of the ,Cdc27, (APC3) subunit of the ,APC/C,. It requires the phosphorylation of Cdc27 and is enhanced after induction of DNA damage.,Not_a_complex
17827148,s4,T7,T8,The interaction is direct and is mediated by the tandem BRCA1 C-terminal domains of MDC1 and the C terminus of the ,Cdc27, (,APC3,) subunit of the APC/C. It requires the phosphorylation of Cdc27 and is enhanced after induction of DNA damage.,Not_a_complex
17827148,s4,T7,T9,The interaction is direct and is mediated by the tandem BRCA1 C-terminal domains of MDC1 and the C terminus of the ,Cdc27, (APC3) subunit of the APC/C. It requires the phosphorylation of ,Cdc27, and is enhanced after induction of DNA damage.,Not_a_complex
17827148,s4,T8,T21,The interaction is direct and is mediated by the tandem BRCA1 C-terminal domains of MDC1 and the C terminus of the Cdc27 (,APC3,) subunit of the ,APC/C,. It requires the phosphorylation of Cdc27 and is enhanced after induction of DNA damage.,Not_a_complex
17827148,s4,T8,T9,The interaction is direct and is mediated by the tandem BRCA1 C-terminal domains of MDC1 and the C terminus of the Cdc27 (,APC3,) subunit of the APC/C. It requires the phosphorylation of ,Cdc27, and is enhanced after induction of DNA damage.,Not_a_complex
17827148,s4,T21,T9,The interaction is direct and is mediated by the tandem BRCA1 C-terminal domains of MDC1 and the C terminus of the Cdc27 (APC3) subunit of the ,APC/C,. It requires the phosphorylation of ,Cdc27, and is enhanced after induction of DNA damage.,Not_a_complex
17827148,s5,T11,T12,We show that the tandem BRCA1 C-terminal domains of ,MDC1,", known to directly bind the phosphorylated form of ",histone H2AX," (gamma-H2AX), also bind the APC/C by the same mechanism, as phosphopeptides that correspond to the C termini of gamma-H2AX and Cdc27 competed with each other for the binding to MDC1.",Complex_formation
17827148,s5,T11,T13,We show that the tandem BRCA1 C-terminal domains of ,MDC1,", known to directly bind the phosphorylated form of histone H2AX (",gamma-H2AX,"), also bind the APC/C by the same mechanism, as phosphopeptides that correspond to the C termini of gamma-H2AX and Cdc27 competed with each other for the binding to MDC1.",Complex_formation
17827148,s5,T11,T20,We show that the tandem BRCA1 C-terminal domains of ,MDC1,", known to directly bind the phosphorylated form of histone H2AX (gamma-H2AX), also bind the ",APC/C," by the same mechanism, as phosphopeptides that correspond to the C termini of gamma-H2AX and Cdc27 competed with each other for the binding to MDC1.",Complex_formation
17827148,s5,T14,T16,"We show that the tandem BRCA1 C-terminal domains of MDC1, known to directly bind the phosphorylated form of histone H2AX (gamma-H2AX), also bind the APC/C by the same mechanism, as phosphopeptides that correspond to the C termini of ",gamma-H2AX, and Cdc27 competed with each other for the binding to ,MDC1,.,Complex_formation
17827148,s5,T15,T16,"We show that the tandem BRCA1 C-terminal domains of MDC1, known to directly bind the phosphorylated form of histone H2AX (gamma-H2AX), also bind the APC/C by the same mechanism, as phosphopeptides that correspond to the C termini of gamma-H2AX and ",Cdc27, competed with each other for the binding to ,MDC1,.,Complex_formation
17827148,s5,T10,T11,We show that the tandem ,BRCA1, C-terminal domains of ,MDC1,", known to directly bind the phosphorylated form of histone H2AX (gamma-H2AX), also bind the APC/C by the same mechanism, as phosphopeptides that correspond to the C termini of gamma-H2AX and Cdc27 competed with each other for the binding to MDC1.",Not_a_complex
17827148,s5,T10,T12,We show that the tandem ,BRCA1," C-terminal domains of MDC1, known to directly bind the phosphorylated form of ",histone H2AX," (gamma-H2AX), also bind the APC/C by the same mechanism, as phosphopeptides that correspond to the C termini of gamma-H2AX and Cdc27 competed with each other for the binding to MDC1.",Not_a_complex
