7859290,s1,T2,T3,Recent biochemical and genetic studies indicate that in addition to the octamer-binding proteins ,Oct-1, and ,Oct-2,", other B cell components are required for lymphoid-restricted, octamer site-mediated immunoglobulin gene promoter activity.",Not_a_complex
7859290,s2,T4,T6,"Using a genetic screen in yeast, we have isolated B cell-derived cDNAs encoding ",Oct-binding factor 1," (OBF-1), a novel protein that specifically associates with ",Oct-1, and Oct-2.,Complex_formation
7859290,s2,T4,T7,"Using a genetic screen in yeast, we have isolated B cell-derived cDNAs encoding ",Oct-binding factor 1," (OBF-1), a novel protein that specifically associates with Oct-1 and ",Oct-2,.,Complex_formation
7859290,s2,T5,T6,"Using a genetic screen in yeast, we have isolated B cell-derived cDNAs encoding Oct-binding factor 1 (",OBF-1,"), a novel protein that specifically associates with ",Oct-1, and Oct-2.,Complex_formation
7859290,s2,T5,T7,"Using a genetic screen in yeast, we have isolated B cell-derived cDNAs encoding Oct-binding factor 1 (",OBF-1,"), a novel protein that specifically associates with Oct-1 and ",Oct-2,.,Complex_formation
7859290,s2,T4,T5,"Using a genetic screen in yeast, we have isolated B cell-derived cDNAs encoding ",Oct-binding factor 1, (,OBF-1,"), a novel protein that specifically associates with Oct-1 and Oct-2.",Not_a_complex
7859290,s2,T6,T7,"Using a genetic screen in yeast, we have isolated B cell-derived cDNAs encoding Oct-binding factor 1 (OBF-1), a novel protein that specifically associates with ",Oct-1, and ,Oct-2,.,Not_a_complex
7859290,s3,T8,T10,Biochemical studies demonstrate that ,OBF-1, has no intrinsic DNA-binding activity and recognizes the POU domains of Oct-1 and ,Oct-2,", but not those of Oct-4 and Oct-6.",Complex_formation
7859290,s3,T8,T9,Biochemical studies demonstrate that ,OBF-1, has no intrinsic DNA-binding activity and recognizes the POU domains of ,Oct-1," and Oct-2, but not those of Oct-4 and Oct-6.",Complex_formation
7859290,s3,T10,T11,Biochemical studies demonstrate that OBF-1 has no intrinsic DNA-binding activity and recognizes the POU domains of Oct-1 and ,Oct-2,", but not those of ",Oct-4, and Oct-6.,Not_a_complex
7859290,s3,T10,T12,Biochemical studies demonstrate that OBF-1 has no intrinsic DNA-binding activity and recognizes the POU domains of Oct-1 and ,Oct-2,", but not those of Oct-4 and ",Oct-6,.,Not_a_complex
7859290,s3,T11,T12,"Biochemical studies demonstrate that OBF-1 has no intrinsic DNA-binding activity and recognizes the POU domains of Oct-1 and Oct-2, but not those of ",Oct-4, and ,Oct-6,.,Not_a_complex
7859290,s3,T8,T11,Biochemical studies demonstrate that ,OBF-1," has no intrinsic DNA-binding activity and recognizes the POU domains of Oct-1 and Oct-2, but not those of ",Oct-4, and Oct-6.,Not_a_complex
7859290,s3,T8,T12,Biochemical studies demonstrate that ,OBF-1," has no intrinsic DNA-binding activity and recognizes the POU domains of Oct-1 and Oct-2, but not those of Oct-4 and ",Oct-6,.,Not_a_complex
7859290,s3,T9,T10,Biochemical studies demonstrate that OBF-1 has no intrinsic DNA-binding activity and recognizes the POU domains of ,Oct-1, and ,Oct-2,", but not those of Oct-4 and Oct-6.",Not_a_complex
7859290,s3,T9,T11,Biochemical studies demonstrate that OBF-1 has no intrinsic DNA-binding activity and recognizes the POU domains of ,Oct-1," and Oct-2, but not those of ",Oct-4, and Oct-6.,Not_a_complex
7859290,s3,T9,T12,Biochemical studies demonstrate that OBF-1 has no intrinsic DNA-binding activity and recognizes the POU domains of ,Oct-1," and Oct-2, but not those of Oct-4 and ",Oct-6,.,Not_a_complex
