8530384,s0,T1,T2,Functional characterization of the murine homolog of the B cell-specific coactivator ,BOB.1,/,OBF.1,". 
",Not_a_complex
8530384,s1,T3,T4,B cell-specific transcriptional promoter activity mediated by the octamer motif requires the ,Oct1, or ,Oct2, protein and additional B cell-restricted cofactors.,Not_a_complex
8530384,s2,T5,T6,"One such cofactor, ",BOB.1,/,OBF.1,", was recently isolated from human B cells.",Not_a_complex
8530384,s5,T7,T8,Comparison of the deduced amino acids shows 88% sequence identity between mouse and human ,BOB.1,/,OBF.1,.,Not_a_complex
8530384,s6,T10,T11,The NH2-terminal 126 amino acids of BOB.1/,OBF.1, are both essential and sufficient for interaction with the POU domains of either ,Oct1, or Oct2.,Complex_formation
8530384,s6,T10,T12,The NH2-terminal 126 amino acids of BOB.1/,OBF.1, are both essential and sufficient for interaction with the POU domains of either Oct1 or ,Oct2,.,Complex_formation
8530384,s6,T9,T11,The NH2-terminal 126 amino acids of ,BOB.1,/OBF.1 are both essential and sufficient for interaction with the POU domains of either ,Oct1, or Oct2.,Complex_formation
8530384,s6,T9,T12,The NH2-terminal 126 amino acids of ,BOB.1,/OBF.1 are both essential and sufficient for interaction with the POU domains of either Oct1 or ,Oct2,.,Complex_formation
8530384,s6,T11,T12,The NH2-terminal 126 amino acids of BOB.1/OBF.1 are both essential and sufficient for interaction with the POU domains of either ,Oct1, or ,Oct2,.,Not_a_complex
8530384,s6,T9,T10,The NH2-terminal 126 amino acids of ,BOB.1,/,OBF.1, are both essential and sufficient for interaction with the POU domains of either Oct1 or Oct2.,Not_a_complex
8530384,s7,T13,T15,"This protein-protein interaction does not require the simultaneous binding of Oct proteins to DNA, and high resolution footprinting of the Oct-DNA interaction reveals that binding of ",BOB.1,/OBF.1 to ,Oct1, or Oct2 does not alter the interaction with DNA.,Complex_formation
8530384,s7,T13,T16,"This protein-protein interaction does not require the simultaneous binding of Oct proteins to DNA, and high resolution footprinting of the Oct-DNA interaction reveals that binding of ",BOB.1,/OBF.1 to Oct1 or ,Oct2, does not alter the interaction with DNA.,Complex_formation
8530384,s7,T14,T15,"This protein-protein interaction does not require the simultaneous binding of Oct proteins to DNA, and high resolution footprinting of the Oct-DNA interaction reveals that binding of BOB.1/",OBF.1, to ,Oct1, or Oct2 does not alter the interaction with DNA.,Complex_formation
8530384,s7,T14,T16,"This protein-protein interaction does not require the simultaneous binding of Oct proteins to DNA, and high resolution footprinting of the Oct-DNA interaction reveals that binding of BOB.1/",OBF.1, to Oct1 or ,Oct2, does not alter the interaction with DNA.,Complex_formation
8530384,s7,T13,T14,"This protein-protein interaction does not require the simultaneous binding of Oct proteins to DNA, and high resolution footprinting of the Oct-DNA interaction reveals that binding of ",BOB.1,/,OBF.1, to Oct1 or Oct2 does not alter the interaction with DNA.,Not_a_complex
8530384,s7,T27,T13,This protein-protein interaction does not require the simultaneous binding of ,Oct," proteins to DNA, and high resolution footprinting of the Oct-DNA interaction reveals that binding of ",BOB.1,/OBF.1 to Oct1 or Oct2 does not alter the interaction with DNA.,Not_a_complex
