7929355,s0,T1,T2,Protease inhibitors block lipopolysaccharide induction of tissue factor gene expression in human monocytic cells by preventing activation of ,c-Rel,/,p65," heterodimers. 
",Complex_formation
7929355,s1,T3,T31,,Tissue factor, (TF) is expressed rapidly by human monocytes exposed to ,bacterial endotoxin," (lipopolysaccharide, or LPS).",Not_a_complex
7929355,s1,T3,T32,,Tissue factor, (TF) is expressed rapidly by human monocytes exposed to bacterial endotoxin (,lipopolysaccharide,", or LPS).",Not_a_complex
7929355,s1,T3,T33,,Tissue factor," (TF) is expressed rapidly by human monocytes exposed to bacterial endotoxin (lipopolysaccharide, or ",LPS,).,Not_a_complex
7929355,s1,T3,T4,,Tissue factor, (,TF,") is expressed rapidly by human monocytes exposed to bacterial endotoxin (lipopolysaccharide, or LPS).",Not_a_complex
7929355,s1,T31,T32,Tissue factor (TF) is expressed rapidly by human monocytes exposed to ,bacterial endotoxin, (,lipopolysaccharide,", or LPS).",Not_a_complex
7929355,s1,T31,T33,Tissue factor (TF) is expressed rapidly by human monocytes exposed to ,bacterial endotoxin," (lipopolysaccharide, or ",LPS,).,Not_a_complex
7929355,s1,T32,T33,Tissue factor (TF) is expressed rapidly by human monocytes exposed to bacterial endotoxin (,lipopolysaccharide,", or ",LPS,).,Not_a_complex
7929355,s1,T4,T31,Tissue factor (,TF,) is expressed rapidly by human monocytes exposed to ,bacterial endotoxin," (lipopolysaccharide, or LPS).",Not_a_complex
7929355,s1,T4,T32,Tissue factor (,TF,) is expressed rapidly by human monocytes exposed to bacterial endotoxin (,lipopolysaccharide,", or LPS).",Not_a_complex
7929355,s1,T4,T33,Tissue factor (,TF,") is expressed rapidly by human monocytes exposed to bacterial endotoxin (lipopolysaccharide, or ",LPS,).,Not_a_complex
7929355,s2,T5,T6,Transcriptional regulation is mediated by binding of ,c-Rel,/,p65, heterodimers to a kappa B-like site in the TF promoter.,Complex_formation
7929355,s2,T5,T42,Transcriptional regulation is mediated by binding of ,c-Rel,/p65 heterodimers to a ,kappa B,-like site in the TF promoter.,Not_a_complex
7929355,s2,T5,T7,Transcriptional regulation is mediated by binding of ,c-Rel,/p65 heterodimers to a kappa B-like site in the ,TF, promoter.,Not_a_complex
7929355,s2,T6,T42,Transcriptional regulation is mediated by binding of c-Rel/,p65, heterodimers to a ,kappa B,-like site in the TF promoter.,Not_a_complex
7929355,s2,T6,T7,Transcriptional regulation is mediated by binding of c-Rel/,p65, heterodimers to a kappa B-like site in the ,TF, promoter.,Not_a_complex
