27449295,s0,T14,T1,,Momordin Ic,", a new natural ",SENP1," inhibitor, inhibits prostate cancer cell proliferation. 
",Not_a_complex
27449295,s1,T15,T2,,SUMO-specific protease 1, (,SENP1,"), a member of the de-SUMOylation protease family, is elevated in prostate cancer (PCa) cells and is involved in PCa pathogenesis.",Not_a_complex
27449295,s2,T16,T17,,Momordin Iotac, (,Mc,"), a natural pentacyclic triterpenoid, inhibited SENP1 in vitro, as reflected by reduced SENP1C-induced cleavage of SUMO2-DeltaRanGAP1.",Not_a_complex
27449295,s2,T16,T18,,Momordin Iotac," (Mc), a natural pentacyclic triterpenoid, inhibited SENP1 in vitro, as reflected by reduced ",SENP1C,-induced cleavage of SUMO2-DeltaRanGAP1.,Not_a_complex
27449295,s2,T16,T19,,Momordin Iotac," (Mc), a natural pentacyclic triterpenoid, inhibited SENP1 in vitro, as reflected by reduced SENP1C-induced cleavage of SUMO2-",DeltaRanGAP1,.,Not_a_complex
27449295,s2,T17,T18,Momordin Iotac (,Mc,"), a natural pentacyclic triterpenoid, inhibited SENP1 in vitro, as reflected by reduced ",SENP1C,-induced cleavage of SUMO2-DeltaRanGAP1.,Not_a_complex
27449295,s2,T17,T19,Momordin Iotac (,Mc,"), a natural pentacyclic triterpenoid, inhibited SENP1 in vitro, as reflected by reduced SENP1C-induced cleavage of SUMO2-",DeltaRanGAP1,.,Not_a_complex
27449295,s2,T18,T19,"Momordin Iotac (Mc), a natural pentacyclic triterpenoid, inhibited SENP1 in vitro, as reflected by reduced ",SENP1C,-induced cleavage of SUMO2-,DeltaRanGAP1,.,Not_a_complex
27449295,s2,T16,T3,,Momordin Iotac," (Mc), a natural pentacyclic triterpenoid, inhibited ",SENP1," in vitro, as reflected by reduced SENP1C-induced cleavage of SUMO2-DeltaRanGAP1.",Not_a_complex
27449295,s2,T17,T3,Momordin Iotac (,Mc,"), a natural pentacyclic triterpenoid, inhibited ",SENP1," in vitro, as reflected by reduced SENP1C-induced cleavage of SUMO2-DeltaRanGAP1.",Not_a_complex
27449295,s2,T3,T18,"Momordin Iotac (Mc), a natural pentacyclic triterpenoid, inhibited ",SENP1," in vitro, as reflected by reduced ",SENP1C,-induced cleavage of SUMO2-DeltaRanGAP1.,Not_a_complex
27449295,s2,T3,T19,"Momordin Iotac (Mc), a natural pentacyclic triterpenoid, inhibited ",SENP1," in vitro, as reflected by reduced SENP1C-induced cleavage of SUMO2-",DeltaRanGAP1,.,Not_a_complex
