9971736_30,s0,T1,T2,"In this study, we have shown that ",FEZ1, interacts with ,PKCzeta, in vivo and its intracellular localization is regulated by the PKCzeta activity.,Complex_formation
9971736_30,s0,T1,T3,"In this study, we have shown that ",FEZ1, interacts with PKCzeta in vivo and its intracellular localization is regulated by the ,PKCzeta, activity.,Not_a_complex
9971736_30,s0,T2,T3,"In this study, we have shown that FEZ1 interacts with ",PKCzeta, in vivo and its intracellular localization is regulated by the ,PKCzeta, activity.,Not_a_complex
9971736_30,s1,T4,T16,"By the transient expression assay, ",FEZ1, protein was found to stimulate the ,caPKCzeta,-induced neuronal differentiation of PC12 cells.,Not_a_complex
9971736_30,s2,T5,T6,"On the other hand, in the ",NGF,"-induced neuronal differentiation of PC12 cells, a ",PKCzeta," substrate ""nucleolin"" was proposed recently to play a pivotal role in the connection between cell surface signaling and nucleus in PC12 cells.",Not_a_complex
9971736_30,s2,T5,T7,"On the other hand, in the ",NGF,"-induced neuronal differentiation of PC12 cells, a PKCzeta substrate """,nucleolin,""" was proposed recently to play a pivotal role in the connection between cell surface signaling and nucleus in PC12 cells.",Not_a_complex
9971736_30,s2,T6,T7,"On the other hand, in the NGF-induced neuronal differentiation of PC12 cells, a ",PKCzeta," substrate """,nucleolin,""" was proposed recently to play a pivotal role in the connection between cell surface signaling and nucleus in PC12 cells.",Not_a_complex
9971736_30,s3,T10,T11,Although it has been shown that the intracellular localization of nucleolin is changed by the activation of PKCzeta in the ,NGF,"-induced neuronal differentiating PC12 cells, there is no structural similarity between ",nucleolin, and FEZ1.,Not_a_complex
9971736_30,s3,T10,T12,Although it has been shown that the intracellular localization of nucleolin is changed by the activation of PKCzeta in the ,NGF,"-induced neuronal differentiating PC12 cells, there is no structural similarity between nucleolin and ",FEZ1,.,Not_a_complex
9971736_30,s3,T11,T12,"Although it has been shown that the intracellular localization of nucleolin is changed by the activation of PKCzeta in the NGF-induced neuronal differentiating PC12 cells, there is no structural similarity between ",nucleolin, and ,FEZ1,.,Not_a_complex
9971736_30,s3,T8,T10,Although it has been shown that the intracellular localization of ,nucleolin, is changed by the activation of PKCzeta in the ,NGF,"-induced neuronal differentiating PC12 cells, there is no structural similarity between nucleolin and FEZ1.",Not_a_complex
9971736_30,s3,T8,T11,Although it has been shown that the intracellular localization of ,nucleolin," is changed by the activation of PKCzeta in the NGF-induced neuronal differentiating PC12 cells, there is no structural similarity between ",nucleolin, and FEZ1.,Not_a_complex
9971736_30,s3,T8,T12,Although it has been shown that the intracellular localization of ,nucleolin," is changed by the activation of PKCzeta in the NGF-induced neuronal differentiating PC12 cells, there is no structural similarity between nucleolin and ",FEZ1,.,Not_a_complex
9971736_30,s3,T8,T9,Although it has been shown that the intracellular localization of ,nucleolin, is changed by the activation of ,PKCzeta," in the NGF-induced neuronal differentiating PC12 cells, there is no structural similarity between nucleolin and FEZ1.",Not_a_complex
9971736_30,s3,T9,T10,Although it has been shown that the intracellular localization of nucleolin is changed by the activation of ,PKCzeta, in the ,NGF,"-induced neuronal differentiating PC12 cells, there is no structural similarity between nucleolin and FEZ1.",Not_a_complex
9971736_30,s3,T9,T11,Although it has been shown that the intracellular localization of nucleolin is changed by the activation of ,PKCzeta," in the NGF-induced neuronal differentiating PC12 cells, there is no structural similarity between ",nucleolin, and FEZ1.,Not_a_complex
9971736_30,s3,T9,T12,Although it has been shown that the intracellular localization of nucleolin is changed by the activation of ,PKCzeta," in the NGF-induced neuronal differentiating PC12 cells, there is no structural similarity between nucleolin and ",FEZ1,.,Not_a_complex
9971736_30,s4,T13,T17,"Furthermore, no direct evidence is available showing that ",nucleolin, enhances the ,caPKCzeta,-induced neuronal differentiation of PC12 cells.,Not_a_complex
9971736_30,s5,T14,T15,"Thus, it is unclear whether or not there is any functional relationship between ",nucleolin, and ,FEZ1,".
",Not_a_complex
