19345189,s0,T1,T6,A Mutant-,p53,/,Smad," complex opposes p63 to empower TGFbeta-induced metastasis. 
",Not_a_complex
19345189,s0,T1,T7,A Mutant-,p53,/Smad complex opposes ,p63," to empower TGFbeta-induced metastasis. 
",Not_a_complex
19345189,s0,T1,T8,A Mutant-,p53,/Smad complex opposes p63 to empower ,TGFbeta,"-induced metastasis. 
",Not_a_complex
19345189,s0,T6,T7,A Mutant-p53/,Smad, complex opposes ,p63," to empower TGFbeta-induced metastasis. 
",Not_a_complex
19345189,s0,T6,T8,A Mutant-p53/,Smad, complex opposes p63 to empower ,TGFbeta,"-induced metastasis. 
",Not_a_complex
19345189,s0,T7,T8,A Mutant-p53/Smad complex opposes ,p63, to empower ,TGFbeta,"-induced metastasis. 
",Not_a_complex
19345189,s3,T10,T11,"Here, we show that ",TGFbeta,"-dependent cell migration, invasion and metastasis are empowered by mutant-p53 and opposed by ",p63,.,Not_a_complex
19345189,s3,T10,T2,"Here, we show that ",TGFbeta,"-dependent cell migration, invasion and metastasis are empowered by mutant-",p53, and opposed by p63.,Not_a_complex
19345189,s3,T2,T11,"Here, we show that TGFbeta-dependent cell migration, invasion and metastasis are empowered by mutant-",p53, and opposed by ,p63,.,Not_a_complex
19345189,s4,T12,T13,"Mechanistically, ",TGFbeta, acts in concert with oncogenic ,Ras, and mutant-p53 to induce the assembly of a mutant-p53/p63 protein complex in which Smads serve as essential platforms.,Not_a_complex
19345189,s4,T12,T14,"Mechanistically, ",TGFbeta, acts in concert with oncogenic Ras and mutant-p53 to induce the assembly of a mutant-p53/,p63, protein complex in which Smads serve as essential platforms.,Not_a_complex
19345189,s4,T12,T15,"Mechanistically, ",TGFbeta, acts in concert with oncogenic Ras and mutant-p53 to induce the assembly of a mutant-p53/p63 protein complex in which ,Smads, serve as essential platforms.,Not_a_complex
19345189,s4,T13,T14,"Mechanistically, TGFbeta acts in concert with oncogenic ",Ras, and mutant-p53 to induce the assembly of a mutant-p53/,p63, protein complex in which Smads serve as essential platforms.,Not_a_complex
19345189,s4,T13,T15,"Mechanistically, TGFbeta acts in concert with oncogenic ",Ras, and mutant-p53 to induce the assembly of a mutant-p53/p63 protein complex in which ,Smads, serve as essential platforms.,Not_a_complex
