15031145,s3,T9,T10,We previously identified a testis isoform of the ,hypoxia-inducible factor (HIF)-1alpha," in the mouse, termed ",mHIF-1alphaI.1,.,Not_a_complex
15031145,s5,T2,T12,"Using 5'-rapid amplification of cDNA ends, we identified a novel ",HIF-1alpha," isoform in the human testis, called ",hHIF-1alphaTe,.,Not_a_complex
15031145,s6,T13,T14,Like ,mHIF-1alphaI.1,", ",hHIF-1alphaTe," mRNA is derived from an alternative promoter-first exon combination, but with a different genomic organization and a different nucleotide sequence.",Not_a_complex
15031145,s9,T16,T17,"Though overlapping with mitochondrial localization in human and mouse spermatozoa, neither ",hHIF-1alphaTe, nor ,hHIF-1alpha, associated with mitochondria.,Not_a_complex
15031145,s10,T18,T19,In contrast with the ubiquitously expressed HIF-1alpha protein and the mouse testis-specific ,mHIF-1alphaI.1," isoform, the ",hHIF-1alphaTe, mRNA sequence predicts a protein with an N-terminal truncation of the DNA-binding domain.,Not_a_complex
15031145,s10,T4,T18,In contrast with the ubiquitously expressed ,HIF-1alpha, protein and the mouse testis-specific ,mHIF-1alphaI.1," isoform, the hHIF-1alphaTe mRNA sequence predicts a protein with an N-terminal truncation of the DNA-binding domain.",Not_a_complex
15031145,s10,T4,T19,In contrast with the ubiquitously expressed ,HIF-1alpha," protein and the mouse testis-specific mHIF-1alphaI.1 isoform, the ",hHIF-1alphaTe, mRNA sequence predicts a protein with an N-terminal truncation of the DNA-binding domain.,Not_a_complex
15031145,s11,T20,T5,"As shown by yeast two-hybrid assays, ",hHIF-1alphaTe, still formed heterodimeric complexes with ,HIF-1beta,.,Complex_formation
15031145,s12,T21,T6,"However, ",hHIF-1alphaTe, was incapable of forming a DNA-binding ,HIF-1, complex.,Not_a_complex
15031145,s13,T22,T23,Overexpression of exogenous ,hHIF-1alphaTe," resulted in the inhibition of the endogenous HIF-1 transcriptional activity, demonstrating that the testis-specific ",hHIF-1alphaTe," isoform is a dominant-negative regulator of normal HIF-1 activity. 
",Not_a_complex
15031145,s13,T22,T7,Overexpression of exogenous ,hHIF-1alphaTe, resulted in the inhibition of the endogenous ,HIF-1," transcriptional activity, demonstrating that the testis-specific hHIF-1alphaTe isoform is a dominant-negative regulator of normal HIF-1 activity. 
",Not_a_complex
15031145,s13,T7,T23,Overexpression of exogenous hHIF-1alphaTe resulted in the inhibition of the endogenous ,HIF-1," transcriptional activity, demonstrating that the testis-specific ",hHIF-1alphaTe," isoform is a dominant-negative regulator of normal HIF-1 activity. 
",Not_a_complex
15031145,s13,T7,T8,Overexpression of exogenous hHIF-1alphaTe resulted in the inhibition of the endogenous ,HIF-1," transcriptional activity, demonstrating that the testis-specific hHIF-1alphaTe isoform is a dominant-negative regulator of normal ",HIF-1," activity. 
",Not_a_complex
15031145,s13,T22,T8,Overexpression of exogenous ,hHIF-1alphaTe," resulted in the inhibition of the endogenous HIF-1 transcriptional activity, demonstrating that the testis-specific hHIF-1alphaTe isoform is a dominant-negative regulator of normal ",HIF-1," activity. 
",Not_a_complex
15031145,s13,T23,T8,"Overexpression of exogenous hHIF-1alphaTe resulted in the inhibition of the endogenous HIF-1 transcriptional activity, demonstrating that the testis-specific ",hHIF-1alphaTe, isoform is a dominant-negative regulator of normal ,HIF-1," activity. 
",Not_a_complex
