26658609_8,s0,T1,T21,Previously we uncovered genes required for the trafficking of the ,vesicle soluble N-ethylmaleimide-sensitive factor attachment protein receptor, (,v-SNARE,) Snc1 in a genome-wide screen that assessed changes in the surface levels of the GFP-Snc1-Suc2 (GSS) reporter protein.,Not_a_complex
26658609_8,s0,T1,T3,Previously we uncovered genes required for the trafficking of the ,vesicle soluble N-ethylmaleimide-sensitive factor attachment protein receptor, (v-SNARE) ,Snc1, in a genome-wide screen that assessed changes in the surface levels of the GFP-Snc1-Suc2 (GSS) reporter protein.,Not_a_complex
26658609_8,s0,T1,T31,Previously we uncovered genes required for the trafficking of the ,vesicle soluble N-ethylmaleimide-sensitive factor attachment protein receptor, (v-SNARE) Snc1 in a genome-wide screen that assessed changes in the surface levels of the GFP-,Snc1-Suc2, (GSS) reporter protein.,Not_a_complex
26658609_8,s0,T1,T32,Previously we uncovered genes required for the trafficking of the ,vesicle soluble N-ethylmaleimide-sensitive factor attachment protein receptor, (v-SNARE) Snc1 in a genome-wide screen that assessed changes in the surface levels of the ,GFP,-Snc1-Suc2 (GSS) reporter protein.,Not_a_complex
26658609_8,s0,T1,T4,Previously we uncovered genes required for the trafficking of the ,vesicle soluble N-ethylmaleimide-sensitive factor attachment protein receptor, (v-SNARE) Snc1 in a genome-wide screen that assessed changes in the surface levels of the GFP-Snc1-Suc2 (,GSS,) reporter protein.,Not_a_complex
26658609_8,s0,T21,T31,Previously we uncovered genes required for the trafficking of the vesicle soluble N-ethylmaleimide-sensitive factor attachment protein receptor (,v-SNARE,) Snc1 in a genome-wide screen that assessed changes in the surface levels of the GFP-,Snc1-Suc2, (GSS) reporter protein.,Not_a_complex
26658609_8,s0,T21,T32,Previously we uncovered genes required for the trafficking of the vesicle soluble N-ethylmaleimide-sensitive factor attachment protein receptor (,v-SNARE,) Snc1 in a genome-wide screen that assessed changes in the surface levels of the ,GFP,-Snc1-Suc2 (GSS) reporter protein.,Not_a_complex
26658609_8,s0,T21,T3,Previously we uncovered genes required for the trafficking of the vesicle soluble N-ethylmaleimide-sensitive factor attachment protein receptor (,v-SNARE,) ,Snc1, in a genome-wide screen that assessed changes in the surface levels of the GFP-Snc1-Suc2 (GSS) reporter protein.,Not_a_complex
26658609_8,s0,T3,T31,Previously we uncovered genes required for the trafficking of the vesicle soluble N-ethylmaleimide-sensitive factor attachment protein receptor (v-SNARE) ,Snc1, in a genome-wide screen that assessed changes in the surface levels of the GFP-,Snc1-Suc2, (GSS) reporter protein.,Not_a_complex
26658609_8,s0,T3,T32,Previously we uncovered genes required for the trafficking of the vesicle soluble N-ethylmaleimide-sensitive factor attachment protein receptor (v-SNARE) ,Snc1, in a genome-wide screen that assessed changes in the surface levels of the ,GFP,-Snc1-Suc2 (GSS) reporter protein.,Not_a_complex
26658609_8,s0,T3,T4,Previously we uncovered genes required for the trafficking of the vesicle soluble N-ethylmaleimide-sensitive factor attachment protein receptor (v-SNARE) ,Snc1, in a genome-wide screen that assessed changes in the surface levels of the GFP-Snc1-Suc2 (,GSS,) reporter protein.,Not_a_complex
