10477683,s2,T2,T3,We have shown that the ,c-Maf, and ,c-Myb, transcription factors physically interact in myeloid cells to form inhibitory complexes that hinder transactivation of c-Myb target genes through direct binding to Myb consensus sites.,Complex_formation
10477683,s2,T2,T4,We have shown that the ,c-Maf, and c-Myb transcription factors physically interact in myeloid cells to form inhibitory complexes that hinder transactivation of ,c-Myb, target genes through direct binding to Myb consensus sites.,Not_a_complex
10477683,s2,T3,T4,We have shown that the c-Maf and ,c-Myb, transcription factors physically interact in myeloid cells to form inhibitory complexes that hinder transactivation of ,c-Myb, target genes through direct binding to Myb consensus sites.,Not_a_complex
10477683,s5,T13,T14,Because the elevated ,Myb,:,Maf," status seen in differentiating cells can be recapitulated by overexpression of c-Maf in myeloid cell lines, we inducibly expressed the c-Maf cDNA in 2 bipotent human myeloid progenitor cells.",Complex_formation
10477683,s5,T13,T5,Because the elevated ,Myb,:Maf status seen in differentiating cells can be recapitulated by overexpression of ,c-Maf," in myeloid cell lines, we inducibly expressed the c-Maf cDNA in 2 bipotent human myeloid progenitor cells.",Not_a_complex
10477683,s5,T14,T5,Because the elevated Myb:,Maf, status seen in differentiating cells can be recapitulated by overexpression of ,c-Maf," in myeloid cell lines, we inducibly expressed the c-Maf cDNA in 2 bipotent human myeloid progenitor cells.",Not_a_complex
10477683,s5,T5,T6,Because the elevated Myb:Maf status seen in differentiating cells can be recapitulated by overexpression of ,c-Maf," in myeloid cell lines, we inducibly expressed the ",c-Maf, cDNA in 2 bipotent human myeloid progenitor cells.,Not_a_complex
10477683,s5,T13,T6,Because the elevated ,Myb,":Maf status seen in differentiating cells can be recapitulated by overexpression of c-Maf in myeloid cell lines, we inducibly expressed the ",c-Maf, cDNA in 2 bipotent human myeloid progenitor cells.,Not_a_complex
10477683,s5,T14,T6,Because the elevated Myb:,Maf," status seen in differentiating cells can be recapitulated by overexpression of c-Maf in myeloid cell lines, we inducibly expressed the ",c-Maf, cDNA in 2 bipotent human myeloid progenitor cells.,Not_a_complex
10477683,s6,T15,T16,Elevated levels of c-Maf protein led to marked increases in ,Myb,:,Maf," complexes and the accumulation of monocyte/macrophage cells, followed by eventual programmed cell death.",Complex_formation
10477683,s6,T7,T15,Elevated levels of ,c-Maf, protein led to marked increases in ,Myb,":Maf complexes and the accumulation of monocyte/macrophage cells, followed by eventual programmed cell death.",Not_a_complex
10477683,s6,T7,T16,Elevated levels of ,c-Maf, protein led to marked increases in Myb:,Maf," complexes and the accumulation of monocyte/macrophage cells, followed by eventual programmed cell death.",Not_a_complex
10477683,s7,T10,T11,"Analysis of targets that could mediate these phenotypic changes indicated that c-Maf likely plays a key role in myeloid cell development through dual mechanisms; inhibition of a select set of c-Myb regulated targets, such as ",Bcl-2, and ,CD13,"/APN, coupled with the activation of as yet undefined differentiation-promoting genes.",Not_a_complex
10477683,s7,T10,T12,"Analysis of targets that could mediate these phenotypic changes indicated that c-Maf likely plays a key role in myeloid cell development through dual mechanisms; inhibition of a select set of c-Myb regulated targets, such as ",Bcl-2, and CD13/,APN,", coupled with the activation of as yet undefined differentiation-promoting genes.",Not_a_complex
10477683,s7,T11,T12,"Analysis of targets that could mediate these phenotypic changes indicated that c-Maf likely plays a key role in myeloid cell development through dual mechanisms; inhibition of a select set of c-Myb regulated targets, such as Bcl-2 and ",CD13,/,APN,", coupled with the activation of as yet undefined differentiation-promoting genes.",Not_a_complex
10477683,s7,T8,T10,Analysis of targets that could mediate these phenotypic changes indicated that ,c-Maf," likely plays a key role in myeloid cell development through dual mechanisms; inhibition of a select set of c-Myb regulated targets, such as ",Bcl-2," and CD13/APN, coupled with the activation of as yet undefined differentiation-promoting genes.",Not_a_complex
10477683,s7,T8,T11,Analysis of targets that could mediate these phenotypic changes indicated that ,c-Maf," likely plays a key role in myeloid cell development through dual mechanisms; inhibition of a select set of c-Myb regulated targets, such as Bcl-2 and ",CD13,"/APN, coupled with the activation of as yet undefined differentiation-promoting genes.",Not_a_complex
10477683,s7,T8,T12,Analysis of targets that could mediate these phenotypic changes indicated that ,c-Maf," likely plays a key role in myeloid cell development through dual mechanisms; inhibition of a select set of c-Myb regulated targets, such as Bcl-2 and CD13/",APN,", coupled with the activation of as yet undefined differentiation-promoting genes.",Not_a_complex
10477683,s7,T8,T9,Analysis of targets that could mediate these phenotypic changes indicated that ,c-Maf, likely plays a key role in myeloid cell development through dual mechanisms; inhibition of a select set of ,c-Myb," regulated targets, such as Bcl-2 and CD13/APN, coupled with the activation of as yet undefined differentiation-promoting genes.",Not_a_complex
10477683,s7,T9,T10,Analysis of targets that could mediate these phenotypic changes indicated that c-Maf likely plays a key role in myeloid cell development through dual mechanisms; inhibition of a select set of ,c-Myb," regulated targets, such as ",Bcl-2," and CD13/APN, coupled with the activation of as yet undefined differentiation-promoting genes.",Not_a_complex
10477683,s7,T9,T11,Analysis of targets that could mediate these phenotypic changes indicated that c-Maf likely plays a key role in myeloid cell development through dual mechanisms; inhibition of a select set of ,c-Myb," regulated targets, such as Bcl-2 and ",CD13,"/APN, coupled with the activation of as yet undefined differentiation-promoting genes.",Not_a_complex
10477683,s7,T9,T12,Analysis of targets that could mediate these phenotypic changes indicated that c-Maf likely plays a key role in myeloid cell development through dual mechanisms; inhibition of a select set of ,c-Myb," regulated targets, such as Bcl-2 and CD13/",APN,", coupled with the activation of as yet undefined differentiation-promoting genes.",Not_a_complex
