28693035_28,s0,T1,T2,"Effects of ML335, ML402, and arachidonic acid on ",K2P2.1,(,TREK-1,) current at 0 mV were measured by whole cell patch-clamp experiments 24 hours after transfection.,Not_a_complex
28693035_28,s0,T4,T1,Effects of ,ML335,", ML402, and arachidonic acid on ",K2P2.1,(TREK-1) current at 0 mV were measured by whole cell patch-clamp experiments 24 hours after transfection.,Not_a_complex
28693035_28,s0,T5,T1,"Effects of ML335, ",ML402,", and arachidonic acid on ",K2P2.1,(TREK-1) current at 0 mV were measured by whole cell patch-clamp experiments 24 hours after transfection.,Not_a_complex
28693035_28,s0,T6,T1,"Effects of ML335, ML402, and ",arachidonic acid, on ,K2P2.1,(TREK-1) current at 0 mV were measured by whole cell patch-clamp experiments 24 hours after transfection.,Not_a_complex
28693035_28,s0,T4,T2,Effects of ,ML335,", ML402, and arachidonic acid on K2P2.1(",TREK-1,) current at 0 mV were measured by whole cell patch-clamp experiments 24 hours after transfection.,Not_a_complex
28693035_28,s0,T5,T2,"Effects of ML335, ",ML402,", and arachidonic acid on K2P2.1(",TREK-1,) current at 0 mV were measured by whole cell patch-clamp experiments 24 hours after transfection.,Not_a_complex
28693035_28,s0,T6,T2,"Effects of ML335, ML402, and ",arachidonic acid, on K2P2.1(,TREK-1,) current at 0 mV were measured by whole cell patch-clamp experiments 24 hours after transfection.,Not_a_complex
28693035_28,s0,T4,T5,Effects of ,ML335,", ",ML402,", and arachidonic acid on K2P2.1(TREK-1) current at 0 mV were measured by whole cell patch-clamp experiments 24 hours after transfection.",Not_a_complex
28693035_28,s0,T4,T6,Effects of ,ML335,", ML402, and ",arachidonic acid, on K2P2.1(TREK-1) current at 0 mV were measured by whole cell patch-clamp experiments 24 hours after transfection.,Not_a_complex
28693035_28,s0,T5,T6,"Effects of ML335, ",ML402,", and ",arachidonic acid, on K2P2.1(TREK-1) current at 0 mV were measured by whole cell patch-clamp experiments 24 hours after transfection.,Not_a_complex
28693035_28,s3,T10,T11,"Pipette solution contained the following, in millimolar: 145, KCl; 3, MgCl2; 5, EGTA and 20, ",HEPES, (pH 7.2 with ,KOH,).,Not_a_complex
28693035_28,s3,T7,T10,"Pipette solution contained the following, in millimolar: 145, ",KCl,"; 3, MgCl2; 5, EGTA and 20, ",HEPES, (pH 7.2 with KOH).,Not_a_complex
28693035_28,s3,T7,T11,"Pipette solution contained the following, in millimolar: 145, ",KCl,"; 3, MgCl2; 5, EGTA and 20, HEPES (pH 7.2 with ",KOH,).,Not_a_complex
28693035_28,s3,T7,T8,"Pipette solution contained the following, in millimolar: 145, ",KCl,"; 3, ",MgCl2,"; 5, EGTA and 20, HEPES (pH 7.2 with KOH).",Not_a_complex
28693035_28,s3,T7,T9,"Pipette solution contained the following, in millimolar: 145, ",KCl,"; 3, MgCl2; 5, ",EGTA," and 20, HEPES (pH 7.2 with KOH).",Not_a_complex
28693035_28,s3,T8,T10,"Pipette solution contained the following, in millimolar: 145, KCl; 3, ",MgCl2,"; 5, EGTA and 20, ",HEPES, (pH 7.2 with KOH).,Not_a_complex
28693035_28,s3,T8,T11,"Pipette solution contained the following, in millimolar: 145, KCl; 3, ",MgCl2,"; 5, EGTA and 20, HEPES (pH 7.2 with ",KOH,).,Not_a_complex
28693035_28,s3,T8,T9,"Pipette solution contained the following, in millimolar: 145, KCl; 3, ",MgCl2,"; 5, ",EGTA," and 20, HEPES (pH 7.2 with KOH).",Not_a_complex
