24652835,s1,T2,T3,The evolutionarily conserved family of ,Bucentaur, (,BCNT,") proteins exhibits a widespread distribution in animal and plants, yet its biological role remains largely unknown.",Not_a_complex
24652835,s2,T4,T5,"Using Drosophila melanogaster as a model organism, we investigated the in vivo role of the Drosophila ",BCNT, member called ,YETI,.,Not_a_complex
24652835,s3,T6,T7,We report that loss of ,YETI," causes lethality before pupation and defects in higher-order chromatin organization, as evidenced by severe impairment in the association of ",histone H2A.V,", nucleosomal histones and epigenetic marks with polytene chromosomes.",Complex_formation
24652835,s3,T6,T26,We report that loss of ,YETI," causes lethality before pupation and defects in higher-order chromatin organization, as evidenced by severe impairment in the association of histone H2A.V, nucleosomal ",histones, and epigenetic marks with polytene chromosomes.,Not_a_complex
24652835,s3,T7,T26,"We report that loss of YETI causes lethality before pupation and defects in higher-order chromatin organization, as evidenced by severe impairment in the association of ",histone H2A.V,", nucleosomal ",histones, and epigenetic marks with polytene chromosomes.,Not_a_complex
24652835,s4,T24,T13,"We also find that YETI binds to polytene chromosomes through its conserved BCNT domain and interacts with the histone variant H2A.V, HP1a and Domino-A (DOM-A), the ATPase subunit of the ",DOM,/,Tip60, chromatin remodeling complex.,Complex_formation
24652835,s4,T8,T11,We also find that ,YETI, binds to polytene chromosomes through its conserved BCNT domain and interacts with the histone variant ,H2A.V,", HP1a and Domino-A (DOM-A), the ATPase subunit of the DOM/Tip60 chromatin remodeling complex.",Complex_formation
24652835,s4,T8,T12,We also find that ,YETI," binds to polytene chromosomes through its conserved BCNT domain and interacts with the histone variant H2A.V, HP1a and Domino-A (",DOM-A,"), the ATPase subunit of the DOM/Tip60 chromatin remodeling complex.",Complex_formation
24652835,s4,T8,T22,We also find that ,YETI," binds to polytene chromosomes through its conserved BCNT domain and interacts with the histone variant H2A.V, ",HP1a," and Domino-A (DOM-A), the ATPase subunit of the DOM/Tip60 chromatin remodeling complex.",Complex_formation
24652835,s4,T8,T23,We also find that ,YETI," binds to polytene chromosomes through its conserved BCNT domain and interacts with the histone variant H2A.V, HP1a and ",Domino-A," (DOM-A), the ATPase subunit of the DOM/Tip60 chromatin remodeling complex.",Complex_formation
24652835,s4,T10,T11,We also find that YETI binds to polytene chromosomes through its conserved BCNT domain and interacts with the ,histone, variant ,H2A.V,", HP1a and Domino-A (DOM-A), the ATPase subunit of the DOM/Tip60 chromatin remodeling complex.",Not_a_complex
