23538446_18,s0,T1,T6,To understand the physiological role of ,RASSF5," downregulation by Itch during cell cycle progression, ",RASSF5A, was coexpressed with either Itchwt or ItchC830A in HEK293T cells.,Not_a_complex
23538446_18,s0,T1,T7,To understand the physiological role of ,RASSF5, downregulation by ,Itch," during cell cycle progression, RASSF5A was coexpressed with either Itchwt or ItchC830A in HEK293T cells.",Not_a_complex
23538446_18,s0,T1,T8,To understand the physiological role of ,RASSF5," downregulation by Itch during cell cycle progression, RASSF5A was coexpressed with either ",Itchwt, or ItchC830A in HEK293T cells.,Not_a_complex
23538446_18,s0,T1,T9,To understand the physiological role of ,RASSF5," downregulation by Itch during cell cycle progression, RASSF5A was coexpressed with either Itchwt or ",ItchC830A, in HEK293T cells.,Not_a_complex
23538446_18,s0,T7,T6,To understand the physiological role of RASSF5 downregulation by ,Itch," during cell cycle progression, ",RASSF5A, was coexpressed with either Itchwt or ItchC830A in HEK293T cells.,Not_a_complex
23538446_18,s0,T6,T8,"To understand the physiological role of RASSF5 downregulation by Itch during cell cycle progression, ",RASSF5A, was coexpressed with either ,Itchwt, or ItchC830A in HEK293T cells.,Not_a_complex
23538446_18,s0,T6,T9,"To understand the physiological role of RASSF5 downregulation by Itch during cell cycle progression, ",RASSF5A, was coexpressed with either Itchwt or ,ItchC830A, in HEK293T cells.,Not_a_complex
23538446_18,s0,T7,T8,To understand the physiological role of RASSF5 downregulation by ,Itch," during cell cycle progression, RASSF5A was coexpressed with either ",Itchwt, or ItchC830A in HEK293T cells.,Not_a_complex
23538446_18,s0,T7,T9,To understand the physiological role of RASSF5 downregulation by ,Itch," during cell cycle progression, RASSF5A was coexpressed with either Itchwt or ",ItchC830A, in HEK293T cells.,Not_a_complex
23538446_18,s0,T8,T9,"To understand the physiological role of RASSF5 downregulation by Itch during cell cycle progression, RASSF5A was coexpressed with either ",Itchwt, or ,ItchC830A, in HEK293T cells.,Not_a_complex
23538446_18,s1,T10,T11,"As shown in Figure 6A, transient overexpression of ",Itchwt, but not ,ItchC830A, significantly suppresses RASSF5A-mediated G1 arrest.,Not_a_complex
23538446_18,s1,T10,T12,"As shown in Figure 6A, transient overexpression of ",Itchwt, but not ItchC830A significantly suppresses ,RASSF5A,-mediated G1 arrest.,Not_a_complex
23538446_18,s1,T11,T12,"As shown in Figure 6A, transient overexpression of Itchwt but not ",ItchC830A, significantly suppresses ,RASSF5A,-mediated G1 arrest.,Not_a_complex
23538446_18,s2,T13,T14,"However, the profile of S and G2/M phases of the cell cycle was not significantly altered when ",RASSF5A, coexpressed with ,Itch," (Supplementary Figures S8A, B and C).",Not_a_complex
23538446_18,s4,T2,T3,The patterns of G1 arrest inversely correlated with the acetylation status of ,RASSF5," (Figure 5a), suggesting that acetylation modulates ",RASSF5, function during cell cycle.,Not_a_complex
23538446_18,s5,T16,T17,"Interestingly, RASSF5-mediated apoptosis was impaired by ",Itchwt, but not ,ItchC830A, (Figure 6b).,Not_a_complex
23538446_18,s5,T4,T16,"Interestingly, ",RASSF5,-mediated apoptosis was impaired by ,Itchwt, but not ItchC830A (Figure 6b).,Not_a_complex
23538446_18,s5,T4,T17,"Interestingly, ",RASSF5,-mediated apoptosis was impaired by Itchwt but not ,ItchC830A, (Figure 6b).,Not_a_complex
23538446_18,s6,T19,T20,The specificity of regulation was further confirmed by the fact that Itch failed to alter the G1 cell cycle pattern as well as apoptosis when it is overexpressed with ,RASSF5AY24A, (defective for ,Itch, interaction)(Figures 6a and b).,Complex_formation
23538446_18,s6,T18,T19,The specificity of regulation was further confirmed by the fact that ,Itch, failed to alter the G1 cell cycle pattern as well as apoptosis when it is overexpressed with ,RASSF5AY24A, (defective for Itch interaction)(Figures 6a and b).,Not_a_complex
23538446_18,s6,T18,T20,The specificity of regulation was further confirmed by the fact that ,Itch, failed to alter the G1 cell cycle pattern as well as apoptosis when it is overexpressed with RASSF5AY24A (defective for ,Itch, interaction)(Figures 6a and b).,Not_a_complex
23538446_18,s7,T5,T21,These data indicate that the association of ,RASSF5, with ,Itch,", or additional PPxY-dependent protein interaction, may be required to elicit apoptosis (Figure 6b).",Complex_formation
