23772394_2,s2,T14,T15,B31 cells lack the K(+) efflux system and were reported to show overloaded K(+)-mediated growth inhibition in high K(+) media upon heterologous expression of a ,mammalian inwardly rectifying K(+) channel, (,Kir2.1,).,Not_a_complex
23772394_2,s2,T7,T14,B31 cells lack the ,K(+), efflux system and were reported to show overloaded K(+)-mediated growth inhibition in high K(+) media upon heterologous expression of a ,mammalian inwardly rectifying K(+) channel, (Kir2.1).,Not_a_complex
23772394_2,s2,T7,T15,B31 cells lack the ,K(+), efflux system and were reported to show overloaded K(+)-mediated growth inhibition in high K(+) media upon heterologous expression of a mammalian inwardly rectifying K(+) channel (,Kir2.1,).,Not_a_complex
23772394_2,s2,T7,T8,B31 cells lack the ,K(+), efflux system and were reported to show overloaded ,K(+),-mediated growth inhibition in high K(+) media upon heterologous expression of a mammalian inwardly rectifying K(+) channel (Kir2.1).,Not_a_complex
23772394_2,s2,T7,T9,B31 cells lack the ,K(+), efflux system and were reported to show overloaded K(+)-mediated growth inhibition in high ,K(+), media upon heterologous expression of a mammalian inwardly rectifying K(+) channel (Kir2.1).,Not_a_complex
23772394_2,s2,T8,T14,B31 cells lack the K(+) efflux system and were reported to show overloaded ,K(+),-mediated growth inhibition in high K(+) media upon heterologous expression of a ,mammalian inwardly rectifying K(+) channel, (Kir2.1).,Not_a_complex
23772394_2,s2,T8,T15,B31 cells lack the K(+) efflux system and were reported to show overloaded ,K(+),-mediated growth inhibition in high K(+) media upon heterologous expression of a mammalian inwardly rectifying K(+) channel (,Kir2.1,).,Not_a_complex
23772394_2,s2,T8,T9,B31 cells lack the K(+) efflux system and were reported to show overloaded ,K(+),-mediated growth inhibition in high ,K(+), media upon heterologous expression of a mammalian inwardly rectifying K(+) channel (Kir2.1).,Not_a_complex
23772394_2,s2,T9,T14,B31 cells lack the K(+) efflux system and were reported to show overloaded K(+)-mediated growth inhibition in high ,K(+), media upon heterologous expression of a ,mammalian inwardly rectifying K(+) channel, (Kir2.1).,Not_a_complex
23772394_2,s2,T9,T15,B31 cells lack the K(+) efflux system and were reported to show overloaded K(+)-mediated growth inhibition in high ,K(+), media upon heterologous expression of a mammalian inwardly rectifying K(+) channel (,Kir2.1,).,Not_a_complex
23772394_2,s3,T10,T11,We show that while the expression of wild-type Kir2.1 channel inhibits the growth of B31 cells in high ,K(+)," media, the human disease-causing mutations of Kir2.1 that abolish ",K(+), conduction (V302M) or surface trafficking (Delta314/315) fully restores the growth.,Not_a_complex
