7843230,s0,T37,T1,Biphasic control of ,nuclear factor-kappa B, activation by the T cell receptor complex: role of ,tumor necrosis factor alpha,". 
",Not_a_complex
7843230,s1,T26,T27,The regulation of nuclear factor (NF)-kappa B activation by the T cell receptor (,TcR,)/,CD3, complex in primary human T cells has been studied at various times after activation.,Complex_formation
7843230,s1,T39,T27,The regulation of nuclear factor (NF)-kappa B activation by the ,T cell receptor, (TcR)/,CD3, complex in primary human T cells has been studied at various times after activation.,Complex_formation
7843230,s1,T38,T26,The regulation of ,nuclear factor (NF)-kappa B, activation by the T cell receptor (,TcR,)/CD3 complex in primary human T cells has been studied at various times after activation.,Not_a_complex
7843230,s1,T39,T26,The regulation of nuclear factor (NF)-kappa B activation by the ,T cell receptor, (,TcR,)/CD3 complex in primary human T cells has been studied at various times after activation.,Not_a_complex
7843230,s1,T38,T27,The regulation of ,nuclear factor (NF)-kappa B, activation by the T cell receptor (TcR)/,CD3, complex in primary human T cells has been studied at various times after activation.,Not_a_complex
7843230,s1,T38,T39,The regulation of ,nuclear factor (NF)-kappa B, activation by the ,T cell receptor, (TcR)/CD3 complex in primary human T cells has been studied at various times after activation.,Not_a_complex
7843230,s2,T2,T3,Only ,p50, NF-kappa B protein bound the kappa B element of ,interleukin-2 receptor (IL-2R) alpha chain, promoter on resting T cells.,Not_a_complex
7843230,s2,T2,T30,Only ,p50, NF-kappa B protein bound the ,kappa B, element of interleukin-2 receptor (IL-2R) alpha chain promoter on resting T cells.,Not_a_complex
7843230,s2,T2,T40,Only ,p50, ,NF-kappa B, protein bound the kappa B element of interleukin-2 receptor (IL-2R) alpha chain promoter on resting T cells.,Not_a_complex
7843230,s2,T30,T3,Only p50 NF-kappa B protein bound the ,kappa B, element of ,interleukin-2 receptor (IL-2R) alpha chain, promoter on resting T cells.,Not_a_complex
7843230,s2,T40,T3,Only p50 ,NF-kappa B, protein bound the kappa B element of ,interleukin-2 receptor (IL-2R) alpha chain, promoter on resting T cells.,Not_a_complex
7843230,s2,T40,T30,Only p50 ,NF-kappa B, protein bound the ,kappa B, element of interleukin-2 receptor (IL-2R) alpha chain promoter on resting T cells.,Not_a_complex
7843230,s3,T28,T29,"However, immediately after ",TcR,/,CD3, cross-linking (after approximately 1 h; immediate) binding of p50.p65 heterodimers was observed.,Complex_formation
7843230,s3,T4,T5,"However, immediately after TcR/CD3 cross-linking (after approximately 1 h; immediate) binding of ",p50,.,p65, heterodimers was observed.,Complex_formation
7843230,s3,T28,T4,"However, immediately after ",TcR,/CD3 cross-linking (after approximately 1 h; immediate) binding of ,p50,.p65 heterodimers was observed.,Not_a_complex
7843230,s3,T29,T4,"However, immediately after TcR/",CD3, cross-linking (after approximately 1 h; immediate) binding of ,p50,.p65 heterodimers was observed.,Not_a_complex
7843230,s3,T28,T5,"However, immediately after ",TcR,/CD3 cross-linking (after approximately 1 h; immediate) binding of p50.,p65, heterodimers was observed.,Not_a_complex
7843230,s3,T29,T5,"However, immediately after TcR/",CD3, cross-linking (after approximately 1 h; immediate) binding of p50.,p65, heterodimers was observed.,Not_a_complex
7843230,s4,T6,T7,,p50,.,c-rel," heterodimers were also detected bound to this sequence at early time points (7-16 h; early), and both remained active at later time points (40 h; late) after activation.",Complex_formation
7843230,s5,T8,T9,This regulation takes place mainly at the level of nuclear translocation of ,p65, and ,c-rel,", at immediate and early time points.",Not_a_complex
7843230,s6,T10,T11,Activation also induced ,c-rel, and ,p105,"/p50 mRNA synthesis, but not p65 mRNA whose expression was constitutive.",Not_a_complex
7843230,s6,T10,T12,Activation also induced ,c-rel, and p105/,p50," mRNA synthesis, but not p65 mRNA whose expression was constitutive.",Not_a_complex
7843230,s6,T10,T13,Activation also induced ,c-rel," and p105/p50 mRNA synthesis, but not ",p65, mRNA whose expression was constitutive.,Not_a_complex
7843230,s6,T11,T12,Activation also induced c-rel and ,p105,/,p50," mRNA synthesis, but not p65 mRNA whose expression was constitutive.",Not_a_complex
7843230,s6,T11,T13,Activation also induced c-rel and ,p105,"/p50 mRNA synthesis, but not ",p65, mRNA whose expression was constitutive.,Not_a_complex
7843230,s6,T12,T13,Activation also induced c-rel and p105/,p50," mRNA synthesis, but not ",p65, mRNA whose expression was constitutive.,Not_a_complex
