9388475,s1,T13,T15,Transcription factors of the ,NFAT, (,nuclear factor of activated T cells,) family play important roles in immune and inflammatory responses by regulating the expression of genes encoding cytokines and immunoregulatory proteins.,Not_a_complex
9388475,s2,T10,T11,Here we describe cloning and characterization of full-length cDNA encoding murine (m) NFATc which predicts that the protein has all the conserved structural motifs of ,NFAT," family members, including the rel homology domain, the ",NFAT, homology domain and the nuclear translocation signals.,Not_a_complex
9388475,s2,T10,T14,Here we describe cloning and characterization of full-length cDNA encoding murine (m) NFATc which predicts that the protein has all the conserved structural motifs of ,NFAT," family members, including the ",rel," homology domain, the NFAT homology domain and the nuclear translocation signals.",Not_a_complex
9388475,s2,T14,T11,"Here we describe cloning and characterization of full-length cDNA encoding murine (m) NFATc which predicts that the protein has all the conserved structural motifs of NFAT family members, including the ",rel," homology domain, the ",NFAT, homology domain and the nuclear translocation signals.,Not_a_complex
9388475,s2,T2,T10,Here we describe cloning and characterization of full-length cDNA encoding ,murine (m) NFATc, which predicts that the protein has all the conserved structural motifs of ,NFAT," family members, including the rel homology domain, the NFAT homology domain and the nuclear translocation signals.",Not_a_complex
9388475,s2,T2,T11,Here we describe cloning and characterization of full-length cDNA encoding ,murine (m) NFATc," which predicts that the protein has all the conserved structural motifs of NFAT family members, including the rel homology domain, the ",NFAT, homology domain and the nuclear translocation signals.,Not_a_complex
9388475,s2,T2,T14,Here we describe cloning and characterization of full-length cDNA encoding ,murine (m) NFATc," which predicts that the protein has all the conserved structural motifs of NFAT family members, including the ",rel," homology domain, the NFAT homology domain and the nuclear translocation signals.",Not_a_complex
9388475,s3,T3,T4,,mNFATc, complexed with ,AP-1, bound specifically to the murine IL-2 NFAT recognition sequence and activated transcription from the co-transfected IL-2 promoter in COS-7 cells.,Complex_formation
9388475,s3,T3,T12,,mNFATc, complexed with AP-1 bound specifically to the murine IL-2 ,NFAT, recognition sequence and activated transcription from the co-transfected IL-2 promoter in COS-7 cells.,Not_a_complex
9388475,s3,T3,T5,,mNFATc, complexed with AP-1 bound specifically to the murine ,IL-2, NFAT recognition sequence and activated transcription from the co-transfected IL-2 promoter in COS-7 cells.,Not_a_complex
9388475,s3,T3,T6,,mNFATc, complexed with AP-1 bound specifically to the murine IL-2 NFAT recognition sequence and activated transcription from the co-transfected ,IL-2, promoter in COS-7 cells.,Not_a_complex
9388475,s3,T4,T12,mNFATc complexed with ,AP-1, bound specifically to the murine IL-2 ,NFAT, recognition sequence and activated transcription from the co-transfected IL-2 promoter in COS-7 cells.,Not_a_complex
9388475,s3,T4,T5,mNFATc complexed with ,AP-1, bound specifically to the murine ,IL-2, NFAT recognition sequence and activated transcription from the co-transfected IL-2 promoter in COS-7 cells.,Not_a_complex
9388475,s3,T4,T6,mNFATc complexed with ,AP-1, bound specifically to the murine IL-2 NFAT recognition sequence and activated transcription from the co-transfected ,IL-2, promoter in COS-7 cells.,Not_a_complex
9388475,s3,T5,T12,mNFATc complexed with AP-1 bound specifically to the murine ,IL-2, ,NFAT, recognition sequence and activated transcription from the co-transfected IL-2 promoter in COS-7 cells.,Not_a_complex
9388475,s3,T5,T6,mNFATc complexed with AP-1 bound specifically to the murine ,IL-2, NFAT recognition sequence and activated transcription from the co-transfected ,IL-2, promoter in COS-7 cells.,Not_a_complex
9388475,s3,T12,T6,mNFATc complexed with AP-1 bound specifically to the murine IL-2 ,NFAT, recognition sequence and activated transcription from the co-transfected ,IL-2, promoter in COS-7 cells.,Not_a_complex
9388475,s6,T8,T9,"In the mouse embryo, ",mNFATc," transcript was strongly expressed in thymus, lung and submandibular gland and weakly in skeletal muscle and heart suggesting that ",mNFATc, may have a role both in embryogenesis and in mature T cells.,Not_a_complex
