26317213_16,s0,T11,T12,(A) Hydrolysis of ,N-succinyl-ala-ala-pro-phe-p-nitroanilidine, (peptidyl prolyl cis-trans isomerase or ,PPIase, activity) in the presence of 4.34 nM of recombinant AtCyp19-3 and 52.4 nM and 65.87 nM each of AtCyp19-3(35-176) and AtCyp19-3(71-176) proteins.,Not_a_complex
26317213_16,s0,T11,T2,(A) Hydrolysis of ,N-succinyl-ala-ala-pro-phe-p-nitroanilidine, (,peptidyl prolyl cis-trans isomerase, or PPIase activity) in the presence of 4.34 nM of recombinant AtCyp19-3 and 52.4 nM and 65.87 nM each of AtCyp19-3(35-176) and AtCyp19-3(71-176) proteins.,Not_a_complex
26317213_16,s0,T2,T12,(A) Hydrolysis of N-succinyl-ala-ala-pro-phe-p-nitroanilidine (,peptidyl prolyl cis-trans isomerase, or ,PPIase, activity) in the presence of 4.34 nM of recombinant AtCyp19-3 and 52.4 nM and 65.87 nM each of AtCyp19-3(35-176) and AtCyp19-3(71-176) proteins.,Not_a_complex
26317213_16,s0,T2,T3,(A) Hydrolysis of N-succinyl-ala-ala-pro-phe-p-nitroanilidine (,peptidyl prolyl cis-trans isomerase, or PPIase activity) in the presence of 4.34 nM of recombinant ,AtCyp19,-3 and 52.4 nM and 65.87 nM each of AtCyp19-3(35-176) and AtCyp19-3(71-176) proteins.,Not_a_complex
26317213_16,s0,T2,T4,(A) Hydrolysis of N-succinyl-ala-ala-pro-phe-p-nitroanilidine (,peptidyl prolyl cis-trans isomerase, or PPIase activity) in the presence of 4.34 nM of recombinant AtCyp19-3 and 52.4 nM and 65.87 nM each of ,AtCyp19,-3(35-176) and AtCyp19-3(71-176) proteins.,Not_a_complex
26317213_16,s0,T2,T5,(A) Hydrolysis of N-succinyl-ala-ala-pro-phe-p-nitroanilidine (,peptidyl prolyl cis-trans isomerase, or PPIase activity) in the presence of 4.34 nM of recombinant AtCyp19-3 and 52.4 nM and 65.87 nM each of AtCyp19-3(35-176) and ,AtCyp19,-3(71-176) proteins.,Not_a_complex
26317213_16,s0,T11,T3,(A) Hydrolysis of ,N-succinyl-ala-ala-pro-phe-p-nitroanilidine, (peptidyl prolyl cis-trans isomerase or PPIase activity) in the presence of 4.34 nM of recombinant ,AtCyp19,-3 and 52.4 nM and 65.87 nM each of AtCyp19-3(35-176) and AtCyp19-3(71-176) proteins.,Not_a_complex
26317213_16,s0,T12,T3,(A) Hydrolysis of N-succinyl-ala-ala-pro-phe-p-nitroanilidine (peptidyl prolyl cis-trans isomerase or ,PPIase, activity) in the presence of 4.34 nM of recombinant ,AtCyp19,-3 and 52.4 nM and 65.87 nM each of AtCyp19-3(35-176) and AtCyp19-3(71-176) proteins.,Not_a_complex
26317213_16,s0,T3,T4,(A) Hydrolysis of N-succinyl-ala-ala-pro-phe-p-nitroanilidine (peptidyl prolyl cis-trans isomerase or PPIase activity) in the presence of 4.34 nM of recombinant ,AtCyp19,-3 and 52.4 nM and 65.87 nM each of ,AtCyp19,-3(35-176) and AtCyp19-3(71-176) proteins.,Not_a_complex
26317213_16,s0,T3,T5,(A) Hydrolysis of N-succinyl-ala-ala-pro-phe-p-nitroanilidine (peptidyl prolyl cis-trans isomerase or PPIase activity) in the presence of 4.34 nM of recombinant ,AtCyp19,-3 and 52.4 nM and 65.87 nM each of AtCyp19-3(35-176) and ,AtCyp19,-3(71-176) proteins.,Not_a_complex
26317213_16,s0,T11,T4,(A) Hydrolysis of ,N-succinyl-ala-ala-pro-phe-p-nitroanilidine, (peptidyl prolyl cis-trans isomerase or PPIase activity) in the presence of 4.34 nM of recombinant AtCyp19-3 and 52.4 nM and 65.87 nM each of ,AtCyp19,-3(35-176) and AtCyp19-3(71-176) proteins.,Not_a_complex
26317213_16,s0,T12,T4,(A) Hydrolysis of N-succinyl-ala-ala-pro-phe-p-nitroanilidine (peptidyl prolyl cis-trans isomerase or ,PPIase, activity) in the presence of 4.34 nM of recombinant AtCyp19-3 and 52.4 nM and 65.87 nM each of ,AtCyp19,-3(35-176) and AtCyp19-3(71-176) proteins.,Not_a_complex
26317213_16,s0,T4,T5,(A) Hydrolysis of N-succinyl-ala-ala-pro-phe-p-nitroanilidine (peptidyl prolyl cis-trans isomerase or PPIase activity) in the presence of 4.34 nM of recombinant AtCyp19-3 and 52.4 nM and 65.87 nM each of ,AtCyp19,-3(35-176) and ,AtCyp19,-3(71-176) proteins.,Not_a_complex
26317213_16,s0,T11,T5,(A) Hydrolysis of ,N-succinyl-ala-ala-pro-phe-p-nitroanilidine, (peptidyl prolyl cis-trans isomerase or PPIase activity) in the presence of 4.34 nM of recombinant AtCyp19-3 and 52.4 nM and 65.87 nM each of AtCyp19-3(35-176) and ,AtCyp19,-3(71-176) proteins.,Not_a_complex
26317213_16,s0,T12,T5,(A) Hydrolysis of N-succinyl-ala-ala-pro-phe-p-nitroanilidine (peptidyl prolyl cis-trans isomerase or ,PPIase, activity) in the presence of 4.34 nM of recombinant AtCyp19-3 and 52.4 nM and 65.87 nM each of AtCyp19-3(35-176) and ,AtCyp19,-3(71-176) proteins.,Not_a_complex
26317213_16,s1,T6,T13,The rate of reaction is expressed as first order rate constant (k) ,Bovine serum albumin, (,BSA,) was used as a negative control.,Not_a_complex
26317213_16,s3,T14,T10,"(C) Effect of cyclophilin inhibitor, ",cyclosporin A," (CsA), and FKBP inhibitor, FK506, on the PPIase activity of AtCyp19-3 (D) Determination of inhibition constant (ki) of ",AtCyp19,"-3 for CsA. Inhibition constant (ki) for CsA was determined as gradient of the line of the best fit from a plot of [CsA]/(1-k/ko) against ko/k, where k is the rate constant at any given CsA concentration and ko is the rate constant in the absence of CsA. The slope of the line represents the ki.
",Not_a_complex
26317213_16,s3,T15,T10,"(C) Effect of cyclophilin inhibitor, cyclosporin A (",CsA,"), and FKBP inhibitor, FK506, on the PPIase activity of AtCyp19-3 (D) Determination of inhibition constant (ki) of ",AtCyp19,"-3 for CsA. Inhibition constant (ki) for CsA was determined as gradient of the line of the best fit from a plot of [CsA]/(1-k/ko) against ko/k, where k is the rate constant at any given CsA concentration and ko is the rate constant in the absence of CsA. The slope of the line represents the ki.
",Not_a_complex
26317213_16,s3,T16,T10,"(C) Effect of cyclophilin inhibitor, cyclosporin A (CsA), and ",FKBP," inhibitor, FK506, on the PPIase activity of AtCyp19-3 (D) Determination of inhibition constant (ki) of ",AtCyp19,"-3 for CsA. Inhibition constant (ki) for CsA was determined as gradient of the line of the best fit from a plot of [CsA]/(1-k/ko) against ko/k, where k is the rate constant at any given CsA concentration and ko is the rate constant in the absence of CsA. The slope of the line represents the ki.
",Not_a_complex
