20953180_26,s2,T4,T3,This mechanism might also be applicable to the ,Pup,-,proteasome, system.,Not_a_complex
20953180_26,s4,T6,T1,The randomly coiled state of ,Pup," may increase its target capture radius, allowing it to find the ",proteasomal ATPase, more easily.,Not_a_complex
20953180_26,s5,T7,T8,Once the C-terminal part of ,Pup, contacts the ,Mpa," coiled-coil, the pupylated substrate is ""reeled"" into the proteasomal ATPase, and the Pup N-terminus is gradually forced towards the OB channel in Mpa.",Complex_formation
20953180_26,s5,T2,T10,"Once the C-terminal part of Pup contacts the Mpa coiled-coil, the pupylated substrate is ""reeled"" into the ",proteasomal ATPase,", and the Pup N-terminus is gradually forced towards the OB channel in ",Mpa,.,Not_a_complex
20953180_26,s5,T7,T2,Once the C-terminal part of ,Pup," contacts the Mpa coiled-coil, the pupylated substrate is ""reeled"" into the ",proteasomal ATPase,", and the Pup N-terminus is gradually forced towards the OB channel in Mpa.",Not_a_complex
20953180_26,s5,T8,T2,Once the C-terminal part of Pup contacts the ,Mpa," coiled-coil, the pupylated substrate is ""reeled"" into the ",proteasomal ATPase,", and the Pup N-terminus is gradually forced towards the OB channel in Mpa.",Not_a_complex
20953180_26,s5,T2,T9,"Once the C-terminal part of Pup contacts the Mpa coiled-coil, the pupylated substrate is ""reeled"" into the ",proteasomal ATPase,", and the ",Pup, N-terminus is gradually forced towards the OB channel in Mpa.,Not_a_complex
20953180_26,s5,T7,T10,Once the C-terminal part of ,Pup," contacts the Mpa coiled-coil, the pupylated substrate is ""reeled"" into the proteasomal ATPase, and the Pup N-terminus is gradually forced towards the OB channel in ",Mpa,.,Not_a_complex
20953180_26,s5,T7,T9,Once the C-terminal part of ,Pup," contacts the Mpa coiled-coil, the pupylated substrate is ""reeled"" into the proteasomal ATPase, and the ",Pup, N-terminus is gradually forced towards the OB channel in Mpa.,Not_a_complex
20953180_26,s5,T8,T10,Once the C-terminal part of Pup contacts the ,Mpa," coiled-coil, the pupylated substrate is ""reeled"" into the proteasomal ATPase, and the Pup N-terminus is gradually forced towards the OB channel in ",Mpa,.,Not_a_complex
20953180_26,s5,T8,T9,Once the C-terminal part of Pup contacts the ,Mpa," coiled-coil, the pupylated substrate is ""reeled"" into the proteasomal ATPase, and the ",Pup, N-terminus is gradually forced towards the OB channel in Mpa.,Not_a_complex
20953180_26,s5,T9,T10,"Once the C-terminal part of Pup contacts the Mpa coiled-coil, the pupylated substrate is ""reeled"" into the proteasomal ATPase, and the ",Pup, N-terminus is gradually forced towards the OB channel in ,Mpa,.,Not_a_complex
20953180_26,s6,T12,T13,The pulling of ,Pup,'s N-terminus into the OB channel might subsequently pull the ,Pup," helix away from the Mpa coiled-coil, causing Pup to unfold and thread further into the channel to reach the Mpa AAA region.",Not_a_complex
20953180_26,s6,T12,T14,The pulling of ,Pup,'s N-terminus into the OB channel might subsequently pull the Pup helix away from the ,Mpa," coiled-coil, causing Pup to unfold and thread further into the channel to reach the Mpa AAA region.",Not_a_complex
20953180_26,s6,T12,T15,The pulling of ,Pup,"'s N-terminus into the OB channel might subsequently pull the Pup helix away from the Mpa coiled-coil, causing ",Pup, to unfold and thread further into the channel to reach the Mpa AAA region.,Not_a_complex
20953180_26,s6,T12,T16,The pulling of ,Pup,"'s N-terminus into the OB channel might subsequently pull the Pup helix away from the Mpa coiled-coil, causing Pup to unfold and thread further into the channel to reach the ",Mpa, AAA region.,Not_a_complex
20953180_26,s6,T13,T14,The pulling of Pup's N-terminus into the OB channel might subsequently pull the ,Pup, helix away from the ,Mpa," coiled-coil, causing Pup to unfold and thread further into the channel to reach the Mpa AAA region.",Not_a_complex
20953180_26,s6,T13,T15,The pulling of Pup's N-terminus into the OB channel might subsequently pull the ,Pup," helix away from the Mpa coiled-coil, causing ",Pup, to unfold and thread further into the channel to reach the Mpa AAA region.,Not_a_complex
20953180_26,s6,T13,T16,The pulling of Pup's N-terminus into the OB channel might subsequently pull the ,Pup," helix away from the Mpa coiled-coil, causing Pup to unfold and thread further into the channel to reach the ",Mpa, AAA region.,Not_a_complex
