22368268_37,s0,T1,T15,The involvement of ,RPD3,"-type HDAs, HDA6 and HDA19, in ",ABA, and abiotic stress has been reported.,Not_a_complex
22368268_37,s0,T1,T2,The involvement of ,RPD3,"-type HDAs, ",HDA6," and HDA19, in ABA and abiotic stress has been reported.",Not_a_complex
22368268_37,s0,T23,T1,T,he involvement of, ,RPD3,"-type HDAs, HDA6 and HDA19, in ABA and abiotic stress has been reported.",Not_a_complex
22368268_37,s0,T1,T3,The involvement of ,RPD3,"-type HDAs, HDA6 and ",HDA19,", in ABA and abiotic stress has been reported.",Not_a_complex
22368268_37,s0,T23,T15,T,he involvement of," RPD3-type HDAs, HDA6 and HDA19, in ",ABA, and abiotic stress has been reported.,Not_a_complex
22368268_37,s0,T2,T15,"The involvement of RPD3-type HDAs, ",HDA6," and HDA19, in ",ABA, and abiotic stress has been reported.,Not_a_complex
22368268_37,s0,T23,T2,T,he involvement of," RPD3-type HDAs, ",HDA6," and HDA19, in ABA and abiotic stress has been reported.",Not_a_complex
22368268_37,s0,T2,T3,"The involvement of RPD3-type HDAs, ",HDA6, and ,HDA19,", in ABA and abiotic stress has been reported.",Not_a_complex
22368268_37,s0,T3,T15,"The involvement of RPD3-type HDAs, HDA6 and ",HDA19,", in ",ABA, and abiotic stress has been reported.,Not_a_complex
22368268_37,s0,T23,T3,T,he involvement of," RPD3-type HDAs, HDA6 and ",HDA19,", in ABA and abiotic stress has been reported.",Not_a_complex
22368268_37,s1,T25,T26,It was found that hda6 mutant and HDA6 RNA-interference (HDA6-RNAi) plants displayed a phenotype that is more sensitive to ,ABA, and ,salt, stress.,Not_a_complex
22368268_37,s1,T4,T25,It was found that ,hda6, mutant and HDA6 RNA-interference (HDA6-RNAi) plants displayed a phenotype that is more sensitive to ,ABA, and salt stress.,Not_a_complex
22368268_37,s1,T4,T26,It was found that ,hda6, mutant and HDA6 RNA-interference (HDA6-RNAi) plants displayed a phenotype that is more sensitive to ABA and ,salt, stress.,Not_a_complex
22368268_37,s1,T4,T5,It was found that ,hda6, mutant and ,HDA6, RNA-interference (HDA6-RNAi) plants displayed a phenotype that is more sensitive to ABA and salt stress.,Not_a_complex
22368268_37,s1,T4,T6,It was found that ,hda6, mutant and HDA6 RNA-interference (,HDA6,-RNAi) plants displayed a phenotype that is more sensitive to ABA and salt stress.,Not_a_complex
22368268_37,s1,T5,T25,It was found that hda6 mutant and ,HDA6, RNA-interference (HDA6-RNAi) plants displayed a phenotype that is more sensitive to ,ABA, and salt stress.,Not_a_complex
22368268_37,s1,T5,T26,It was found that hda6 mutant and ,HDA6, RNA-interference (HDA6-RNAi) plants displayed a phenotype that is more sensitive to ABA and ,salt, stress.,Not_a_complex
22368268_37,s1,T5,T6,It was found that hda6 mutant and ,HDA6, RNA-interference (,HDA6,-RNAi) plants displayed a phenotype that is more sensitive to ABA and salt stress.,Not_a_complex
22368268_37,s1,T6,T25,It was found that hda6 mutant and HDA6 RNA-interference (,HDA6,-RNAi) plants displayed a phenotype that is more sensitive to ,ABA, and salt stress.,Not_a_complex
22368268_37,s1,T6,T26,It was found that hda6 mutant and HDA6 RNA-interference (,HDA6,-RNAi) plants displayed a phenotype that is more sensitive to ABA and ,salt, stress.,Not_a_complex
22368268_37,s2,T21,T22,"Compared with wild-type plants, the expression of ",ABA, and ,abiotic stress-responsive, genes was decreased in hda6 and HDA6-RNAi plants.,Not_a_complex
22368268_37,s2,T21,T7,"Compared with wild-type plants, the expression of ",ABA, and abiotic stress-responsive genes was decreased in ,hda6, and HDA6-RNAi plants.,Not_a_complex
22368268_37,s2,T22,T7,"Compared with wild-type plants, the expression of ABA and ",abiotic stress-responsive, genes was decreased in ,hda6, and HDA6-RNAi plants.,Not_a_complex
22368268_37,s2,T7,T8,"Compared with wild-type plants, the expression of ABA and abiotic stress-responsive genes was decreased in ",hda6, and ,HDA6,-RNAi plants.,Not_a_complex
22368268_37,s2,T21,T8,"Compared with wild-type plants, the expression of ",ABA, and abiotic stress-responsive genes was decreased in hda6 and ,HDA6,-RNAi plants.,Not_a_complex
22368268_37,s2,T22,T8,"Compared with wild-type plants, the expression of ABA and ",abiotic stress-responsive, genes was decreased in hda6 and ,HDA6,-RNAi plants.,Not_a_complex
22368268_37,s3,T10,T11,"Similarly, the Arabidopsis HDA19 T-DNA insertion mutant, ",hda19,"-1, was hypersensitive to ABA and salt stress, and the expression of ABA-responsive genes was decreased in ",hda19,-1 plants.,Not_a_complex
22368268_37,s3,T10,T24,"Similarly, the Arabidopsis HDA19 T-DNA insertion mutant, ",hda19,"-1, was hypersensitive to ABA and salt stress, and the expression of ",ABA-responsive genes, was decreased in hda19-1 plants.,Not_a_complex
22368268_37,s3,T10,T28,"Similarly, the Arabidopsis HDA19 T-DNA insertion mutant, ",hda19,"-1, was hypersensitive to ",ABA," and salt stress, and the expression of ABA-responsive genes was decreased in hda19-1 plants.",Not_a_complex
22368268_37,s3,T10,T29,"Similarly, the Arabidopsis HDA19 T-DNA insertion mutant, ",hda19,"-1, was hypersensitive to ABA and ",salt," stress, and the expression of ABA-responsive genes was decreased in hda19-1 plants.",Not_a_complex
22368268_37,s3,T24,T11,"Similarly, the Arabidopsis HDA19 T-DNA insertion mutant, hda19-1, was hypersensitive to ABA and salt stress, and the expression of ",ABA-responsive genes, was decreased in ,hda19,-1 plants.,Not_a_complex
22368268_37,s3,T28,T11,"Similarly, the Arabidopsis HDA19 T-DNA insertion mutant, hda19-1, was hypersensitive to ",ABA," and salt stress, and the expression of ABA-responsive genes was decreased in ",hda19,-1 plants.,Not_a_complex
22368268_37,s3,T29,T11,"Similarly, the Arabidopsis HDA19 T-DNA insertion mutant, hda19-1, was hypersensitive to ABA and ",salt," stress, and the expression of ABA-responsive genes was decreased in ",hda19,-1 plants.,Not_a_complex
22368268_37,s3,T28,T24,"Similarly, the Arabidopsis HDA19 T-DNA insertion mutant, hda19-1, was hypersensitive to ",ABA," and salt stress, and the expression of ",ABA-responsive genes, was decreased in hda19-1 plants.,Not_a_complex
22368268_37,s3,T29,T24,"Similarly, the Arabidopsis HDA19 T-DNA insertion mutant, hda19-1, was hypersensitive to ABA and ",salt," stress, and the expression of ",ABA-responsive genes, was decreased in hda19-1 plants.,Not_a_complex
22368268_37,s3,T28,T29,"Similarly, the Arabidopsis HDA19 T-DNA insertion mutant, hda19-1, was hypersensitive to ",ABA, and ,salt," stress, and the expression of ABA-responsive genes was decreased in hda19-1 plants.",Not_a_complex
22368268_37,s3,T9,T10,"Similarly, the Arabidopsis ",HDA19," T-DNA insertion mutant, ",hda19,"-1, was hypersensitive to ABA and salt stress, and the expression of ABA-responsive genes was decreased in hda19-1 plants.",Not_a_complex
22368268_37,s3,T9,T11,"Similarly, the Arabidopsis ",HDA19," T-DNA insertion mutant, hda19-1, was hypersensitive to ABA and salt stress, and the expression of ABA-responsive genes was decreased in ",hda19,-1 plants.,Not_a_complex
22368268_37,s3,T9,T24,"Similarly, the Arabidopsis ",HDA19," T-DNA insertion mutant, hda19-1, was hypersensitive to ABA and salt stress, and the expression of ",ABA-responsive genes, was decreased in hda19-1 plants.,Not_a_complex
22368268_37,s3,T9,T28,"Similarly, the Arabidopsis ",HDA19," T-DNA insertion mutant, hda19-1, was hypersensitive to ",ABA," and salt stress, and the expression of ABA-responsive genes was decreased in hda19-1 plants.",Not_a_complex
22368268_37,s3,T9,T29,"Similarly, the Arabidopsis ",HDA19," T-DNA insertion mutant, hda19-1, was hypersensitive to ABA and ",salt," stress, and the expression of ABA-responsive genes was decreased in hda19-1 plants.",Not_a_complex
22368268_37,s4,T12,T13,Arabidopsis ,HDA19, may act in a protein complex of ,AtERF7,", a transcription repressor, to regulate the abiotic stress response genes.",Complex_formation
22368268_37,s5,T14,T16,"Furthermore, ",AtERF7," interacts with the Arabidopsis homologue of a human global corepressor of transcription, ",AtSin3,", which, in turn, may interact with HDA19.",Complex_formation
22368268_37,s5,T16,T17,"Furthermore, AtERF7 interacts with the Arabidopsis homologue of a human global corepressor of transcription, ",AtSin3,", which, in turn, may interact with ",HDA19,.,Complex_formation
22368268_37,s5,T14,T17,"Furthermore, ",AtERF7," interacts with the Arabidopsis homologue of a human global corepressor of transcription, AtSin3, which, in turn, may interact with ",HDA19,.,Not_a_complex
22368268_37,s6,T18,T19,It was proposed that ,AtERF7,", ",AtSin3,", and HDA19 can form a transcriptional repressor complex to regulate ABA and drought response in Arabidopsis.
",Complex_formation
22368268_37,s6,T18,T20,It was proposed that ,AtERF7,", AtSin3, and ",HDA19," can form a transcriptional repressor complex to regulate ABA and drought response in Arabidopsis.
",Complex_formation
22368268_37,s6,T19,T20,"It was proposed that AtERF7, ",AtSin3,", and ",HDA19," can form a transcriptional repressor complex to regulate ABA and drought response in Arabidopsis.
",Complex_formation
22368268_37,s6,T18,T27,It was proposed that ,AtERF7,", AtSin3, and HDA19 can form a transcriptional repressor complex to regulate ",ABA," and drought response in Arabidopsis.
",Not_a_complex
22368268_37,s6,T19,T27,"It was proposed that AtERF7, ",AtSin3,", and HDA19 can form a transcriptional repressor complex to regulate ",ABA," and drought response in Arabidopsis.
",Not_a_complex
22368268_37,s6,T20,T27,"It was proposed that AtERF7, AtSin3, and ",HDA19, can form a transcriptional repressor complex to regulate ,ABA," and drought response in Arabidopsis.
",Not_a_complex
