16772403_6,s2,T10,T11,A total of 18 putative ,RNA helicases, are involved in pre-rRNA processing and ,ribosome, assembly.,Not_a_complex
16772403_6,s3,T13,T12,Mutational studies of ,RNA helicases, involved in ,ribosome," biogenesis revealed that conserved amino acids predicted to be involved in ATP binding and hydrolysis are important for cell viability, suggesting that they may indeed function as RNA helicases.",Not_a_complex
16772403_6,s3,T12,T14,Mutational studies of RNA helicases involved in ,ribosome," biogenesis revealed that conserved amino acids predicted to be involved in ATP binding and hydrolysis are important for cell viability, suggesting that they may indeed function as ",RNA helicases,.,Not_a_complex
16772403_6,s3,T12,T19,Mutational studies of RNA helicases involved in ,ribosome, biogenesis revealed that conserved amino acids predicted to be involved in ,ATP," binding and hydrolysis are important for cell viability, suggesting that they may indeed function as RNA helicases.",Not_a_complex
16772403_6,s3,T13,T14,Mutational studies of ,RNA helicases," involved in ribosome biogenesis revealed that conserved amino acids predicted to be involved in ATP binding and hydrolysis are important for cell viability, suggesting that they may indeed function as ",RNA helicases,.,Not_a_complex
16772403_6,s3,T13,T19,Mutational studies of ,RNA helicases, involved in ribosome biogenesis revealed that conserved amino acids predicted to be involved in ,ATP," binding and hydrolysis are important for cell viability, suggesting that they may indeed function as RNA helicases.",Not_a_complex
16772403_6,s3,T19,T14,Mutational studies of RNA helicases involved in ribosome biogenesis revealed that conserved amino acids predicted to be involved in ,ATP," binding and hydrolysis are important for cell viability, suggesting that they may indeed function as ",RNA helicases,.,Not_a_complex
16772403_6,s4,T1,T15,"Thus far, only four of the 18 proteins (",Dbp4,", Rok1, Dbp9 and ",Has1,) have been characterized in vitro and have been shown to harbor ATPase activity.,Not_a_complex
16772403_6,s4,T1,T2,"Thus far, only four of the 18 proteins (",Dbp4,", ",Rok1,", Dbp9 and Has1) have been characterized in vitro and have been shown to harbor ATPase activity.",Not_a_complex
16772403_6,s4,T1,T3,"Thus far, only four of the 18 proteins (",Dbp4,", Rok1, ",Dbp9, and Has1) have been characterized in vitro and have been shown to harbor ATPase activity.,Not_a_complex
16772403_6,s4,T2,T15,"Thus far, only four of the 18 proteins (Dbp4, ",Rok1,", Dbp9 and ",Has1,) have been characterized in vitro and have been shown to harbor ATPase activity.,Not_a_complex
16772403_6,s4,T2,T3,"Thus far, only four of the 18 proteins (Dbp4, ",Rok1,", ",Dbp9, and Has1) have been characterized in vitro and have been shown to harbor ATPase activity.,Not_a_complex
16772403_6,s4,T3,T15,"Thus far, only four of the 18 proteins (Dbp4, Rok1, ",Dbp9, and ,Has1,) have been characterized in vitro and have been shown to harbor ATPase activity.,Not_a_complex
16772403_6,s5,T16,T17,Two of these proteins (Dbp9 and ,Has1,") were also able to separate artificial nucleic acid duplexes in vitro, suggesting that they are indeed ",helicases,.,Not_a_complex
16772403_6,s5,T4,T16,Two of these proteins (,Dbp9, and ,Has1,") were also able to separate artificial nucleic acid duplexes in vitro, suggesting that they are indeed helicases.",Not_a_complex
16772403_6,s5,T4,T17,Two of these proteins (,Dbp9," and Has1) were also able to separate artificial nucleic acid duplexes in vitro, suggesting that they are indeed ",helicases,.,Not_a_complex
